origin_index,origin,model,n_sku_origins,n_valid_mase,mean_mase,median_mase,mase_lt_1_share,mean_mae,mean_sku_wape,median_sku_wape,aggregate_wape,aggregate_bias,actual_volume,mean_mase_rank
1,2025-09-01,ADIDA2,195.0,173.0,3.765336889315992,1.268644013013912,0.4508670520231214,1.3133689261397432,1.4657894577043633,1.0,0.7811115229805564,-0.0859303748019207,2623.0,5.0
1,2025-09-01,MA4_proxy,195.0,173.0,3.456883205512488,1.1015901060070672,0.49710982658959535,1.266025641025641,1.4350816454722066,1.0,0.7529546321006481,-0.06671749904689286,2623.0,2.0
1,2025-09-01,Naive,195.0,173.0,3.4769766017603265,0.5972222222222222,0.5606936416184971,1.2455128205128205,1.2034209975984482,1.0,0.7407548608463591,-0.13076629813191,2623.0,4.0
1,2025-09-01,SES,195.0,173.0,3.4220594805359754,1.187015975026854,0.4682080924855491,1.2599038936987985,1.30386973073792,1.0,0.7493137911437765,-0.1109582241614896,2623.0,1.0
1,2025-09-01,Zero,195.0,173.0,3.4695588661579744,0.4479166666666667,0.5780346820809249,1.6814102564102564,1.0,1.0,1.0,-1.0,2623.0,3.0
2,2025-10-27,ADIDA2,195.0,189.0,5.7588074259897395,1.182419930973452,0.47619047619047616,1.9629192151641504,2.2766020532328644,1.0001244028096934,1.0767067424951036,0.02377375310632773,2844.0,5.0
2,2025-10-27,MA4_proxy,195.0,189.0,5.512864685207763,0.9241573033707865,0.5185185185185185,1.8778846153846154,2.1632303589873163,1.0,1.0300632911392404,0.03375527426160337,2844.0,4.0
2,2025-10-27,Naive,195.0,189.0,5.082034613840579,0.11519607843137256,0.6137566137566137,1.6602564102564104,2.1323814044827007,1.0,0.9106891701828411,0.035161744022503515,2844.0,2.0
2,2025-10-27,SES,195.0,189.0,5.260350053216247,0.8423645572028311,0.5343915343915344,1.8041875905877098,2.2247848536706623,1.000000825811238,0.9896387627696298,-0.031770459745801796,2844.0,3.0
2,2025-10-27,Zero,195.0,189.0,4.582204296825354,0.0,0.6455026455026455,1.823076923076923,1.0,1.0,1.0,-1.0,2844.0,1.0
3,2025-12-22,ADIDA2,100.0,99.0,5.538220566965033,3.1900448585194954,0.13131313131313133,3.025807239559518,5.4236791211176145,1.0,1.1191150215661647,0.20131869552431006,2163.0,3.0
3,2025-12-22,MA4_proxy,100.0,99.0,5.379092261836959,3.129545454545455,0.16161616161616163,3.028125,6.094467627705202,1.0,1.1199722607489597,0.22330097087378642,2163.0,2.0
3,2025-12-22,Naive,100.0,99.0,5.566995312791608,2.605322906155399,0.2222222222222222,2.63375,2.15927067903672,1.0,0.9741100323624595,0.07258437355524734,2163.0,4.0
3,2025-12-22,SES,100.0,99.0,5.66478596630981,2.630751582441159,0.1717171717171717,2.7749564349308455,3.4201445278984868,1.0,1.026336175656346,0.20906188133597017,2163.0,5.0
3,2025-12-22,Zero,100.0,99.0,4.020155840642816,2.318181818181818,0.26262626262626265,2.70375,1.0,1.0,1.0,-1.0,2163.0,1.0
4,2026-02-16,ADIDA2,147.0,115.0,4.145570592720591,2.108333333333331,0.19130434782608696,2.1561399790898665,2.771349211284654,1.0,0.9535993288490723,-0.05492634898319321,2659.0,5.0
4,2026-02-16,MA4_proxy,147.0,115.0,3.9019091727374713,2.291666666666667,0.21739130434782608,2.100370505344995,2.3608004338384365,1.0,0.9289340783323483,0.0011461523308082123,2659.0,3.0
4,2026-02-16,Naive,147.0,115.0,3.6006814437610446,1.5865384615384617,0.3826086956521739,2.145408163265306,1.4423181985331806,1.0,0.9488529522376833,0.05302745393004889,2659.0,2.0
