model,baseline,n_skus,mean_difference,ci_low,ci_high
Naive,MA4_proxy,220,-0.2559924648623064,-0.649471256367846,0.08043711370497957
SES,MA4_proxy,220,-0.12497949206384122,-0.4954187163460929,0.16979637232267963
ADIDA2,MA4_proxy,220,0.3140558220558387,0.15029174209671198,0.4936453511766332
SES,Naive,220,0.13101297279846524,-0.031047687100527632,0.2855903298167601
ADIDA2,Naive,220,0.5700482869181452,0.1452220119698037,1.106297194638199
