aggregation_weeks,model,n_sku_origins,n_valid_mase,mean_mase,median_mase,mase_lt_1_share,mean_mae,mean_sku_wape,median_sku_wape,aggregate_wape,aggregate_bias,actual_volume
2,ADIDA2,790.0,761.0,4.397912070944263,1.7524183148688932,0.33377135348226017,2.194476432033277,2.425977629580999,1.0,0.929190074397046,-0.018466785061080123,14926.0
4,ADIDA4,790.0,761.0,4.3611244625993,1.9761762695207357,0.28777923784494086,2.4171537031361257,3.3475356213873417,1.0,1.0234765780396835,0.0972081754530909,14926.0
6,ADIDA6,790.0,761.0,4.262069182392805,1.9963701561870864,0.2812089356110381,2.3489374737799666,2.7004028420263966,1.0,0.9945923110203262,0.051233573099891405,14926.0
8,ADIDA8,790.0,761.0,4.206505076409804,2.0846008521484176,0.27463863337713534,2.3158280443135535,1.8732283271180878,1.0,0.9805730430163244,-0.00335695342016285,14926.0
