sku,model,winning_origins,mean_winning_loss
FRW0024,ADIDA2,1,3.1249999887675166
FRW0025,MA4_proxy,2,0.3125
FSTBY001,MA4_proxy,5,0.05
FZGLS0001,MA4_proxy,3,0.20833333333333334
FZGLS0001,Naive,2,0.125
FZGLS0002,MA4_proxy,4,0.1875
FZGLS0002,Naive,1,0.0
FZLRICBHP0001,MA4_proxy,3,0.7083333333333334
FZLRICBHP0001,Naive,1,0.0
FZLRICBHP0001,Zero,1,0.0
FZLRJ0001,MA4_proxy,2,1.6875
FZLRJ0001,Naive,2,0.25
FZLRJ0001,SES,1,1.4999999999999998
FZLRJ0001double,MA4_proxy,4,0.03125
FZLRJ0001double,Naive,1,0.0
FZLRJ0002,Zero,2,1.625
FZLRJ0002,ADIDA2,1,3.7797066584630428
FZLRJ0002,MA4_proxy,1,3.5
FZLRJ0002,SES,1,0.6279156784118712
FZLRJ0002double,MA4_proxy,4,0.125
FZLRJ0002double,Naive,1,0.0
FZLRJ0005,MA4_proxy,1,1.625
FZLRJ0005,Naive,1,0.0
GJMJSLW001,MA4_proxy,2,0.0
GJMJSW001,MA4_proxy,2,0.0
GJMJWJX001,Naive,2,12.125
GJMJWJX001,Zero,2,1.5625
GJMJWJX001,MA4_proxy,1,0.0
GJMJWJXW001,Naive,3,15.291666666666666
GJMJWJXW001,MA4_proxy,2,3.125
GJMUSDW001,MA4_proxy,2,0.0
HLGKSLT0001,Naive,3,1.9166666666666667
HLGKSLT0001,MA4_proxy,1,0.375
HLGKSLT0001,SES,1,1.0382379130276562
HSAKSLT0001,MA4_proxy,1,0.0
HSAKSLT0001,Naive,1,0.0
HWZDSKL0001,MA4_proxy,4,0.78125
HWZDSKL0001,Zero,1,0.0
HWZDSKL0002,Naive,4,0.09375
HWZDSKL0002,MA4_proxy,1,0.25
HZSN0001,Naive,2,2.0625
HZSN0001,ADIDA2,1,1.7499999925116763
HZSN0001,SES,1,1.2249993750582309
HZSN0001,Zero,1,1.75
JZJ00011,ADIDA2,2,1.3749999968798663
JZJ00011,Zero,2,1.0
JZJ00011,MA4_proxy,1,2.1875
JZJ00012,MA4_proxy,2,1.65625
JZJ00012,Naive,2,1.375
JZJ00012,ADIDA2,1,2.6425552755815938
JZJ0002,ADIDA2,3,3.7997665508906167
JZJ0002,Naive,2,1.875
JZJ0003,MA4_proxy,2,3.09375
JZJ0003,Naive,2,3.9375
JZJ0003,ADIDA2,1,7.091526739641006
JZJ0004,MA4_proxy,2,0.0
JZJ0005,MA4_proxy,1,0.0
JZJ0005,Naive,1,0.0
JZJ0008,Naive,1,2.375
JZJ0008,Zero,1,0.625
JZJ0009,ADIDA2,2,9.202890151291252
JZJ0009,MA4_proxy,2,8.25
JZJ0009,Naive,1,5.5
JZJ0013,ADIDA2,3,7.217726051816146
JZJ0013,MA4_proxy,2,3.3125
JZJ0014,Naive,4,0.125
JZJ0014,MA4_proxy,1,0.25
JZJ0016,Naive,3,1.4583333333333333
JZJ0016,ADIDA2,1,1.676996694391202
JZJ0016,Zero,1,0.625
JZJ0017,MA4_proxy,2,0.0625
JZJ0017,Naive,2,0.0625
JZJ0017,Zero,1,0.5
JZJ0018,MA4_proxy,2,0.4375
JZJ0018,Naive,2,0.5
JZJ0018,Zero,1,1.5
JZJ0019,SES,2,4.3324651424201654
JZJ0019,Zero,2,0.5625
JZJ0019,Naive,1,1.875
JZQCQ001,MA4_proxy,2,0.0
JZQCQ003,MA4_proxy,2,0.0
JZQCQ004,MA4_proxy,2,0.0
KFYFQ51mm,Naive,1,3.5
KFYFQ51mm,SES,1,2.0000002509268597
KFYFQ54mm,MA4_proxy,1,3.875
KFYFQ54mm,SES,1,4.525794292222372
KFYFQ58mm,SES,2,4.742449207649091
KFZ0001,MA4_proxy,1,0.0
KFZ0001,Naive,1,0.0
KZCWBG001,MA4_proxy,4,0.90625
KZCWBG001,Zero,1,0.125
LRKF0001,MA4_proxy,2,0.0
LTKF0002,MA4_proxy,2,0.0
LTKF0003B,MA4_proxy,2,0.0
LTKF0005A,MA4_proxy,1,0.25
LTKF0005A,Naive,1,0.0
LTKF0006A,MA4_proxy,2,0.0
LTKF0008,MA4_proxy,2,0.0
LTKF0009,MA4_proxy,2,0.0
LTKF0010,MA4_proxy,2,0.0
LTKF0012,MA4_proxy,2,0.0
LTKF0016,MA4_proxy,2,0.0
LTKF0018A,MA4_proxy,2,0.0
LTKF0019,Zero,2,0.4375
LTKF0019,ADIDA2,1,0.75
LTKF0019,MA4_proxy,1,1.125
LTKF0019,SES,1,0.569631856307227
LTKF0020,ADIDA2,2,10.363794211845796
LTKF0020,MA4_proxy,2,15.4375
LTKF0020,Naive,1,10.75
LTKF0021,Naive,2,2.0
LTKF0021,ADIDA2,1,1.3671585178802959
LTKF0021,SES,1,1.502194488281991
LTKF0021,Zero,1,2.375
LTKF0022,MA4_proxy,1,0.0
LTKF0022,Naive,1,0.0
LTKF0022M,MA4_proxy,2,2.5625
LTKF0022M,ADIDA2,1,3.9999999176284544
LTKF0022M,Naive,1,1.5
LTKF0022M,Zero,1,1.5
LTKF0023,MA4_proxy,2,0.0
LTKF0024A,Zero,2,0.0625
LTKF0031,MA4_proxy,3,1.7916666666666667
LTKF0031,Naive,2,0.75
LTKF0047,MA4_proxy,3,0.16666666666666666
LTKF0047,Naive,2,0.1875
LTKF0058,MA4_proxy,3,0.625
LTKF0058,Naive,2,0.1875
LTKF0101,MA4_proxy,3,5.354166666666667
LTKF0101,ADIDA2,1,4.30335820099811
LTKF0101,Zero,1,3.25
LTKF0102,MA4_proxy,4,0.71875
LTKF0102,Zero,1,0.0
LTKF0103,MA4_proxy,1,0.5
LTKF0103,Zero,1,0.375
LTKF0106,MA4_proxy,4,0.1875
LTKF0106,Naive,1,0.0
LTKF0111,MA4_proxy,2,0.78125
LTKF0111,Naive,1,0.75
LTKF0111,SES,1,0.7499997490673471
LTKF0111,Zero,1,0.375
LTKF093,MA4_proxy,3,1.5
LTKF093,Naive,2,1.375
LTKF098,ADIDA2,2,2.33464441970588
LTKF098,MA4_proxy,1,4.0
LTKF098,Naive,1,0.125
LTKF098,Zero,1,1.25
LTKF098B,MA4_proxy,1,1.125
LTKF098B,Naive,1,1.375
LYC0201,MA4_proxy,2,0.1875
LYC0201,Naive,2,1.875
LYC0201,ADIDA2,1,1.4718986058992622
LYC0203,Naive,3,0.375
LYC0203,MA4_proxy,1,0.25
LYC0203,Zero,1,0.5
NNB0002,MA4_proxy,3,6.625
NNB0002,Zero,2,4.875
NNBZL01,MA4_proxy,1,3.875
NNBZL01,Zero,1,0.75
QCCXC0004,MA4_proxy,4,0.03125
QCCXC0004,Naive,1,0.0
QCCXC0005,Naive,1,0.0
QCCXC0005,Zero,1,0.75
QCCXC0007,Naive,2,0.9375
QCSSXC0004,MA4_proxy,2,0.0
QCSSXC0005,MA4_proxy,1,4.625
QCSSXC0005,Naive,1,0.0
QCSSXC0006,MA4_proxy,1,2.75
QCSSXC0006,Zero,1,0.25
QCXDS001,MA4_proxy,2,0.0
QCXXC0001,MA4_proxy,1,0.25
QCXXC0001,Naive,1,0.0
QCXXC0002,MA4_proxy,2,0.0
QFDNZGJK001,Naive,1,1.25
QFDNZGJK001,Zero,1,0.0
QFDNZGJK002,MA4_proxy,1,3.75
QFDNZGJK002,Zero,1,1.25
QFSJZ001-1,SES,1,2.272293030310232
QFSJZ001-1,Zero,1,0.375
QFSJZ002-1,MA4_proxy,3,0.125
QFSJZ002-1,Naive,1,0.0
QFSJZ002-1,Zero,1,0.375
QFSJZ003,MA4_proxy,2,0.125
QFSJZ003,Naive,2,0.25
QFSJZ003,Zero,1,0.0
QFSJZ003-1,MA4_proxy,2,0.625
QFSJZ003-1,Zero,2,0.25
QFSJZ003-1,Naive,1,2.0
QFYF001,MA4_proxy,2,0.0
QYGZIPJ,Naive,2,0.1875
RLHZHMV000AMDE,MA4_proxy,3,2.0833333333333335
RLHZHMV000AMDE,Naive,2,2.875
SKZ2FT01,MA4_proxy,2,0.3125
SKZ3FT01,MA4_proxy,2,1.1875
SLT0001,MA4_proxy,2,0.0
SLT0003,MA4_proxy,3,0.625
SLT0003,ADIDA2,1,0.946582997123307
SLT0003,Naive,1,0.125
SLT0004,MA4_proxy,3,0.3333333333333333
SLT0004,Naive,2,0.5
SPH0001,MA4_proxy,1,3.75
SPH0001,Naive,1,0.0
SRPDZS0001,MA4_proxy,2,0.0
SRPDZS0002,MA4_proxy,2,0.0
TTNX0002,MA4_proxy,2,0.0
