demand_profile,model,n_sku_origins,n_valid_mase,mean_mase,median_mase,mase_lt_1_share,mean_mae,mean_sku_wape,median_sku_wape,aggregate_wape,aggregate_bias,actual_volume
cluster_1,ADIDA2,411.0,411.0,3.0918368361047888,1.648050629079779,0.3284671532846715,3.694910370188479,3.0151047543392666,0.9254600573899396,0.8833611064625696,-0.0012606771271504497,13753.0
cluster_1,MA4_proxy,411.0,411.0,3.0046777083993543,1.4895833333333333,0.35766423357664234,3.61231317344456,3.08305949973161,0.9361413043478262,0.8636141724922354,0.02196230779085429,13753.0
cluster_1,Naive,411.0,411.0,3.0445292438986793,1.4121835443037973,0.38686131386861317,3.5842457420924574,1.6629514978677882,1.0,0.8569039482294772,0.05053442885188686,13753.0
cluster_1,SES,411.0,411.0,3.048620882622057,1.4711659707450226,0.3771289537712895,3.63323199342076,2.03142710006517,0.9653895019781971,0.8686153416976267,0.06172342688301248,13753.0
cluster_1,Zero,411.0,411.0,2.800219130261252,1.5778688524590163,0.3844282238442822,4.182785888077859,1.0,1.0,1.0,-1.0,13753.0
cluster_2,ADIDA2,283.0,283.0,4.144101634329712,2.0731053610946626,0.2756183745583039,0.775362618414005,1.7113488178580514,1.0562713519719764,1.3965162832850495,0.13822741094940616,1257.0
cluster_2,MA4_proxy,283.0,283.0,3.8415316643385453,1.9125,0.3462897526501767,0.7173144876325088,1.6223325471944856,1.0,1.2919649960222752,0.061256961018297536,1257.0
cluster_2,Naive,283.0,283.0,3.5627550062546254,1.0340909090909092,0.49469964664310956,0.6674028268551236,1.649767066614574,1.0,1.2020684168655529,-0.0007955449482895784,1257.0
cluster_2,SES,283.0,283.0,3.774091186011768,1.78506195803764,0.31802120141342755,0.7111107514864985,1.7283114176166892,1.0384511376757666,1.2807913614681246,0.08503150219787864,1257.0
cluster_2,Zero,283.0,283.0,2.9027924327238916,0.7166666666666667,0.5547703180212014,0.5552120141342756,1.0,1.0,1.0,-1.0,1257.0
low_information,ADIDA2,237.0,138.0,8.010073712084338,1.028645835339134,0.4927536231884058,0.8716081619997964,1.3157361245420036,1.0,1.0929689650473637,-0.6217300925629865,1512.0
low_information,MA4_proxy,237.0,138.0,7.56660245618579,0.7198660714285714,0.5217391304347826,0.8243670886075949,1.2191528990473992,1.0,1.0337301587301588,-0.6150793650793651,1512.0
low_information,Naive,237.0,138.0,7.617292139053914,0.29166666666666663,0.5507246376811594,0.8871308016877637,1.301805260816331,1.0,1.1124338624338623,-0.5396825396825397,1512.0
low_information,SES,237.0,138.0,7.826107868937763,0.9872791674790569,0.5,0.8790672053246394,1.3704351556187524,1.0,1.1023223685816907,-0.5064590450079902,1512.0
low_information,Zero,237.0,138.0,7.080906634461888,0.10879629629629628,0.6014492753623188,0.7974683544303798,1.0,1.0,1.0,-1.0,1512.0
