aggregation_weeks,model,n_sku_origins,n_valid_mase,mean_mase,median_mase,mase_lt_1_share,mean_mae,mean_sku_wape,median_sku_wape,aggregate_wape,aggregate_bias,actual_volume
2,ADIDA2,931.0,832.0,4.265523887526461,1.683240669241358,0.33774038461538464,2.088729234750355,2.317502663904293,1.0,0.9415842719053773,-0.04743022254699989,16522.0
4,ADIDA4,884.0,817.0,4.27194079032566,1.9108009656283254,0.29008567931456547,2.3395155983631626,3.129178486517086,1.0,1.0256046560639898,0.07581062296906202,16132.0
6,ADIDA6,837.0,792.0,4.185403872722141,1.9587064671552157,0.2866161616161616,2.316525017482557,2.5821758660360166,1.0,0.9915905847384264,0.03584429932390168,15643.0
8,ADIDA8,790.0,761.0,4.206505076409804,2.0846008521484176,0.27463863337713534,2.3158280443135535,1.8732283271180878,1.0,0.9805730430163244,-0.00335695342016285,14926.0
