origin_index,cluster,model,n_sku_origins,n_valid_mase,mean_mase,median_mase,mase_lt_1_share,mean_mae,mean_sku_wape,median_sku_wape,aggregate_wape,aggregate_bias,actual_volume
1,0,ADIDA2,65.0,43.0,4.313777322031726,0.5091030958609454,0.627906976744186,0.8154840318476231,1.1429103772962963,1.0,1.0193550398095288,-0.8528151855694193,416.0
1,0,MA4_proxy,65.0,43.0,4.142046957671957,0.0,0.6976744186046512,0.7836538461538461,1.1312111801242237,1.0,0.9795673076923077,-0.7932692307692307,416.0
1,0,Naive,65.0,43.0,4.556746031746031,0.0,0.7209302325581395,0.823076923076923,1.065217391304348,1.0,1.0288461538461537,-0.9038461538461539,416.0
1,0,SES,65.0,43.0,4.357645907675104,0.5209180851171572,0.6046511627906976,0.8012827419448287,1.1206585689785071,1.0,1.001603427431036,-0.8177667580654777,416.0
1,0,Zero,65.0,43.0,3.954365079365079,0.0,0.7441860465116279,0.8,1.0,1.0,1.0,-1.0,416.0
1,1,ADIDA2,70.0,70.0,2.3040729904063846,1.2087611100947213,0.44285714285714284,2.2108920211083696,1.2535370077080388,0.6850510728132908,0.6575143557199612,0.0249378219428967,1883.0
1,1,MA4_proxy,70.0,70.0,2.29770456087563,1.2072866708598684,0.44285714285714284,2.213392857142857,1.4026100285900995,0.743421052631579,0.6582580987785449,0.06532129580456718,1883.0
1,1,Naive,70.0,70.0,2.2269631665763647,1.1030247326203209,0.44285714285714284,2.1517857142857144,1.0276256267382657,0.8411764705882353,0.6399362719065321,0.006903876792352629,1883.0
1,1,SES,70.0,70.0,2.185337476023774,1.1488340390834906,0.45714285714285713,2.1830001020729433,1.2225257630489554,0.6921945863962304,0.6492193612112842,0.020231816117145276,1883.0
1,1,Zero,70.0,70.0,2.8137862934245543,1.5073739996112416,0.44285714285714284,3.3625,1.0,1.0,1.0,-1.0,1883.0
1,2,ADIDA2,60.0,60.0,5.077095794597591,1.8498736534614606,0.3333333333333333,0.8056339508261432,2.092597022746257,1.074273046877718,1.1935317790016935,0.2543760042375491,324.0
