cluster,nearest_cluster,profile_distance,max_effect,max_effect_feature,effect_ADI,effect_CV2,effect_nonzero_mean,effect_acf1
1,2,1.8284846539858863,1.5440683800914499,CV2,0.5612059974638149,1.5440683800914499,0.02266620182768586,0.8023359889528849
2,1,1.8284846539858863,1.5440683800914499,CV2,0.5612059974638149,1.5440683800914499,0.02266620182768586,0.8023359889528849
3,2,2.3963942112472716,1.818931055692495,CV2,1.052355735960335,1.818931055692495,0.4060573968108341,1.0778960180942354
