feature_set,n_features,k,n_skus,valid,error,silhouette,calinski_harabasz,min_cluster_size,max_cluster_size,cluster_sizes,stability_ari_mean,stability_ari_median,stability_ari_p10,stability_ari_p90,cluster_jaccard_medians,sensitivity_pareto,confirmatory_eligible,confirmatory_pareto
ADI+CV2,2,2,197,True,,0.38849092414851033,152.7526785259142,74,123,1:123;2:74,0.6393872223005344,0.6504809923367323,0.46114655644807384,0.7823337726244254,"{""1"": 0.8571428571428571, ""2"": 0.7703810367744794}",False,True,False
ADI+CV2,2,3,197,True,,0.3604889226168086,155.9096205964059,58,74,1:65;2:58;3:74,0.548369373648504,0.530540852996627,0.37938585308683354,0.7494403608744797,"{""1"": 0.7702702702702703, ""2"": 0.6326530612244898, ""3"": 0.6224050137093615}",False,True,False
ADI+CV2,2,4,197,True,,0.3381166293638151,145.6151230667839,18,65,1:65;2:58;3:56;4:18,0.49518910393572235,0.4756396896600801,0.3469676165788005,0.6740112801577101,"{""1"": 0.64, ""2"": 0.5483870967741935, ""3"": 0.5620719178082192, ""4"": 0.4117647058823529}",False,True,False
ADI+CV2,2,5,197,True,,0.32987311647124495,142.30210815736768,11,65,1:65;2:47;3:56;4:11;5:18,0.47563643971658576,0.45184600885327586,0.35053524327643953,0.6366598479352068,"{""1"": 0.53125, ""2"": 0.5327956989247311, ""3"": 0.5444664031620553, ""4"": 0.5577777777777778, ""5"": 0.21980676328502413}",False,True,False
ADI+CV2,2,6,197,True,,0.3117651632180443,138.47889216452575,11,56,1:19;2:46;3:47;4:56;5:11;6:18,0.46877813294201504,0.44858945899063096,0.35625780198557583,0.6273436030015712,"{""1"": 0.5773524720893142, ""2"": 0.4897959183673469, ""3"": 0.4166666666666667, ""4"": 0.9166666666666666, ""5"": 0.3333333333333333, ""6"": 0.46875}",False,True,False
ADI+CV2+mean_sales,3,2,197,True,,0.39941806048782624,172.27114960811662,63,134,1:134;2:63,0.5628103009633206,0.5331082504358157,0.30042045177430743,0.8981784496255215,"{""1"": 0.8017629698664182, ""2"": 0.7027027027027027}",False,True,False
ADI+CV2+mean_sales,3,3,197,True,,0.32090980418741216,162.65625478635238,46,88,1:46;2:88;3:63,0.4828040433507083,0.4327103746980837,0.29293061474129245,0.7339610498752449,"{""1"": 0.5185185185185185, ""2"": 0.7173638848013454, ""3"": 0.6310068649885583}",False,True,False
ADI+CV2+mean_sales,3,4,197,True,,0.31502938050008067,144.38427664210846,25,63,1:46;2:63;3:25;4:63,0.534685008314744,0.5139550594600834,0.3699991038186123,0.7143896794814482,"{""1"": 0.701063829787234, ""2"": 0.4689429012345679, ""3"": 0.6396721311475411, ""4"": 0.7142857142857143}",False,True,False
ADI+CV2+mean_sales,3,5,197,True,,0.29156876818199046,140.681099055156,25,63,1:46;2:63;3:25;4:36;5:27,0.5519598111923185,0.5407950477776495,0.4184059507607634,0.6899847627820942,"{""1"": 0.5490196078431373, ""2"": 0.6203448275862069, ""3"": 0.7171862182116489, ""4"": 0.7543103448275862, ""5"": 0.39250700280112044}",False,True,False
ADI+CV2+mean_sales,3,6,197,True,,0.2662907920321967,136.90076082093032,25,46,1:46;2:27;3:25;4:36;5:36;6:27,0.5862936399508055,0.581960650501625,0.4493685770796062,0.7189241194933832,"{""1"": 0.6421832884097035, ""2"": 0.5517241379310345, ""3"": 0.5918367346938775, ""4"": 0.782608695652174, ""5"": 0.49489795918367346, ""6"": 0.4186046511627907}",False,True,False
