cluster,feature,n_skus,median,ci_low,ci_high
1,ADI,120,3.2142857142857144,2.727272727272727,3.6018403271692736
1,CV2,120,0.5174959327785005,0.47284614135806186,0.6030343319073379
1,nonzero_mean,120,3.7133064516129033,3.477388211382114,4.2578125
1,mean_sales,120,1.2333333333333334,0.9529914529914529,1.7
1,median_sales,120,0.0,0.0,0.0
1,std_sales,120,2.387929974325949,2.0989338686390075,2.896006882344035
1,acf1,120,0.5989366865410027,0.5620162039422838,0.6487401589464159
1,zero_ratio,120,0.6888888888888889,0.6333333333333333,0.7246438746438746
1,total_sales,120,111.5,88.0,137.5
1,n_positive,120,31.0,23.5,36.0
2,ADI,77,10.384615384615385,8.666666666666666,11.555555555555555
2,CV2,77,0.25455729166666663,0.21205357142857145,0.3033333333333334
2,nonzero_mean,77,1.6,1.5,1.6666666666666667
2,mean_sales,77,0.15555555555555556,0.125,0.20192307692307693
2,median_sales,77,0.0,0.0,0.0
2,std_sales,77,0.5306524661216558,0.4833210099745953,0.6019132936278128
2,acf1,77,0.32625830692283986,0.26950354609929156,0.369387755102039
2,zero_ratio,77,0.9037037037037037,0.8814814814814815,0.9185185185185185
2,total_sales,77,16.0,13.0,21.0
2,n_positive,77,10.0,9.0,12.0
