merge_step,left_node,right_node,merge_distance,new_cluster_size
166,302.0,326.0,2.1863021660193107,14.0
167,348.0,350.0,2.186408323945844,13.0
168,306.0,313.0,2.250318633008345,13.0
169,156.0,344.0,2.2816762087517692,5.0
170,343.0,349.0,2.320299058467068,10.0
171,328.0,351.0,2.566874563472151,11.0
172,330.0,359.0,2.607022152692748,13.0
173,342.0,360.0,2.626757987981998,19.0
174,332.0,357.0,2.645203708135277,8.0
175,295.0,366.0,2.674314867177136,15.0
176,339.0,345.0,2.7316922760809685,9.0
177,356.0,367.0,2.780953101701353,15.0
178,346.0,355.0,2.7873979916411202,12.0
179,331.0,362.0,3.1544483662760996,19.0
180,352.0,364.0,3.257247907725102,19.0
181,361.0,365.0,3.2843446355571744,21.0
182,336.0,358.0,3.43612179556101,21.0
183,268.0,370.0,4.0404986678565935,10.0
184,371.0,374.0,4.570203859223186,27.0
185,368.0,372.0,4.786747188593653,22.0
186,375.0,378.0,5.137670491329405,40.0
187,338.0,363.0,5.1975787364510415,17.0
188,376.0,381.0,5.494318033162627,41.0
189,369.0,379.0,5.771643145890408,29.0
190,377.0,384.0,6.937125085722581,62.0
191,353.0,382.0,7.438100060747272,47.0
192,380.0,383.0,7.9775406121731525,44.0
193,387.0,388.0,9.03834801557312,91.0
194,373.0,386.0,9.493935291901495,77.0
195,385.0,389.0,11.350002306960635,120.0
196,390.0,391.0,25.98630187516052,197.0
