feature,paired_comparisons,median_delta_silhouette,mean_delta_silhouette,share_silhouette_improved,median_delta_stability_ari,mean_delta_stability_ari,share_stability_improved,share_both_improved,median_delta_minimum_jaccard,pareto_candidate_count
acf1,32,-0.025366228864904528,-0.03074163896188183,0.25,0.05331901104989367,0.0269008155671046,0.59375,0.25,0.00013384391657661476,1
nonzero_mean,32,-0.0029745499180423574,0.00593162899247784,0.46875,0.031095954736955977,0.0631710261380194,0.625,0.40625,-0.008409281031017568,1
peak_ratio,32,0.0007296781596190516,-0.0007327334879512195,0.5625,-0.006199618653953715,-0.008369340105185566,0.46875,0.46875,0.003303439682025733,1
promo_response_index,32,-0.06051744189852021,-0.06002886034623119,0.0,-0.039856973578438315,-0.051750074824829684,0.34375,0.0,-0.007329014818440727,0
trailing_zero_share,32,-0.03326997758742124,-0.02612897406865184,0.15625,-0.06038009695113311,-0.058060645607980584,0.3125,0.15625,-0.041844663850488406,0
trend_coef,32,-0.03550011499281959,-0.02981986346376876,0.15625,-0.09587340807606842,-0.10305924032717759,0.28125,0.125,-0.053289503930771975,0
