feature_set,n_features,k,n_skus,valid,error,silhouette,calinski_harabasz,min_cluster_size,max_cluster_size,cluster_sizes,stability_ari_mean,stability_ari_median,stability_ari_p10,stability_ari_p90,cluster_jaccard_medians,minimum_cluster_jaccard_median,structural_eligible,pareto,analysis_mode,registry_sha256
ADI+CV2+nonzero_mean+trailing_zero_share,4,2,197,True,,0.3046436084064053,91.22610693590065,46,151,1:151;2:46,0.5266664906586637,0.5531413843281131,0.11690177963357275,0.867413097293864,"{""1"": 0.8408029878618114, ""2"": 0.648635477582846}",0.648635477582846,False,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+nonzero_mean+trend_coef,4,2,197,True,,0.3309895306761745,119.70325511270696,86,111,1:111;2:86,0.6595104144531789,0.6726883538188716,0.3600377034604533,0.924545743838917,"{""1"": 0.8557196669310071, ""2"": 0.8029236022193769}",0.8029236022193769,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+peak_ratio+promo_response_index,4,2,197,True,,0.3155446704091089,90.65800013172708,69,128,1:128;2:69,0.5877287687454472,0.6269105716709087,0.26025653048253156,0.8747414942420139,"{""1"": 0.8607626514611546, ""2"": 0.7288135593220338}",0.7288135593220338,False,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+peak_ratio+trailing_zero_share,4,2,197,True,,0.349996591167721,130.73575389008153,89,108,1:108;2:89,0.7689229451250853,0.8053312647235874,0.4958318494075187,0.9745180077290049,"{""1"": 0.9166666666666666, ""2"": 0.9}",0.9,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+peak_ratio+trend_coef,4,2,197,True,,0.3444265110595771,127.5397827283583,79,118,1:118;2:79,0.6798551322798785,0.6730695614954159,0.5150474749151368,0.851969736397722,"{""1"": 0.8679245283018868, ""2"": 0.8027242401779096}",0.8027242401779096,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+promo_response_index+trailing_zero_share,4,2,197,True,,0.26342776901580245,67.1284153509854,93,104,1:104;2:93,0.49535074712738486,0.5149450135455715,0.28724454270928035,0.6730856757953231,"{""1"": 0.7542027843446284, ""2"": 0.7528089887640449}",0.7528089887640449,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+promo_response_index+trend_coef,4,2,197,True,,0.21674836441732506,60.42353117054153,79,118,1:79;2:118,0.5061505090533394,0.5335292799341191,0.183016254184281,0.8052531176669252,"{""1"": 0.7889398572884812, ""2"": 0.7240384615384615}",0.7240384615384615,False,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+trailing_zero_share+trend_coef,4,2,197,True,,0.3282719626782662,110.89506627480436,96,101,1:101;2:96,0.5862416741277237,0.5913864870444431,0.378048398031341,0.7824695212614021,"{""1"": 0.8023255813953488, ""2"": 0.788235294117647}",0.788235294117647,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+acf1+nonzero_mean+peak_ratio,5,2,197,True,,0.3394397610082536,122.9859301375656,58,139,1:139;2:58,0.6970855626194078,0.7100700503052733,0.5110901608920652,0.8964570233537715,"{""1"": 0.8888888888888888, ""2"": 0.7857142857142857}",0.7857142857142857,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+acf1+nonzero_mean+promo_response_index,5,2,197,True,,0.3063173992942184,101.33113197661095,81,116,1:116;2:81,0.8348769482474062,0.8519736342272245,0.6943177085448864,0.9493317721532764,"{""1"": 0.9393939393939394, ""2"": 0.9124040920716112}",0.9124040920716112,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+acf1+nonzero_mean+trailing_zero_share,5,2,197,True,,0.3042756901479346,103.89530106242393,72,125,1:125;2:72,0.7643099215150015,0.8040002537597676,0.5336578291420125,0.9244592552674535,"{""1"": 0.9207920792079208, ""2"": 0.8661691542288557}",0.8661691542288557,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+acf1+nonzero_mean+trend_coef,5,2,197,True,,0.30964353410950046,108.1891861891017,81,116,1:116;2:81,0.7558525365161306,0.7823964238443673,0.5510390289379257,0.8999471016273539,"{""1"": 0.9126131221719457, ""2"": 0.8709677419354839}",0.8709677419354839,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+acf1+peak_ratio+promo_response_index,5,2,197,True,,0.24865387388247578,76.77484251412906,98,99,1:99;2:98,0.6638116559834409,0.7158188219504252,0.3942107428088136,0.8758761392450847,"{""1"": 0.8588235294117647, ""2"": 0.8518518518518519}",0.8518518518518519,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+acf1+peak_ratio+trailing_zero_share,5,2,197,True,,0.26530560880041215,78.0325156412844,68,129,1:129;2:68,0.5546426865767633,0.5718630210994919,0.30255615262708824,0.7820896329531759,"{""1"": 0.8181818181818182, ""2"": 0.7397260273972602}",0.7397260273972602,False,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+acf1+peak_ratio+trend_coef,5,2,197,True,,0.2843969150580961,94.21164395001348,86,111,1:111;2:86,0.5762497619455053,0.5709667794621951,0.33233773847645115,0.8308519619780014,"{""1"": 0.8020890001088021, ""2"": 0.757169659608684}",0.757169659608684,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+acf1+promo_response_index+trailing_zero_share,5,2,197,True,,0.18202268712814626,47.7462137783745,91,106,1:91;2:106,0.42446582892950036,0.42678227822490394,0.1892606258696165,0.6315643568776258,"{""1"": 0.734368215371255, ""2"": 0.6878360215053764}",0.6878360215053764,False,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
