feature_left,feature_right,pearson,spearman,abs_spearman
ADI,ADI,1.0,1.0,1.0
ADI,CV2,-0.16044285641662134,-0.33929610964734463,0.33929610964734463
ADI,acf1,-0.40663786349175474,-0.3772875704680643,0.3772875704680643
ADI,nonzero_mean,-0.20177966462951244,-0.5632325758336448,0.5632325758336448
ADI,peak_ratio,-0.39837041007055796,-0.4970966722133613,0.4970966722133613
ADI,promo_response_index,0.02630934553168798,-0.006639940557220558,0.006639940557220558
ADI,trailing_zero_share,0.3506483935171498,0.5212839210472008,0.5212839210472008
ADI,trend_coef,-0.4009508956524827,-0.4795996376627537,0.4795996376627537
CV2,ADI,-0.16044285641662134,-0.33929610964734463,0.33929610964734463
CV2,CV2,1.0,1.0,1.0
CV2,acf1,0.03679409663791552,0.2226557043272672,0.2226557043272672
CV2,nonzero_mean,0.37731887949466764,0.5872955454499997,0.5872955454499997
CV2,peak_ratio,0.8224132227981489,0.8795208908177194,0.8795208908177194
CV2,promo_response_index,-0.0768974343421515,-0.01002372511914495,0.01002372511914495
CV2,trailing_zero_share,-0.09940714920360341,-0.1853678009672162,0.1853678009672162
CV2,trend_coef,0.08213359659892354,0.22543789017598984,0.22543789017598984
acf1,ADI,-0.40663786349175474,-0.3772875704680643,0.3772875704680643
acf1,CV2,0.03679409663791552,0.2226557043272672,0.2226557043272672
acf1,acf1,1.0,1.0,1.0
acf1,nonzero_mean,0.3456670333795857,0.6096192098538489,0.6096192098538489
acf1,peak_ratio,0.1506256816975787,0.2167257529714996,0.2167257529714996
acf1,promo_response_index,0.00666908062885947,-0.020175875749008525,0.020175875749008525
acf1,trailing_zero_share,-0.023165888164432297,-0.16387435643959603,0.16387435643959603
acf1,trend_coef,0.30328685515410064,0.29751780730751,0.29751780730751
nonzero_mean,ADI,-0.20177966462951244,-0.5632325758336448,0.5632325758336448
nonzero_mean,CV2,0.37731887949466764,0.5872955454499997,0.5872955454499997
nonzero_mean,acf1,0.3456670333795857,0.6096192098538489,0.6096192098538489
nonzero_mean,nonzero_mean,1.0,1.0,1.0
nonzero_mean,peak_ratio,0.295978673499444,0.5309303313155601,0.5309303313155601
nonzero_mean,promo_response_index,0.1016386054500887,-0.05600261202005926,0.05600261202005926
nonzero_mean,trailing_zero_share,-0.09465350523335699,-0.26333275357451297,0.26333275357451297
nonzero_mean,trend_coef,0.2369249408805761,0.3243738122779546,0.3243738122779546
peak_ratio,ADI,-0.39837041007055796,-0.4970966722133613,0.4970966722133613
peak_ratio,CV2,0.8224132227981489,0.8795208908177194,0.8795208908177194
peak_ratio,acf1,0.1506256816975787,0.2167257529714996,0.2167257529714996
peak_ratio,nonzero_mean,0.295978673499444,0.5309303313155601,0.5309303313155601
peak_ratio,peak_ratio,1.0,1.0,1.0
peak_ratio,promo_response_index,-0.026217609658348483,-0.034471364817882225,0.034471364817882225
peak_ratio,trailing_zero_share,-0.2305430101302272,-0.3385871417896892,0.3385871417896892
peak_ratio,trend_coef,0.21782273126092955,0.31321975567607735,0.31321975567607735
promo_response_index,ADI,0.02630934553168798,-0.006639940557220558,0.006639940557220558
promo_response_index,CV2,-0.0768974343421515,-0.01002372511914495,0.01002372511914495
promo_response_index,acf1,0.00666908062885947,-0.020175875749008525,0.020175875749008525
promo_response_index,nonzero_mean,0.1016386054500887,-0.05600261202005926,0.05600261202005926
promo_response_index,peak_ratio,-0.026217609658348483,-0.034471364817882225,0.034471364817882225
promo_response_index,promo_response_index,1.0,1.0,1.0
promo_response_index,trailing_zero_share,0.06643676165445171,-0.0014421062832409553,0.0014421062832409553
promo_response_index,trend_coef,-0.01757981478252294,-0.018061599676664156,0.018061599676664156
trailing_zero_share,ADI,0.3506483935171498,0.5212839210472008,0.5212839210472008
trailing_zero_share,CV2,-0.09940714920360341,-0.1853678009672162,0.1853678009672162
trailing_zero_share,acf1,-0.023165888164432297,-0.16387435643959603,0.16387435643959603
trailing_zero_share,nonzero_mean,-0.09465350523335699,-0.26333275357451297,0.26333275357451297
trailing_zero_share,peak_ratio,-0.2305430101302272,-0.3385871417896892,0.3385871417896892
trailing_zero_share,promo_response_index,0.06643676165445171,-0.0014421062832409553,0.0014421062832409553
trailing_zero_share,trailing_zero_share,1.0,1.0,1.0
trailing_zero_share,trend_coef,-0.6597647011439675,-0.7745158310627559,0.7745158310627559
trend_coef,ADI,-0.4009508956524827,-0.4795996376627537,0.4795996376627537
trend_coef,CV2,0.08213359659892354,0.22543789017598984,0.22543789017598984
trend_coef,acf1,0.30328685515410064,0.29751780730751,0.29751780730751
trend_coef,nonzero_mean,0.2369249408805761,0.3243738122779546,0.3243738122779546
trend_coef,peak_ratio,0.21782273126092955,0.31321975567607735,0.31321975567607735
trend_coef,promo_response_index,-0.01757981478252294,-0.018061599676664156,0.018061599676664156
trend_coef,trailing_zero_share,-0.6597647011439675,-0.7745158310627559,0.7745158310627559
trend_coef,trend_coef,1.0,1.0,1.0
