analysis_mode,selection_status,feature_set,sku,full_cluster,subsample_appearances,same_cluster_count,assignment_stability,n_observed,n_positive,n_zero,total_sales,mean_sales,median_sales,std_sales,nonzero_mean,CV2,ADI,zero_ratio,approx_entropy,trailing_zero_share,acf1,acf1_zero_variance,trend_coef,seasonality_idx,peak_ratio,promo_weight_ratio,promo_window_weight_mean,promo_response_index
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,LTKF0022,2,396,175,0.4419191919191919,104,12,92,25.0,0.2403846153846154,0.0,0.8757265201039894,2.083333333333333,0.6894545454545452,8.666666666666666,0.8846153846153846,0.1804390502211065,0.1923076923076923,0.5439114391143897,False,0.3003956043956043,0.1624792032236232,2.88,0.5257142857142858,1.2513736263736266,0.4201097694840834
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,HWZDSKL0002,2,389,179,0.4601542416452442,135,11,124,29.0,0.2148148148148148,0.0,0.9334991560819692,2.636363636363636,0.6696789536266349,12.272727272727272,0.9185185185185184,0.2415395637311326,0.1333333333333333,0.528802506233619,False,0.0656975433851701,0.0,3.03448275862069,1.2758620689655171,1.197883597883598,1.0650968685268674
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,XYMGPD0002,1,409,206,0.5036674816625917,30,11,19,20.0,0.6666666666666666,0.0,1.0613372610104648,1.818181818181818,0.2915,2.727272727272727,0.6333333333333333,0.3843401927631906,0.4,0.4721627408993577,False,-0.3193548387096775,,1.65,1.2571428571428571,1.0238095238095235,1.2279069767441864
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,QFDNZGJK001,1,393,229,0.5826972010178118,30,8,22,20.0,0.6666666666666666,0.0,1.3217891045025332,2.5,0.32,3.75,0.7333333333333333,0.2216618826618692,0.5333333333333333,0.4622252747252741,False,-0.5161290322580648,,2.0,1.5214285714285714,1.0238095238095235,1.4860465116279074
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,DRMJJ0026,2,401,236,0.5885286783042394,135,15,120,33.0,0.2444444444444444,0.0,0.8933140266718955,2.2,0.6257378984651708,9.0,0.8888888888888888,0.2818546573068318,0.0222222222222222,0.4105160254172196,False,0.33184789067142,0.0002584628628035,2.727272727272727,0.8917748917748919,1.197883597883598,0.7444587214905236
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,QFSJZ003-1,1,389,229,0.5886889460154242,135,21,114,51.0,0.3777777777777777,0.0,1.049994077216179,2.4285714285714284,0.3657439446366782,6.428571428571429,0.8444444444444444,0.2291303674385596,0.1777777777777777,0.49860949587905,False,0.4055747789311803,0.0,2.4705882352941178,1.176470588235294,1.197883597883598,0.9821242984826436
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,DRMJJ0020,2,401,257,0.6408977556109726,104,12,92,23.0,0.2211538461538461,0.0,0.8355770143890716,1.9166666666666667,0.8145729506788105,8.666666666666666,0.8846153846153846,0.1462027727465887,0.0769230769230769,0.3599027289921643,False,0.4881987577639752,0.0,3.652173913043478,1.124223602484472,1.2513736263736266,0.8983916384288645
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,FDBLHP0001,1,393,253,0.6437659033078881,135,19,116,49.0,0.362962962962963,0.0,1.0762525324213614,2.5789473684210527,0.3895136285806839,7.105263157894737,0.8592592592592593,0.2808441835635686,0.0148148148148148,0.5163851595207163,False,0.3636788048552754,0.0,2.326530612244898,1.7521865889212829,1.197883597883598,1.4627352707867598
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,FRH0068,2,395,273,0.6911392405063291,135,14,121,29.0,0.2148148148148148,0.0,0.909199953257128,2.071428571428572,1.020579895728528,9.642857142857142,0.8962962962962963,0.1504835576627106,0.1703703703703703,0.2594190200175243,False,0.3054315979265269,0.0048708667417285,4.344827586206896,1.8669950738916252,1.197883597883598,1.5585780431339098
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,XGX9992,2,401,302,0.7531172069825436,30,7,23,10.0,0.3333333333333333,0.0,0.6608945522512668,1.4285714285714286,0.14,4.285714285714286,0.7666666666666667,0.1220521172797048,0.0,0.7995204451413634,False,1.047741935483871,,1.4,2.1714285714285717,1.0238095238095235,2.12093023255814
