sensitivity_feature,feature_set,base_feature_set,variant,n_features,k,n_skus,valid,error,silhouette,calinski_harabasz,min_cluster_size,max_cluster_size,cluster_sizes,stability_ari_mean,stability_ari_median,stability_ari_p10,stability_ari_p90,cluster_jaccard_medians,minimum_cluster_jaccard_median
seasonality_idx,ADI+CV2,ADI+CV2,base,2,2,165,True,,0.40307778752748924,144.4871626173557,82,83,1:83;2:82,0.7382652550713817,0.7705265813120487,0.48194202373044415,0.939854994446655,"{""1"": 0.8873239436619719, ""2"": 0.881087981146897}",0.881087981146897
seasonality_idx,ADI+CV2+seasonality_idx,ADI+CV2,plus_seasonality_idx,3,2,165,True,,0.38612149803476203,80.76740993245778,48,117,1:117;2:48,0.7517127667459974,0.9691167560405531,0.044979966920624864,1.0,"{""1"": 0.98989898989899, ""2"": 0.9759001161440186}",0.9759001161440186
seasonality_idx,ADI+CV2+acf1+nonzero_mean,ADI+CV2+acf1+nonzero_mean,base,4,2,165,True,,0.36072334429021197,119.01589883764048,52,113,1:113;2:52,0.675078451695962,0.6650193289538258,0.5244795729770177,0.9087084855793561,"{""1"": 0.8651685393258427, ""2"": 0.7719298245614035}",0.7719298245614035
seasonality_idx,ADI+CV2+acf1+nonzero_mean+seasonality_idx,ADI+CV2+acf1+nonzero_mean,plus_seasonality_idx,5,2,165,True,,0.30835201945659585,79.98116164217618,52,113,1:113;2:52,0.6006924623755558,0.5801800191482291,0.3270677798381781,0.9095886306771267,"{""1"": 0.8315789473684211, ""2"": 0.7222222222222222}",0.7222222222222222
seasonality_idx,ADI+CV2+peak_ratio,ADI+CV2+peak_ratio,base,3,2,165,True,,0.429085757590377,166.48711226446483,56,109,1:109;2:56,0.6870441726213123,0.6420341821206922,0.44067859407627197,0.9692538699574423,"{""1"": 0.8554886211512718, ""2"": 0.7787193973634652}",0.7787193973634652
seasonality_idx,ADI+CV2+peak_ratio+seasonality_idx,ADI+CV2+peak_ratio,plus_seasonality_idx,4,2,165,True,,0.3654715729151492,109.35640506086494,61,104,1:104;2:61,0.67654474852871,0.6666181674066369,0.4158531024073386,0.9398195002673128,"{""1"": 0.8045002261420171, ""2"": 0.8633487654320988}",0.8045002261420171
