feature_set,sku,full_cluster,subsample_appearances,same_cluster_count,assignment_stability
ADI+CV2+acf1+nonzero_mean,FRW00011,2,417,416,0.9976019184652278
ADI+CV2+acf1+nonzero_mean,BLJZ0001,2,394,394,1.0
ADI+CV2+acf1+nonzero_mean,BLP0001,1,400,400,1.0
ADI+CV2+acf1+nonzero_mean,BLP0003,2,403,403,1.0
ADI+CV2+acf1+nonzero_mean,BLP0004,2,395,395,1.0
ADI+CV2+acf1+nonzero_mean,CWW0002,1,405,405,1.0
ADI+CV2+acf1+nonzero_mean,DRMJJ0023,1,383,383,1.0
ADI+CV2+acf1+nonzero_mean,FDBLP0001,1,398,398,1.0
ADI+CV2+acf1+nonzero_mean,FRC0010,2,414,414,1.0
ADI+CV2+acf1+nonzero_mean,FRH0001,1,400,400,1.0
ADI+CV2+acf1+nonzero_mean,FRH0003,1,409,409,1.0
ADI+CV2+acf1+nonzero_mean,FRH0031,2,397,397,1.0
ADI+CV2+acf1+nonzero_mean,FRH0033,1,407,407,1.0
ADI+CV2+acf1+nonzero_mean,FRH0035,2,392,392,1.0
ADI+CV2+acf1+nonzero_mean,FRH0037,2,398,398,1.0
ADI+CV2+acf1+nonzero_mean,FRH0042,2,393,393,1.0
ADI+CV2+acf1+nonzero_mean,FRH0043,2,398,398,1.0
ADI+CV2+acf1+nonzero_mean,FRH0046,1,396,396,1.0
ADI+CV2+acf1+nonzero_mean,FRH0048,1,396,396,1.0
ADI+CV2+acf1+nonzero_mean,FRH0051,1,395,395,1.0
ADI+CV2+acf1+nonzero_mean,FRH0056,1,412,412,1.0
ADI+CV2+acf1+nonzero_mean,FRH0056-1,2,410,410,1.0
ADI+CV2+acf1+nonzero_mean,FRH0059,1,396,396,1.0
ADI+CV2+acf1+nonzero_mean,FRW0005,1,393,393,1.0
ADI+CV2+acf1+nonzero_mean,FRW0006,1,407,407,1.0
ADI+CV2+acf1+nonzero_mean,FRW0008,2,398,398,1.0
ADI+CV2+acf1+nonzero_mean,FRW0011,2,389,389,1.0
ADI+CV2+acf1+nonzero_mean,FRW0015,1,399,399,1.0
