feature_set,cluster,nearest_cluster,profile_distance,max_effect,max_effect_feature,effect_ADI,effect_CV2,effect_nonzero_mean,effect_acf1,effect_trend_coef,effect_peak_ratio,effect_trailing_zero_share,effect_promo_response_index
ADI+CV2,1,2,2.506206310213964,1.824817069716838,ADI,1.824817069716838,0.4973738449430149,0.33564920651924374,0.6150335066585446,0.8883210763830455,0.9864349015319769,0.6610070097502196,0.11707676540451062
ADI+CV2,2,1,2.506206310213964,1.824817069716838,ADI,1.824817069716838,0.4973738449430149,0.33564920651924374,0.6150335066585446,0.8883210763830455,0.9864349015319769,0.6610070097502196,0.11707676540451062
ADI+CV2+acf1+nonzero_mean,1,2,2.550588746131738,1.50285604856945,ADI,1.50285604856945,0.5021100155606466,0.41895999240994425,1.4611472001831183,0.848747480633803,0.8803147897173934,0.4345675742160485,0.012576731103288446
ADI+CV2+acf1+nonzero_mean,2,1,2.550588746131738,1.50285604856945,ADI,1.50285604856945,0.5021100155606466,0.41895999240994425,1.4611472001831183,0.848747480633803,0.8803147897173934,0.4345675742160485,0.012576731103288446
ADI+CV2+peak_ratio,1,2,2.9484202107950663,2.2291967025759405,ADI,2.2291967025759405,0.5864455001354189,0.3404870080106996,0.8808813283050712,0.8390961864023452,0.9980664492554456,0.8871171295248098,0.029433147623750558
ADI+CV2+peak_ratio,2,1,2.9484202107950663,2.2291967025759405,ADI,2.2291967025759405,0.5864455001354189,0.3404870080106996,0.8808813283050712,0.8390961864023452,0.9980664492554456,0.8871171295248098,0.029433147623750558
