sku,n_observed,n_positive,n_zero,total_sales,mean_sales,median_sales,std_sales,nonzero_mean,CV2,ADI,zero_ratio,approx_entropy,trailing_zero_share,acf1,acf1_zero_variance,trend_coef,seasonality_idx,peak_ratio,promo_weight_ratio,promo_window_weight_mean,promo_response_index
BLJZ0001,104,7,97,11.0,0.10576923076923077,0.0,0.4388482107218525,1.5714285714285714,0.25068870523415987,14.857142857142858,0.9326923076923077,0.14958050269913592,0.028846153846153848,0.14250734573947113,False,0.34300699300699306,0.0,1.9090909090909092,2.1168831168831166,1.2513736263736266,1.6916475401656517
BLP0001,135,51,84,372.5,2.759259259259259,0.0,4.645131399203376,7.303921568627451,0.44930666906896094,2.6470588235294117,0.6222222222222222,0.2903605457221907,0.0,0.6791556930628094,False,1.4502908277404922,0.0,3.2859060402684563,1.3934803451581974,1.197883597883598,1.16328527047217
BLP0002,135,43,92,101.0,0.7481481481481481,0.0,1.502825788647062,2.3488372093023258,0.6083642593396537,3.13953488372093,0.6814814814814815,0.27162582889231035,0.0,0.36790735167503136,False,1.1511745292176276,0.0,4.257425742574257,1.6164073550212161,1.197883597883598,1.349385998670538
BLP0003,135,17,118,21.0,0.15555555555555556,0.0,0.43822346011484237,1.2352941176470589,0.12528344671201816,7.9411764705882355,0.8740740740740741,0.2972217279190187,0.02962962962962963,0.41654571843251076,False,0.47777777777777775,0.0,1.619047619047619,1.1020408163265305,1.197883597883598,0.9199899040888438
BLP0004,135,5,130,9.0,0.06666666666666667,0.0,0.3705582718491397,1.8,0.21604938271604937,27.0,0.9629629629629629,0.10003748456495243,0.18518518518518517,0.238945233265721,False,0.12381989832970228,0.0,1.6666666666666665,0.8095238095238095,1.197883597883598,0.6757950530035335
CLSSLT0003,135,21,114,39.0,0.28888888888888886,0.0,0.8627158321053198,1.8571428571428572,0.559171597633136,6.428571428571429,0.8444444444444444,0.414096552843231,0.022222222222222223,0.20721935145660078,False,0.32448466566113615,0.0,3.769230769230769,1.4835164835164836,1.197883597883598,1.2384479478119053
CLSSLT0006,135,27,108,50.0,0.37037037037037035,0.0,0.852920712844468,1.8518518518518519,0.26252307692307697,5.0,0.8,0.4554717509352204,0.0,0.32625830692283986,False,0.5537647058823527,0.0,2.16,1.6,1.197883597883598,1.3356890459363957
CWW0002,135,51,84,814.0,6.029629629629629,0.0,10.451873174071562,15.96078431372549,0.5145835622309822,2.6470588235294117,0.6222222222222222,0.3523221068753639,0.0,0.8183391148051574,False,1.3605651105651104,0.0,3.3206388206388207,1.3786416286416288,1.197883597883598,1.1508978260303349
DHZXCZP0001,135,30,105,106.0,0.7851851851851852,0.0,2.012591650588288,3.533333333333333,0.6945654976000788,4.5,0.7777777777777778,0.23996313257108426,0.007407407407407408,0.49829313952207943,False,0.5578986311505734,0.06686383316413708,3.3962264150943398,1.780323450134771,1.197883597883598,1.4862240816054402
DRMJJ0020,104,12,92,23.0,0.22115384615384615,0.0,0.8355770143890716,1.9166666666666667,0.8145729506788105,8.666666666666666,0.8846153846153846,0.14620277274658877,0.07692307692307693,0.3599027289921643,False,0.4881987577639752,0.0,3.652173913043478,1.124223602484472,1.2513736263736266,0.8983916384288645
DRMJJ0021,135,15,120,28.0,0.2074074074074074,0.0,0.6921338009750597,1.8666666666666667,0.3635204081632652,9.0,0.8888888888888888,0.25725307354935867,0.07407407407407407,0.5167519776640299,False,0.25525210084033606,0.0,2.6785714285714284,1.5357142857142858,1.197883597883598,1.2820229681978799
DRMJJ0022,135,40,95,89.0,0.6592592592592592,0.0,1.2996151150276773,2.225,0.45047407249149446,3.375,0.7037037037037037,0.46589757440857027,0.0,0.4890643512552939,False,0.858045090695454,0.0,2.696629213483146,0.9855537720706261,1.197883597883598,0.8227458609600191
DRMJJ0023,135,62,73,229.5,1.7,0.0,2.548777875122981,3.7016129032258065,0.4918890582849172,2.1774193548387095,0.5407407407407407,0.5054083545683179,0.022222222222222223,0.7143230699954448,False,1.1180429179660243,0.0,3.241830065359477,1.3817615935262992,1.197883597883598,1.1535023903554351
DRMJJ0025,135,21,114,37.0,0.2740740740740741,0.0,0.7474297214467288,1.7619047619047619,0.31906501095690293,6.428571428571429,0.8444444444444444,0.34758780028989955,0.007407407407407408,0.41163556531284345,False,0.4158452570217276,0.0,2.8378378378378377,1.2007722007722008,1.197883597883598,1.0024114220227294
DRMJJ0026,135,15,120,33.0,0.24444444444444444,0.0,0.8933140266718955,2.2,0.6257378984651708,9.0,0.8888888888888888,0.2818546573068318,0.022222222222222223,0.41051602541721965,False,0.33184789067142006,0.00025846286280350246,2.727272727272727,0.8917748917748919,1.197883597883598,0.7444587214905236
DRMJJ0027,135,9,126,15.0,0.1111111111111111,0.0,0.4835605916233706,1.6666666666666667,0.3599999999999998,15.0,0.9333333333333333,0.1661288356791284,0.0,0.531349183445065,False,0.19921568627450978,3.988704199340902e-05,2.4,0.6761904761904761,1.197883597883598,0.5644876325088338
DRMJJ0038,30,6,24,9.0,0.3,0.0,0.7022132498578064,1.5,0.31111111111111117,5.0,0.8,0.4926905198700269,0.4,0.15533980582524287,False,-0.1591397849462366,,2.0,1.1428571428571428,1.0238095238095235,1.116279069767442
DRMJJ0039,30,6,24,9.0,0.3,0.0,0.651258728182957,1.5,0.1333333333333333,5.0,0.8,0.35686168797291407,0.5,0.18079096045197757,False,-0.4086021505376345,,1.3333333333333333,1.365079365079365,1.0238095238095235,1.3333333333333335
ETZP0003,135,20,115,73.0,0.5407407407407407,0.0,1.8518363736224344,3.65,0.918706975733573,6.75,0.8518518518518519,0.17550458977379724,0.0,0.39143681352238724,False,0.552421881994807,0.0,3.5616438356164384,1.7221135029354206,1.197883597883598,1.4376300885812476
ETZP0004,135,38,97,99.0,0.7333333333333333,0.0,1.658087371444365,2.6052631578947367,0.7290100017372745,3.5526315789473686,0.7185185185185186,0.31411383980534513,0.0,0.5639794761776686,False,0.8007922360863536,0.0,4.606060606060606,1.2987012987012985,1.197883597883598,1.0841631866366845
FDBLHP0001,135,19,116,49.0,0.362962962962963,0.0,1.0762525324213614,2.5789473684210527,0.38951362858068395,7.105263157894737,0.8592592592592593,0.28084418356356866,0.014814814814814815,0.5163851595207163,False,0.36367880485527543,0.0,2.326530612244898,1.7521865889212829,1.197883597883598,1.4627352707867598
FDBLP0001,135,42,93,362.0,2.6814814814814816,0.0,8.725200978613147,8.619047619047619,2.643602856162257,3.2142857142857144,0.6888888888888889,0.18553306642437584,0.0,0.5397285410705391,False,1.2045823854403641,0.0,8.585635359116022,1.4325177584846092,1.197883597883598,1.1958739238232823
FRC0002,104,16,88,66.0,0.6346153846153846,0.0,1.7463286999602063,4.125,0.3281297826752372,6.5,0.8461538461538461,0.12731194386401967,0.5961538461538461,0.7991767764298092,False,-0.35138195138195166,0.30711223977762325,2.1818181818181817,0.6406926406926406,1.2513736263736266,0.5119914845491134
FRC0003,135,49,86,124.0,0.9185185185185185,0.0,1.6483906753814024,2.5306122448979593,0.5341847684703435,2.7551020408163267,0.6370370370370371,0.5288026051186847,0.007407407407407408,0.4989727997370361,False,0.5852519502424625,0.1746223053006904,3.5564516129032255,0.7603686635944701,1.197883597883598,0.6347600592727687
FRC0010,104,8,96,11.0,0.10576923076923077,0.0,0.39211324970913797,1.375,0.14167650531286896,13.0,0.9230769230769231,0.22406338275454551,0.4807692307692308,0.368098159509203,False,-0.06833166833166837,0.0,1.4545454545454546,1.1948051948051948,1.2513736263736266,0.9547949306456439
FRH0001,104,40,64,149.0,1.4326923076923077,0.0,2.363206736441726,3.725,0.4318123808236865,2.6,0.6153846153846154,0.39417607802807564,0.4230769230769231,0.6887411048681212,False,-0.43823290803156617,0.0,3.7583892617449663,1.0995206136145732,1.2513736263736266,0.8786509404076939
FRH0002,104,40,64,119.0,1.1442307692307692,0.0,1.9578979674852564,2.975,0.5127118720791484,2.6,0.6153846153846154,0.2527501330942421,0.4326923076923077,0.4892183953419527,False,-0.4947825283959741,0.0,4.033613445378151,1.2364945978391355,1.2513736263736266,0.9881098432786943
FRH0003,104,46,58,278.0,2.673076923076923,0.0,4.635117760555773,6.043478260869565,0.7763090247226677,2.260869565217391,0.5576923076923077,0.29291285316928595,0.057692307692307696,0.7928067117402634,False,-0.33766305636809235,0.0,4.302158273381295,1.6130524152106887,1.2513736263736266,1.2890254207172132
FRH0004,104,24,80,83.0,0.7980769230769231,0.0,1.731376957448225,3.4583333333333335,0.31975360846213563,4.333333333333333,0.7692307692307693,0.17628309783768414,0.5288461538461539,0.7598311066296909,False,-0.38909042764464485,0.6122108024296905,2.0240963855421685,1.4268502581755593,1.2513736263736266,1.1402272096068133
FRH0028,135,27,108,48.0,0.35555555555555557,0.0,0.9098685050695035,1.7777777777777777,0.5192307692307693,5.0,0.8,0.4541860010812193,0.014814814814814815,0.2419181034482752,False,0.011029411764705758,0.0,2.8125,1.25,1.197883597883598,1.043507067137809
