feature_set,n_features,ward_kmeans_ari,raw_v2_ari,main_strict_ari,assignment_stability_median,assignment_stability_p10,assignment_stability_lt_075,n_raw,n_v2,n_strict
ADI+CV2,2,0.682224038627069,0.40268205177130756,0.7409962463224105,0.9975728155339806,0.5716739241491717,33,197,197,148
ADI+CV2+acf1+nonzero_mean,4,0.9003852486734362,0.9199336598596725,0.6017682106477032,0.9974619289340102,0.8742452818247408,9,197,197,148
ADI+CV2+peak_ratio,3,0.5685383150255833,1.0,0.5118089345081129,0.992462311557789,0.7230555555555556,25,197,197,148
