sku,n_observed,n_positive,n_zero,total_sales,mean_sales,median_sales,std_sales,nonzero_mean,CV2,ADI,zero_ratio,approx_entropy,trailing_zero_share,acf1,acf1_zero_variance
BLJZ0001,104,7,97,11.0,0.10576923076923077,0.0,0.4388482107218525,1.5714285714285714,0.25068870523415987,14.857142857142858,0.9326923076923077,0.14958050269913592,0.028846153846153848,0.14250734573947113,False
BLP0001,135,41,94,314.0,2.325925925925926,0.0,4.59205938522763,7.658536585365853,0.49068927745547514,3.292682926829268,0.6962962962962963,0.316008733992323,0.0,0.6483540794354571,False
BLP0002,135,39,96,95.0,0.7037037037037037,0.0,1.5016114432431305,2.4358974358974357,0.6102172328327745,3.4615384615384617,0.7111111111111111,0.2819805646509488,0.0,0.3589750758571921,False
BLP0003,135,17,118,21.0,0.15555555555555556,0.0,0.43822346011484237,1.2352941176470589,0.12528344671201816,7.9411764705882355,0.8740740740740741,0.2972217279190187,0.02962962962962963,0.41654571843251076,False
BLP0004,135,5,130,9.0,0.06666666666666667,0.0,0.3705582718491397,1.8,0.21604938271604937,27.0,0.9629629629629629,0.10003748456495243,0.18518518518518517,0.238945233265721,False
BLP0005,30,4,26,6.0,0.2,0.0,0.5508613944197477,1.5,0.1481481481481481,7.5,0.8666666666666667,0.3084107553436236,0.26666666666666666,0.31496062992126056,False
BLP0007,30,1,29,1.0,0.03333333333333333,0.0,0.18257418583505536,1.0,,30.0,0.9666666666666667,0.15945017978211307,0.1,-0.03571428571428572,False
CBJZ0001,104,1,103,1.0,0.009615384615384616,0.0,0.09805806756909202,1.0,,104.0,0.9903846153846154,0.05578108497051587,0.6057692307692307,-0.009803921568627501,False
CFSNT008,30,4,26,13.0,0.43333333333333335,0.0,1.2780193008453875,3.25,0.33925049309664695,7.5,0.8666666666666667,0.015755492363077717,0.0,0.9251256683494851,False
CLSSLT0003,135,21,114,39.0,0.28888888888888886,0.0,0.8627158321053198,1.8571428571428572,0.559171597633136,6.428571428571429,0.8444444444444444,0.414096552843231,0.022222222222222223,0.20721935145660078,False
