sku,full_cluster,subsample_appearances,same_cluster_count,assignment_stability
LRKF0001,2,391,391,1.0
LTKF0002,2,395,395,1.0
LTKF0005A,2,396,396,1.0
LTKF0019,1,400,400,1.0
LTKF0020,1,410,410,1.0
LTKF0021,1,394,394,1.0
LTKF0022M,1,399,399,1.0
LTKF0031,1,410,410,1.0
LTKF0058,2,406,406,1.0
LTKF0102,2,402,402,1.0
LTKF0106,2,404,404,1.0
LTKF098B,1,417,417,1.0
LYC0203,2,404,404,1.0
NNBZL01,1,401,401,1.0
QCCXC0005,1,405,405,1.0
QCCXC0007,1,377,377,1.0
QCSSXC0005,1,411,411,1.0
QCSSXC0006,1,397,397,1.0
QCXXC0002,2,410,410,1.0
QFDNZGJK002,1,395,395,1.0
QFSJZ003,2,410,410,1.0
RLHZHMV000AMDE,1,408,408,1.0
SKZ3FT01,1,411,411,1.0
XHP0001,1,394,394,1.0
XHZXCZP0001,1,381,381,1.0
XHZXCZP0002,1,398,398,1.0
XMJ0004,1,397,397,1.0
XMSH0001,1,393,393,1.0
XYJ0001,1,405,405,1.0
XYMGPD0001,1,394,394,1.0
YDBZ002,1,398,398,1.0
YDBZLV0001AMDE,2,413,413,1.0
YDBZWV0001AMDE,2,392,392,1.0
YEC0009,1,390,390,1.0
YJLZHMV000AMDE,1,382,382,1.0
YJX0025,2,400,400,1.0
YXBLJ0001,2,408,408,1.0
ZJJYZSJSV2AMDE,2,409,409,1.0
ZTD0003,1,396,396,1.0
xgx0014,1,388,388,1.0
xgx0015,1,393,393,1.0
xgx0016,1,410,410,1.0
xymzd0015,1,396,396,1.0
