sku,n_observed,n_positive,n_zero,total_sales,mean_sales,median_sales,std_sales,nonzero_mean,CV2,ADI,zero_ratio,approx_entropy,trailing_zero_share,acf1,acf1_zero_variance
BLJZ0001,104,7,97,11.0,0.10576923076923077,0.0,0.4388482107218525,1.5714285714285714,0.25068870523415987,14.857142857142858,0.9326923076923077,0.14958050269913592,0.028846153846153848,0.14250734573947113,False
BLP0001,135,51,84,372.5,2.759259259259259,0.0,4.645131399203376,7.303921568627451,0.44930666906896094,2.6470588235294117,0.6222222222222222,0.2903605457221907,0.0,0.6791556930628094,False
BLP0002,135,43,92,101.0,0.7481481481481481,0.0,1.502825788647062,2.3488372093023258,0.6083642593396537,3.13953488372093,0.6814814814814815,0.27162582889231035,0.0,0.36790735167503136,False
BLP0003,135,17,118,21.0,0.15555555555555556,0.0,0.43822346011484237,1.2352941176470589,0.12528344671201816,7.9411764705882355,0.8740740740740741,0.2972217279190187,0.02962962962962963,0.41654571843251076,False
BLP0004,135,5,130,9.0,0.06666666666666667,0.0,0.3705582718491397,1.8,0.21604938271604937,27.0,0.9629629629629629,0.10003748456495243,0.18518518518518517,0.238945233265721,False
CLSSLT0003,135,21,114,39.0,0.28888888888888886,0.0,0.8627158321053198,1.8571428571428572,0.559171597633136,6.428571428571429,0.8444444444444444,0.414096552843231,0.022222222222222223,0.20721935145660078,False
CLSSLT0006,135,27,108,50.0,0.37037037037037035,0.0,0.852920712844468,1.8518518518518519,0.26252307692307697,5.0,0.8,0.4554717509352204,0.0,0.32625830692283986,False
CWW0002,135,51,84,814.0,6.029629629629629,0.0,10.451873174071562,15.96078431372549,0.5145835622309822,2.6470588235294117,0.6222222222222222,0.3523221068753639,0.0,0.8183391148051574,False
DHZXCZP0001,135,30,105,106.0,0.7851851851851852,0.0,2.012591650588288,3.533333333333333,0.6945654976000788,4.5,0.7777777777777778,0.23996313257108426,0.007407407407407408,0.49829313952207943,False
DRMJJ0020,104,12,92,23.0,0.22115384615384615,0.0,0.8355770143890716,1.9166666666666667,0.8145729506788105,8.666666666666666,0.8846153846153846,0.14620277274658877,0.07692307692307693,0.3599027289921643,False
DRMJJ0021,135,15,120,28.0,0.2074074074074074,0.0,0.6921338009750597,1.8666666666666667,0.3635204081632652,9.0,0.8888888888888888,0.25725307354935867,0.07407407407407407,0.5167519776640299,False
DRMJJ0022,135,40,95,89.0,0.6592592592592592,0.0,1.2996151150276773,2.225,0.45047407249149446,3.375,0.7037037037037037,0.46589757440857027,0.0,0.4890643512552939,False
DRMJJ0023,135,62,73,229.5,1.7,0.0,2.548777875122981,3.7016129032258065,0.4918890582849172,2.1774193548387095,0.5407407407407407,0.5054083545683179,0.022222222222222223,0.7143230699954448,False
DRMJJ0025,135,21,114,37.0,0.2740740740740741,0.0,0.7474297214467288,1.7619047619047619,0.31906501095690293,6.428571428571429,0.8444444444444444,0.34758780028989955,0.007407407407407408,0.41163556531284345,False
DRMJJ0026,135,15,120,33.0,0.24444444444444444,0.0,0.8933140266718955,2.2,0.6257378984651708,9.0,0.8888888888888888,0.2818546573068318,0.022222222222222223,0.41051602541721965,False
DRMJJ0027,135,9,126,15.0,0.1111111111111111,0.0,0.4835605916233706,1.6666666666666667,0.3599999999999998,15.0,0.9333333333333333,0.1661288356791284,0.0,0.531349183445065,False
DRMJJ0038,30,6,24,9.0,0.3,0.0,0.7022132498578064,1.5,0.31111111111111117,5.0,0.8,0.4926905198700269,0.4,0.15533980582524287,False
DRMJJ0039,30,6,24,9.0,0.3,0.0,0.651258728182957,1.5,0.1333333333333333,5.0,0.8,0.35686168797291407,0.5,0.18079096045197757,False
ETZP0003,135,20,115,73.0,0.5407407407407407,0.0,1.8518363736224344,3.65,0.918706975733573,6.75,0.8518518518518519,0.17550458977379724,0.0,0.39143681352238724,False
ETZP0004,135,38,97,99.0,0.7333333333333333,0.0,1.658087371444365,2.6052631578947367,0.7290100017372745,3.5526315789473686,0.7185185185185186,0.31411383980534513,0.0,0.5639794761776686,False
FDBLHP0001,135,19,116,49.0,0.362962962962963,0.0,1.0762525324213614,2.5789473684210527,0.38951362858068395,7.105263157894737,0.8592592592592593,0.28084418356356866,0.014814814814814815,0.5163851595207163,False
FDBLP0001,135,42,93,362.0,2.6814814814814816,0.0,8.725200978613147,8.619047619047619,2.643602856162257,3.2142857142857144,0.6888888888888889,0.18553306642437584,0.0,0.5397285410705391,False
FRC0002,104,16,88,66.0,0.6346153846153846,0.0,1.7463286999602063,4.125,0.3281297826752372,6.5,0.8461538461538461,0.12731194386401967,0.5961538461538461,0.7991767764298092,False
