horizon_label,horizon_weeks,origin_index,origin,method,n_sku_origins,n_unique_skus,observed_event_rate,mean_probability,calibration_gap,brier_score,log_loss,roc_auc,average_precision,zero_probability_share,one_probability_share
30_day_proxy,4,1,2026-02-16,Overall_block_frequency,100,100,0.67,0.3570370370370371,-0.31296296296296294,0.319045816186557,0.8357940491806574,0.5,0.67,0.0,0.0
30_day_proxy,4,1,2026-02-16,PXQ_independence,100,100,0.67,0.6795703125,0.009570312499999956,0.28988204956054686,5.987815964176937,0.7039800995024876,0.8143363539445629,0.25,0.32
30_day_proxy,4,1,2026-02-16,Profile_block_frequency,100,100,0.67,0.35703703703703715,-0.3129629629629629,0.2920245432045854,0.781291564456041,0.6827227498869289,0.7637386836310252,0.0,0.0
30_day_proxy,4,1,2026-02-16,SKU_block_frequency,100,100,0.67,0.35703703703703693,-0.3129629629629631,0.29482853223593963,0.8064127301690789,0.7403889642695612,0.833557425877927,0.0,0.0
30_day_proxy,4,2,2026-03-16,Overall_block_frequency,147,147,0.6054421768707483,0.3680027643400137,-0.23743941253073458,0.2952594219596981,0.7862901006509939,0.5,0.6054421768707483,0.0,0.0
30_day_proxy,4,2,2026-03-16,PXQ_independence,147,147,0.6054421768707483,0.5351828231292517,-0.07025935374149661,0.24004877830038265,5.712810585735682,0.7716970166602093,0.8080338940109171,0.40816326530612246,0.23809523809523808
30_day_proxy,4,2,2026-03-16,Profile_block_frequency,147,147,0.6054421768707483,0.30889409011235625,-0.29654808675839206,0.2816647994855373,0.7819680923894894,0.7500968616815187,0.7754645066301449,0.0,0.0
30_day_proxy,4,2,2026-03-16,SKU_block_frequency,147,147,0.6054421768707483,0.369290573372206,-0.2361516034985423,0.2894627238650562,2.740463703326767,0.7314994188299109,0.7372614536588843,0.17687074829931973,0.09523809523809523
30_day_proxy,4,3,2026-04-13,Overall_block_frequency,147,147,0.564625850340136,0.380466951660638,-0.18415889867949803,0.27973799943066,0.7540820109032226,0.5,0.564625850340136,0.0,0.0
30_day_proxy,4,3,2026-04-13,PXQ_independence,147,147,0.564625850340136,0.5531462585034014,-0.011479591836734637,0.15305125956632654,3.030545425173435,0.8805534638554218,0.8900994778325022,0.3945578231292517,0.24489795918367346
