horizon_label,horizon_weeks,method,baseline,n_skus,mean_difference,median_difference,ci_low,ci_high
30_day_proxy,4,PXQ_independence,SKU_block_frequency,147,-0.07074591588260681,-0.0417848726450601,-0.10218623821356097,-0.03909904464587802
30_day_proxy,4,PXQ_independence,Profile_block_frequency,147,-0.07947036416751262,-0.09967644722725785,-0.11072778095170123,-0.04961928980347903
30_day_proxy,4,PXQ_independence,Overall_block_frequency,147,-0.07989576192483104,-0.028101234059702274,-0.11927042038920666,-0.04668057851348569
60_day_proxy,9,PXQ_independence,SKU_block_frequency,242,-0.09541349274204457,-0.05749813020259013,-0.1258196801827497,-0.06780034617211153
60_day_proxy,9,PXQ_independence,Profile_block_frequency,242,-0.06512381332291323,-0.10644636558327035,-0.10253297268478788,-0.03174743994637155
60_day_proxy,9,PXQ_independence,Overall_block_frequency,242,-0.02319262214406111,-0.07827395719190591,-0.06664571648935924,0.019687035964610886
90_day_proxy,13,PXQ_independence,SKU_block_frequency,195,-0.12216701650812432,-0.12622329154280765,-0.14617515528740127,-0.09619866761293952
90_day_proxy,13,PXQ_independence,Profile_block_frequency,195,-0.09285863086188208,-0.11443919439633093,-0.11676217433307343,-0.06592719468880377
90_day_proxy,13,PXQ_independence,Overall_block_frequency,195,-0.07461180886761136,-0.08864796795480556,-0.10283471217462446,-0.044047516177258404
