horizon_label,horizon_weeks,cluster,cluster_profile,method,n_sku_origins,n_unique_skus,observed_event_rate,mean_probability,calibration_gap,brier_score,log_loss,roc_auc,average_precision,zero_probability_share,one_probability_share
30_day_proxy,4,0,low_information,Overall_block_frequency,162,41,0.42592592592592593,0.385721437385833,-0.04020448854009295,0.24043429381543047,0.6735393271162645,0.7190275829827022,0.6536367887698592,0.0,0.0
30_day_proxy,4,0,low_information,PXQ_independence,162,41,0.42592592592592593,0.22663483796296297,-0.19929108796296297,0.26585943904923803,7.821896156721315,0.696665108306062,0.638258017681678,0.7345679012345679,0.024691358024691357
30_day_proxy,4,0,low_information,Profile_block_frequency,162,41,0.42592592592592593,0.09592243885978059,-0.33000348706614535,0.34898670837627066,1.0379985801932272,0.6599657160666978,0.5969524310425431,0.0,0.0
30_day_proxy,4,0,low_information,SKU_block_frequency,162,41,0.42592592592592593,0.12155935590208411,-0.3043665700238418,0.326855600824206,6.208829618781045,0.6757051581736014,0.5662146399604764,0.5617283950617284,0.018518518518518517
30_day_proxy,4,1,relative_active_persistent,Overall_block_frequency,449,98,0.77728285077951,0.3859421656549975,-0.3913406851245125,0.3270933964719968,0.8506493158056319,0.47657593123209174,0.7683427170572019,0.0,0.0
30_day_proxy,4,1,relative_active_persistent,PXQ_independence,449,98,0.77728285077951,0.7606051642538976,-0.016677686525612412,0.1460498223591488,3.1153251978599092,0.8282378223495701,0.9223459957759886,0.19821826280623608,0.41648106904231624
30_day_proxy,4,1,relative_active_persistent,Profile_block_frequency,449,98,0.77728285077951,0.48775107411190394,-0.28953177666760604,0.25835421289806465,0.7099177077368104,0.4865186246418338,0.7707523742679957,0.0,0.0
30_day_proxy,4,1,relative_active_persistent,SKU_block_frequency,449,98,0.77728285077951,0.5255283087317598,-0.25175454204775016,0.2606886253907399,1.0661946339927042,0.6082234957020057,0.8255087726850114,0.0,0.0645879732739421
30_day_proxy,4,2,low_frequency_sparse,Overall_block_frequency,224,54,0.49107142857142855,0.38430611056604963,-0.10676531800537892,0.2630962321236605,0.7202815492038395,0.454066985645933,0.46307722362750237,0.0,0.0
30_day_proxy,4,2,low_frequency_sparse,PXQ_independence,224,54,0.49107142857142855,0.4437779017857143,-0.047293526785714246,0.2953344072614397,6.26281123059819,0.6840909090909091,0.6419771955985191,0.46875,0.05803571428571429
30_day_proxy,4,2,low_frequency_sparse,Profile_block_frequency,224,54,0.49107142857142855,0.25343940839391615,-0.2376320201775124,0.308144552065363,0.8280801963072314,0.4488038277511962,0.4672454633715739,0.0,0.0
30_day_proxy,4,2,low_frequency_sparse,SKU_block_frequency,224,54,0.49107142857142855,0.30272775405080765,-0.1883436745206209,0.29404895148778115,1.0963856644226737,0.5835326953748006,0.5988919706210499,0.0,0.05357142857142857
60_day_proxy,9,0,low_information,Overall_block_frequency,199,112,0.5979899497487438,0.31733637011411436,-0.2806535796346294,0.2991081475827605,0.8004023352067069,0.6537289915966387,0.7505477438364228,0.0,0.0
60_day_proxy,9,0,low_information,PXQ_independence,199,112,0.5979899497487438,0.26798479806927,-0.33000515167947375,0.3785847709164452,11.291162339907752,0.6547268907563025,0.7125357585369163,0.6582914572864321,0.0
60_day_proxy,9,0,low_information,Profile_block_frequency,199,112,0.5979899497487438,0.11270367410852444,-0.4852862756402193,0.4679654720093129,1.3339038158173877,0.6141281512605042,0.7168304736176951,0.0,0.0
60_day_proxy,9,0,low_information,SKU_block_frequency,199,112,0.5979899497487438,0.11434230203074425,-0.4836476477179995,0.5043523410042695,9.40813140049534,0.36670168067226894,0.5650359103893411,0.32663316582914576,0.005025125628140704
60_day_proxy,9,1,relative_active_persistent,Overall_block_frequency,354,113,0.7966101694915254,0.3808844653897748,-0.41572570410175064,0.3294585071965576,0.8602747398408268,0.6051270685579196,0.8247880567714427,0.0,0.0
60_day_proxy,9,1,relative_active_persistent,PXQ_independence,354,113,0.7966101694915254,0.8297011934211255,0.03309102392960006,0.11342262101987212,1.901020628993573,0.8890120173364855,0.9632331660484073,0.15254237288135594,0.3220338983050847
60_day_proxy,9,1,relative_active_persistent,Profile_block_frequency,354,113,0.7966101694915254,0.511402186668851,-0.28520798282267446,0.23796837016450811,0.6690413964798336,0.608131402679275,0.8255163774395264,0.0,0.0
60_day_proxy,9,1,relative_active_persistent,SKU_block_frequency,354,113,0.7966101694915254,0.5315838587025028,-0.2650263107890226,0.2640756986993237,1.3583715494427075,0.5886524822695035,0.8140306365657265,0.0,0.05367231638418079
60_day_proxy,9,2,low_frequency_sparse,Overall_block_frequency,284,103,0.6584507042253521,0.3538372985358817,-0.30461340568947043,0.3128837109475297,0.8261382184745892,0.5871878273333702,0.6877978460933724,0.0,0.0
60_day_proxy,9,2,low_frequency_sparse,PXQ_independence,284,103,0.6584507042253521,0.6641056031346978,0.005654898909345674,0.20144302170069667,3.0610496172566037,0.7996306301339655,0.8687674078096139,0.2605633802816901,0.007042253521126761
