horizon_label,horizon_weeks,approximate_days,origin_index,origin,sku,cluster,cluster_profile,actual_sum,actual_event,training_weeks,p_recent,pxq_independence_probability,complete_history_blocks,positive_history_blocks,sku_block_probability,overall_block_probability,profile_block_probability
30_day_proxy,4,28,1,2026-02-16,FRH0050,1,relative_active_persistent,3.0,1,111,1.0,1.0,27,22,0.8148148148148148,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,FRH0051,1,relative_active_persistent,15.0,1,111,1.0,1.0,27,22,0.8148148148148148,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,FRH0056,1,relative_active_persistent,30.0,1,111,1.0,1.0,27,23,0.8518518518518519,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,FRH0056-1,2,low_frequency_sparse,1.0,1,111,0.25,0.68359375,27,4,0.14814814814814814,0.35703703703703704,0.2374727668845316
30_day_proxy,4,28,1,2026-02-16,FRH0059,1,relative_active_persistent,0.0,0,111,0.75,0.99609375,27,18,0.6666666666666666,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,FRH0064,1,relative_active_persistent,2.0,1,111,0.5,0.9375,27,8,0.2962962962962963,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,FRH0065,1,relative_active_persistent,5.0,1,111,1.0,1.0,27,8,0.2962962962962963,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,FRH0068,2,low_frequency_sparse,1.0,1,111,0.75,0.99609375,27,5,0.18518518518518517,0.35703703703703704,0.2374727668845316
30_day_proxy,4,28,1,2026-02-16,FRW00023,0,low_information,0.0,0,6,0.0,0.0,1,0,,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,FRW0005,1,relative_active_persistent,9.0,1,111,1.0,1.0,27,21,0.7777777777777778,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,FRW0006,1,relative_active_persistent,22.0,1,111,1.0,1.0,27,24,0.8888888888888888,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,FRW0008,2,low_frequency_sparse,0.0,0,111,0.0,0.0,27,3,0.1111111111111111,0.35703703703703704,0.2374727668845316
30_day_proxy,4,28,1,2026-02-16,FRW0009,2,low_frequency_sparse,3.0,1,111,0.0,0.0,27,8,0.2962962962962963,0.35703703703703704,0.2374727668845316
30_day_proxy,4,28,1,2026-02-16,FRW0015,1,relative_active_persistent,0.0,0,111,0.0,0.0,27,9,0.3333333333333333,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,FRW0024,1,relative_active_persistent,22.0,1,111,0.5,0.9375,27,6,0.2222222222222222,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,FRW0025,0,low_information,5.0,1,6,0.0,0.0,1,0,,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,FSTBY001,0,low_information,0.0,0,111,0.0,0.0,27,1,0.037037037037037035,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,FZGLS0001,0,low_information,0.0,0,111,0.0,0.0,27,1,0.037037037037037035,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,FZGLS0002,2,low_frequency_sparse,1.0,1,111,0.0,0.0,27,3,0.1111111111111111,0.35703703703703704,0.2374727668845316
30_day_proxy,4,28,1,2026-02-16,FZLRICBHP0001,1,relative_active_persistent,0.0,0,111,0.75,0.99609375,27,6,0.2222222222222222,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,FZLRJ0001,2,low_frequency_sparse,23.0,1,111,1.0,1.0,27,9,0.3333333333333333,0.35703703703703704,0.2374727668845316
30_day_proxy,4,28,1,2026-02-16,FZLRJ0001double,0,low_information,0.0,0,111,0.25,0.68359375,27,2,0.07407407407407407,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,FZLRJ0002,1,relative_active_persistent,25.0,1,111,1.0,1.0,27,11,0.4074074074074074,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,FZLRJ0002double,2,low_frequency_sparse,0.0,0,111,0.25,0.68359375,27,7,0.25925925925925924,0.35703703703703704,0.2374727668845316
30_day_proxy,4,28,1,2026-02-16,FZLRJ0005,0,low_information,0.0,0,6,0.25,0.68359375,1,1,,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,GJMJWJX001,1,relative_active_persistent,0.0,0,111,0.25,0.68359375,27,18,0.6666666666666666,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,GJMJWJXW001,1,relative_active_persistent,0.0,0,111,0.25,0.68359375,27,8,0.2962962962962963,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,HLGKSLT0001,1,relative_active_persistent,7.0,1,111,1.0,1.0,27,13,0.48148148148148145,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,HWZDSKL0001,1,relative_active_persistent,0.0,0,111,0.0,0.0,27,6,0.2222222222222222,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,HWZDSKL0002,2,low_frequency_sparse,0.0,0,111,0.0,0.0,27,7,0.25925925925925924,0.35703703703703704,0.2374727668845316
30_day_proxy,4,28,1,2026-02-16,HZSN0001,1,relative_active_persistent,3.0,1,111,1.0,1.0,27,16,0.5925925925925926,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,JZJ00011,1,relative_active_persistent,11.0,1,111,0.5,0.9375,27,9,0.3333333333333333,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,JZJ00012,1,relative_active_persistent,5.0,1,111,0.5,0.9375,27,12,0.4444444444444444,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,JZJ0002,1,relative_active_persistent,22.0,1,111,1.0,1.0,27,14,0.5185185185185185,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,JZJ0003,1,relative_active_persistent,40.0,1,111,1.0,1.0,27,14,0.5185185185185185,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,JZJ0009,1,relative_active_persistent,93.0,1,111,1.0,1.0,27,14,0.5185185185185185,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,JZJ0013,1,relative_active_persistent,47.0,1,111,1.0,1.0,27,17,0.6296296296296297,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,JZJ0014,2,low_frequency_sparse,0.0,0,111,0.25,0.68359375,27,7,0.25925925925925924,0.35703703703703704,0.2374727668845316
30_day_proxy,4,28,1,2026-02-16,JZJ0016,1,relative_active_persistent,2.0,1,111,1.0,1.0,27,19,0.7037037037037037,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,JZJ0017,2,low_frequency_sparse,0.0,0,111,0.0,0.0,27,6,0.2222222222222222,0.35703703703703704,0.2374727668845316
30_day_proxy,4,28,1,2026-02-16,JZJ0018,1,relative_active_persistent,4.0,1,111,0.25,0.68359375,27,7,0.25925925925925924,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,JZJ0019,1,relative_active_persistent,23.0,1,111,0.0,0.0,27,9,0.3333333333333333,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,KFYFQ51mm,0,low_information,15.0,1,6,0.5,0.9375,1,1,,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,KFYFQ54mm,0,low_information,19.0,1,6,0.0,0.0,1,0,,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,KFYFQ58mm,0,low_information,15.0,1,6,0.25,0.68359375,1,1,,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,KZCWBG001,2,low_frequency_sparse,0.0,0,111,0.25,0.68359375,27,8,0.2962962962962963,0.35703703703703704,0.2374727668845316
30_day_proxy,4,28,1,2026-02-16,LTKF0019,1,relative_active_persistent,5.0,1,111,0.25,0.68359375,27,13,0.48148148148148145,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,LTKF0020,1,relative_active_persistent,92.0,1,111,1.0,1.0,27,13,0.48148148148148145,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,LTKF0021,1,relative_active_persistent,15.0,1,111,1.0,1.0,27,13,0.48148148148148145,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,LTKF0022M,1,relative_active_persistent,26.0,1,111,1.0,1.0,27,11,0.4074074074074074,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,LTKF0031,1,relative_active_persistent,4.0,1,111,1.0,1.0,27,13,0.48148148148148145,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,LTKF0047,1,relative_active_persistent,1.0,1,111,0.0,0.0,27,7,0.25925925925925924,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,LTKF0058,1,relative_active_persistent,2.0,1,111,0.0,0.0,27,2,0.07407407407407407,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,LTKF0101,1,relative_active_persistent,1.0,1,111,0.0,0.0,27,8,0.2962962962962963,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,LTKF0102,2,low_frequency_sparse,0.0,0,111,1.0,1.0,27,5,0.18518518518518517,0.35703703703703704,0.2374727668845316
30_day_proxy,4,28,1,2026-02-16,LTKF0106,0,low_information,0.0,0,111,0.25,0.68359375,27,2,0.07407407407407407,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,LTKF0111,2,low_frequency_sparse,11.0,1,111,0.25,0.68359375,27,4,0.14814814814814814,0.35703703703703704,0.2374727668845316
30_day_proxy,4,28,1,2026-02-16,LTKF093,2,low_frequency_sparse,0.0,0,111,0.25,0.68359375,27,9,0.3333333333333333,0.35703703703703704,0.2374727668845316
30_day_proxy,4,28,1,2026-02-16,LTKF098,1,relative_active_persistent,0.0,0,111,0.75,0.99609375,27,8,0.2962962962962963,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,LTKF098B,0,low_information,13.0,1,6,0.75,0.99609375,1,1,,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,LYC0201,2,low_frequency_sparse,2.0,1,111,0.0,0.0,27,4,0.14814814814814814,0.35703703703703704,0.2374727668845316
30_day_proxy,4,28,1,2026-02-16,LYC0203,2,low_frequency_sparse,0.0,0,111,0.25,0.68359375,27,7,0.25925925925925924,0.35703703703703704,0.2374727668845316
30_day_proxy,4,28,1,2026-02-16,NNB0002,1,relative_active_persistent,0.0,0,111,0.0,0.0,27,6,0.2222222222222222,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,NNBZL01,0,low_information,0.0,0,6,0.0,0.0,1,0,,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,QCCXC0004,1,relative_active_persistent,0.0,0,111,0.0,0.0,27,5,0.18518518518518517,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,QFDNZGJK001,0,low_information,7.0,1,6,0.25,0.68359375,1,1,,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,QFDNZGJK002,0,low_information,8.0,1,6,0.0,0.0,1,0,,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,QFSJZ002-1,2,low_frequency_sparse,2.0,1,111,0.0,0.0,27,4,0.14814814814814814,0.35703703703703704,0.2374727668845316
30_day_proxy,4,28,1,2026-02-16,QFSJZ003,2,low_frequency_sparse,0.0,0,111,0.25,0.68359375,27,6,0.2222222222222222,0.35703703703703704,0.2374727668845316
30_day_proxy,4,28,1,2026-02-16,QFSJZ003-1,2,low_frequency_sparse,0.0,0,111,1.0,1.0,27,8,0.2962962962962963,0.35703703703703704,0.2374727668845316
30_day_proxy,4,28,1,2026-02-16,QFYF001,0,low_information,0.0,0,6,0.0,0.0,1,0,,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,RLHZHMV000AMDE,1,relative_active_persistent,56.0,1,111,0.75,0.99609375,27,19,0.7037037037037037,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,SKZ2FT01,0,low_information,0.0,0,6,0.0,0.0,1,0,,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,SKZ3FT01,0,low_information,0.0,0,6,0.0,0.0,1,0,,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,SLT0003,2,low_frequency_sparse,1.0,1,111,0.5,0.9375,27,11,0.4074074074074074,0.35703703703703704,0.2374727668845316
30_day_proxy,4,28,1,2026-02-16,SLT0004,2,low_frequency_sparse,0.0,0,111,0.5,0.9375,27,4,0.14814814814814814,0.35703703703703704,0.2374727668845316
30_day_proxy,4,28,1,2026-02-16,TTNX0002,0,low_information,0.0,0,6,0.0,0.0,1,0,,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,XFTW0001,0,low_information,0.0,0,6,0.0,0.0,1,0,,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,XGX9992,0,low_information,0.0,0,6,0.0,0.0,1,0,,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,XGX9993,0,low_information,0.0,0,6,0.0,0.0,1,0,,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,XGX9994,0,low_information,0.0,0,6,0.0,0.0,1,0,,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,XGX9995,0,low_information,0.0,0,6,0.0,0.0,1,0,,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,XGX99990,0,low_information,0.0,0,6,0.0,0.0,1,0,,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,XGX99991,0,low_information,0.0,0,6,0.0,0.0,1,0,,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,XGX99992,0,low_information,0.0,0,6,0.0,0.0,1,0,,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,XGX99993,0,low_information,0.0,0,6,0.0,0.0,1,0,,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,XHP0001,1,relative_active_persistent,184.0,1,111,0.5,0.9375,27,7,0.25925925925925924,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,XHZXCZP0001,1,relative_active_persistent,18.0,1,111,1.0,1.0,27,16,0.5925925925925926,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,XHZXCZP0002,1,relative_active_persistent,6.0,1,111,0.0,0.0,27,4,0.14814814814814814,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,XMJ0001,0,low_information,0.0,0,6,0.0,0.0,1,0,,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,XMJ0004,0,low_information,0.0,0,6,0.0,0.0,1,0,,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,XMSH0001,0,low_information,45.0,1,6,0.25,0.68359375,1,1,,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,XXGP0002,0,low_information,0.0,0,6,0.0,0.0,1,0,,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,XYJ0001,0,low_information,2.0,1,6,0.0,0.0,1,0,,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,XYMGPD0001,0,low_information,11.0,1,6,1.0,1.0,1,1,,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,XYMGPD0002,0,low_information,5.0,1,6,0.0,0.0,1,0,,0.35703703703703704,0.07407407407407407
