horizon_label,horizon_weeks,method,n_sku_origins,n_unique_skus,observed_event_rate,mean_probability,calibration_gap,brier_score,log_loss,roc_auc,average_precision,zero_probability_share,one_probability_share
30_day_proxy,4,Overall_block_frequency,835,147,0.6323353293413174,0.38546044790705863,-0.24687488143425879,0.29311239114937276,0.7813149470793097,0.5247600187543185,0.6535122138736339,0.0,0.0
30_day_proxy,4,PXQ_independence,835,147,0.6323353293413174,0.5720153443113772,-0.06031998502994018,0.2093419240620322,4.872811864529278,0.8083450547823512,0.8527373136390675,0.37485029940119763,0.24431137724550897
30_day_proxy,4,Profile_block_frequency,835,147,0.6323353293413174,0.3488743650919359,-0.2834609642493815,0.28929493174949483,0.8052680056741923,0.6743874000592242,0.7440263585636728,0.0,0.0
30_day_proxy,4,SKU_block_frequency,835,147,0.6323353293413174,0.387384243334226,-0.24495108600709142,0.2824751679847025,2.072026560162793,0.7073771098608232,0.7742006073049748,0.1089820359281437,0.05269461077844311
60_day_proxy,9,Overall_block_frequency,837,242,0.7025089605734767,0.35659836461753813,-0.34591059595593854,0.31661864614772905,0.8344570808322233,0.650916591536213,0.7752061228519348,0.0,0.0
60_day_proxy,9,PXQ_independence,837,242,0.7025089605734767,0.6399631882641783,-0.06254577230929836,0.20633189416535866,4.527169294631114,0.8129183400267739,0.899748560603001,0.3094384707287933,0.13859020310633213
60_day_proxy,9,Profile_block_frequency,837,242,0.7025089605734767,0.35107437056536744,-0.3514345900081092,0.3294632609935455,0.9051838064765616,0.612538589733082,0.7762844221283852,0.0,0.0
60_day_proxy,9,SKU_block_frequency,837,242,0.7025089605734767,0.3599995782791482,-0.3425093822943285,0.3535335881230051,3.135580141387085,0.5929739365625769,0.7678926370142136,0.07765830346475508,0.023894862604540025
90_day_proxy,13,Overall_block_frequency,885,195,0.6734463276836158,0.35222491256389565,-0.32122141511972013,0.3039018599409439,0.8090155205596635,0.6960010218062749,0.7978828129359553,0.0,0.0
90_day_proxy,13,PXQ_independence,885,195,0.6734463276836158,0.597359017618453,-0.07608731006516278,0.21063918018689834,5.029061384055932,0.8133200575927172,0.8836882368854907,0.36045197740112994,0.08813559322033898
90_day_proxy,13,Profile_block_frequency,885,195,0.6734463276836158,0.3522249125638956,-0.3212214151197202,0.31695799784216655,0.8928368174614595,0.6447046050950976,0.7533950880128094,0.0,0.0
90_day_proxy,13,SKU_block_frequency,885,195,0.6734463276836158,0.3522249125638956,-0.3212214151197202,0.3505125737886701,4.472416715459473,0.6062997840273101,0.7444145425686619,0.21129943502824858,0.01807909604519774
