horizon_label,horizon_weeks,method,n_sku_origins,n_unique_skus,observed_event_rate,mean_probability,calibration_gap,brier_score,log_loss,roc_auc,average_precision,zero_probability_share,one_probability_share
30_day_proxy,4,EnterpriseShrink_L4,882,147,0.6213151927437641,0.6164120257442435,-0.004903166999520647,0.1909397117478543,0.5548459258530529,0.7580532365925083,0.8588995989998132,0.0,0.0
30_day_proxy,4,PXQ_independence,882,147,0.6213151927437641,0.5564457553854876,-0.06486943735827655,0.2059908670092386,4.851447470640904,0.8125109270510074,0.8502732690811294,0.391156462585034,0.23356009070294784
30_day_proxy,4,ProfileShrink_L1,882,147,0.6213151927437641,0.5711586616368906,-0.05015653110687357,0.20131269319665648,0.6112398879520978,0.768783600681848,0.8612419565188639,0.0,0.0
30_day_proxy,4,ProfileShrink_L4,882,147,0.6213151927437641,0.5681734258830453,-0.05314176686071881,0.20415778529153042,0.5973058925649654,0.7569113597622275,0.8567400352717108,0.0,0.0
30_day_proxy,4,ProfileShrink_L8,882,147,0.6213151927437641,0.5673451002306905,-0.05397009251307361,0.20724873662172616,0.6030663206270851,0.7519668691813454,0.8546013459790409,0.0,0.0
30_day_proxy,4,SKU_recent_block,882,147,0.6213151927437641,0.5754273504273504,-0.04588784231641374,0.20330273189705422,2.155800247860394,0.7735669172603699,0.845399053881239,0.14058956916099774,0.2165532879818594
60_day_proxy,9,EnterpriseShrink_L4,884,242,0.6968325791855203,0.6019535271414619,-0.09487905204405844,0.20353705798401212,0.5931969238066267,0.703948803062609,0.8333768811880242,0.0,0.0
60_day_proxy,9,PXQ_independence,884,242,0.6968325791855203,0.6307345663380998,-0.06609801284742056,0.2078206968354,4.646064464485835,0.8119154632680752,0.8947276297625648,0.3201357466063348,0.13574660633484162
60_day_proxy,9,ProfileShrink_L1,884,242,0.6968325791855203,0.5835303881658455,-0.11330219101967487,0.236284491825295,0.7332717360300056,0.6979308005427409,0.8396272765545214,0.0,0.0
60_day_proxy,9,ProfileShrink_L4,884,242,0.6968325791855203,0.5835546044070375,-0.11327797477848278,0.22948889898569896,0.6735824506818011,0.6858160496220198,0.8334362924574075,0.0,0.0
60_day_proxy,9,ProfileShrink_L8,884,242,0.6968325791855203,0.5835680799970464,-0.11326449918847392,0.22932712775203556,0.6649461181063,0.6837383698391162,0.8315069102665711,0.0,0.0
60_day_proxy,9,SKU_recent_block,884,242,0.6968325791855203,0.5835972850678735,-0.11323529411764688,0.24777149321266972,3.7436792077152448,0.6954745347935647,0.819933819418198,0.13122171945701358,0.2816742081447964
90_day_proxy,13,EnterpriseShrink_L4,932,242,0.6877682403433476,0.5047522313890744,-0.18301600895427317,0.23301102948083463,0.6640186072943127,0.7131870841843982,0.8347092252200788,0.0,0.0
90_day_proxy,13,PXQ_independence,932,242,0.6877682403433476,0.5943857881970039,-0.09338245214634366,0.22485639817409872,5.574670033671469,0.7999126150613034,0.8821792259693578,0.3648068669527897,0.08583690987124463
90_day_proxy,13,ProfileShrink_L1,932,242,0.6877682403433476,0.4949398811208696,-0.19282835922247799,0.28135759679956385,0.9020777891373993,0.6809484750524042,0.820487737695617,0.0,0.0
90_day_proxy,13,ProfileShrink_L4,932,242,0.6877682403433476,0.49508240644875723,-0.19268583389459037,0.26605264459960176,0.7877533543414474,0.6870868649178957,0.8224854144593089,0.0,0.0
90_day_proxy,13,ProfileShrink_L8,932,242,0.6877682403433476,0.4951072280117337,-0.19266101233161392,0.261470189328372,0.7609864363972388,0.6908288702682128,0.8238686731096029,0.0,0.0
90_day_proxy,13,SKU_recent_block,932,242,0.6877682403433476,0.4946351931330472,-0.1931330472103004,0.3002950643776824,5.600107590296668,0.6529718920715591,0.7893897947592801,0.22424892703862662,0.22103004291845493
