horizon_label,horizon_weeks,cluster,cluster_profile,n_sku_origins,n_unique_skus,observed_event_rate,mean_probability,calibration_gap,brier_score,roc_auc,actual_volume,forecast_volume,expected_quantity_wape,expected_quantity_bias,positive_test_cases,conditional_quantity_mae
30_day_proxy,4,0,low_information,208,51,0.4230769230769231,0.15754822654579761,-0.26552869653112543,0.2955913112606695,0.6283617424242425,808.0,163.8925949407764,0.9931064226851396,-0.7971626300237916,88,6.385121587572839
30_day_proxy,4,1,relative_active_persistent,450,98,0.7777777777777778,0.7882877330480604,0.010509955270282645,0.13988129413957026,0.8004428571428571,7573.0,7574.721525258946,0.7672324832629667,0.00022732408014599292,350,13.6435327241031
30_day_proxy,4,2,low_frequency_sparse,224,54,0.49107142857142855,0.5072743331950577,0.01620290462362911,0.24838210500939262,0.5707336523125995,511.0,411.9291003342415,1.061346862523527,-0.19387651597995784,110,3.3563089073811723
60_day_proxy,9,0,low_information,232,120,0.5775862068965517,0.19509310134310134,-0.3824931055534504,0.3945073223684452,0.4940222357599756,1608.0,206.29036692125396,0.9818272679248661,-0.8717099708201157,134,9.539291354632564
60_day_proxy,9,1,relative_active_persistent,368,113,0.8016304347826086,0.8195670401745154,0.01793660539190678,0.13247731866340096,0.7477826793591827,14937.0,14471.510633348786,0.802384160021704,-0.03116351119041391,295,32.39237435497266
60_day_proxy,9,2,low_frequency_sparse,284,103,0.6584507042253521,0.5950704225352113,-0.06338028169014087,0.22039026283713728,0.6183361817079222,1603.0,1188.4285601383656,0.9078426003792787,-0.25862223322622246,187,6.248019534305187
90_day_proxy,13,0,low_information,422,177,0.566350710900474,0.18430355189833864,-0.3820471590021353,0.38976286610256095,0.6081235567139951,4304.0,377.49478487279333,0.9809271813270306,-0.9122921038864328,239,14.766647134706083
90_day_proxy,13,1,relative_active_persistent,318,107,0.8333333333333334,0.7726894510609499,-0.06064388227238349,0.1361141139530952,0.7024919900320399,18286.0,15418.441404035862,0.8069071413096237,-0.15681716044865673,265,47.81009315230269
90_day_proxy,13,2,low_frequency_sparse,239,112,0.6820083682008368,0.6508387383755683,-0.031169629825268497,0.2230385859182588,0.5921052631578947,2385.0,1555.0880206775855,0.937002859953658,-0.3479714797997545,163,11.05119831373518
