horizon_label,horizon_weeks,method,bin_index,bin_lower,bin_upper,n_sku_origins,mean_probability,observed_event_rate,calibration_gap
30_day_proxy,4,EnterpriseShrink_L4,0,0.0,0.2,1,0.14771904417089066,1.0,-0.8522809558291093
30_day_proxy,4,EnterpriseShrink_L4,1,0.2,0.4,166,0.3299394839650514,0.39759036144578314,-0.06765087748073173
30_day_proxy,4,EnterpriseShrink_L4,2,0.4,0.6,248,0.4920395585179873,0.43548387096774194,0.05655568755024537
30_day_proxy,4,EnterpriseShrink_L4,3,0.6,0.8,260,0.7028506847733137,0.6692307692307692,0.03361991554254451
30_day_proxy,4,EnterpriseShrink_L4,4,0.8,1.0,207,0.8888441776354149,0.961352657004831,-0.07250847936941607
30_day_proxy,4,PXQ_independence,0,0.0,0.2,345,0.0,0.3072463768115942,-0.3072463768115942
30_day_proxy,4,PXQ_independence,3,0.6,0.8,122,0.68359375,0.6229508196721312,0.06064293032786883
30_day_proxy,4,PXQ_independence,4,0.8,1.0,415,0.9816547439759036,0.8819277108433735,0.09972703313253006
30_day_proxy,4,ProfileShrink_L1,0,0.0,0.2,165,0.07773633250366936,0.3333333333333333,-0.25559700082966397
30_day_proxy,4,ProfileShrink_L1,1,0.2,0.4,119,0.3254182581268844,0.47058823529411764,-0.14516997716723323
30_day_proxy,4,ProfileShrink_L1,2,0.4,0.6,136,0.49468660904889944,0.4852941176470588,0.00939249140184062
30_day_proxy,4,ProfileShrink_L1,3,0.6,0.8,186,0.684800858014492,0.6344086021505376,0.05039225586395435
30_day_proxy,4,ProfileShrink_L1,4,0.8,1.0,276,0.93318961435575,0.9166666666666666,0.016522947689083356
30_day_proxy,4,ProfileShrink_L4,0,0.0,0.2,163,0.11455081684080513,0.34355828220858897,-0.22900746536778382
30_day_proxy,4,ProfileShrink_L4,1,0.2,0.4,101,0.31513431695833,0.5544554455445545,-0.2393211285862245
30_day_proxy,4,ProfileShrink_L4,2,0.4,0.6,180,0.49831310163689635,0.4777777777777778,0.02053532385911855
30_day_proxy,4,ProfileShrink_L4,3,0.6,0.8,183,0.7050725604826892,0.6284153005464481,0.07665725993624106
30_day_proxy,4,ProfileShrink_L4,4,0.8,1.0,255,0.9094273553256075,0.9215686274509803,-0.01214127212537286
30_day_proxy,4,ProfileShrink_L8,0,0.0,0.2,169,0.13097731638915186,0.3431952662721893,-0.21221794988303747
30_day_proxy,4,ProfileShrink_L8,1,0.2,0.4,96,0.3244546027277851,0.5729166666666666,-0.24846206393888154
30_day_proxy,4,ProfileShrink_L8,2,0.4,0.6,169,0.508133494749822,0.46745562130177515,0.0406778734480468
30_day_proxy,4,ProfileShrink_L8,3,0.6,0.8,202,0.7072436167039875,0.6287128712871287,0.07853074541685878
30_day_proxy,4,ProfileShrink_L8,4,0.8,1.0,246,0.8877146296134537,0.9308943089430894,-0.043179679329635734
30_day_proxy,4,SKU_recent_block,0,0.0,0.2,159,0.02935010482180293,0.31446540880503143,-0.2851153039832285
30_day_proxy,4,SKU_recent_block,1,0.2,0.4,131,0.314846349579174,0.48854961832061067,-0.17370326874143666
30_day_proxy,4,SKU_recent_block,2,0.4,0.6,125,0.4913846153846154,0.488,0.0033846153846154303
30_day_proxy,4,SKU_recent_block,3,0.6,0.8,171,0.6854550907182486,0.6023391812865497,0.08311590943169889
30_day_proxy,4,SKU_recent_block,4,0.8,1.0,296,0.9560117810117811,0.9121621621621622,0.04384961884961891
60_day_proxy,9,EnterpriseShrink_L4,0,0.0,0.2,71,0.1850636464837132,0.43661971830985913,-0.2515560718261459
60_day_proxy,9,EnterpriseShrink_L4,1,0.2,0.4,154,0.3318614071862307,0.5,-0.1681385928137693
60_day_proxy,9,EnterpriseShrink_L4,2,0.4,0.6,164,0.49542980027957784,0.6585365853658537,-0.16310678508627585
60_day_proxy,9,EnterpriseShrink_L4,3,0.6,0.8,258,0.6966018782533183,0.7674418604651163,-0.07083998221179799
60_day_proxy,9,EnterpriseShrink_L4,4,0.8,1.0,237,0.8730251921975621,0.8523206751054853,0.02070451709207688
60_day_proxy,9,PXQ_independence,0,0.0,0.2,283,0.0,0.3745583038869258,-0.3745583038869258
60_day_proxy,9,PXQ_independence,3,0.6,0.8,100,0.6535605838853816,0.69,-0.03643941611461832
60_day_proxy,9,PXQ_independence,4,0.8,1.0,501,0.9824616731623592,0.8802395209580839,0.10222215220427533
60_day_proxy,9,ProfileShrink_L1,0,0.0,0.2,183,0.11491310749977018,0.5081967213114754,-0.39328361381170523
60_day_proxy,9,ProfileShrink_L1,1,0.2,0.4,81,0.29153854645834326,0.49382716049382713,-0.20228861403548387
60_day_proxy,9,ProfileShrink_L1,2,0.4,0.6,149,0.48052902488929383,0.6510067114093959,-0.1704776865201021
60_day_proxy,9,ProfileShrink_L1,3,0.6,0.8,191,0.7074619087464911,0.7120418848167539,-0.004579976070262837
60_day_proxy,9,ProfileShrink_L1,4,0.8,1.0,280,0.9445467604426392,0.8928571428571429,0.051689617585496284
60_day_proxy,9,ProfileShrink_L4,0,0.0,0.2,143,0.13251208680238352,0.5874125874125874,-0.4549005006102039
60_day_proxy,9,ProfileShrink_L4,1,0.2,0.4,115,0.28002792539255966,0.41739130434782606,-0.1373633789552664
60_day_proxy,9,ProfileShrink_L4,2,0.4,0.6,159,0.4973987888113257,0.6540880503144654,-0.15668926150313967
60_day_proxy,9,ProfileShrink_L4,3,0.6,0.8,197,0.7096597175195873,0.7106598984771574,-0.0010001809575700404
60_day_proxy,9,ProfileShrink_L4,4,0.8,1.0,270,0.9104461432984315,0.8888888888888888,0.021557254409542703
60_day_proxy,9,ProfileShrink_L8,0,0.0,0.2,127,0.1364774116701577,0.5354330708661418,-0.3989556591959841
60_day_proxy,9,ProfileShrink_L8,1,0.2,0.4,138,0.28563248367769795,0.5289855072463768,-0.24335302356867888
60_day_proxy,9,ProfileShrink_L8,2,0.4,0.6,151,0.5199595338834443,0.6158940397350994,-0.09593450585165508
60_day_proxy,9,ProfileShrink_L8,3,0.6,0.8,221,0.7170982406070973,0.7420814479638009,-0.024983207356703674
60_day_proxy,9,ProfileShrink_L8,4,0.8,1.0,247,0.8993184935108828,0.8825910931174089,0.016727400393473868
60_day_proxy,9,SKU_recent_block,0,0.0,0.2,116,0.0,0.5086206896551724,-0.5086206896551724
60_day_proxy,9,SKU_recent_block,1,0.2,0.4,118,0.19999999999999998,0.5169491525423728,-0.3169491525423729
60_day_proxy,9,SKU_recent_block,2,0.4,0.6,134,0.40820895522388057,0.6119402985074627,-0.2037313432835821
60_day_proxy,9,SKU_recent_block,3,0.6,0.8,125,0.5999999999999996,0.688,-0.0880000000000003
60_day_proxy,9,SKU_recent_block,4,0.8,1.0,391,0.9273657289002558,0.8388746803069054,0.08849104859335044
90_day_proxy,13,EnterpriseShrink_L4,0,0.0,0.2,157,0.14725605752183335,0.445859872611465,-0.29860381508963163
90_day_proxy,13,EnterpriseShrink_L4,1,0.2,0.4,214,0.31158259174265057,0.602803738317757,-0.29122114657510645
