target_type,horizon_label,horizon_weeks,origin_index,origin,primary_method,baseline,primary_loss,baseline_loss,loss_difference,primary_better,n_sku_origins
probability,60_day_proxy,9,3,2025-11-24,ProfileShrink_L4,SKU_recent_block,0.20748854051179008,0.2332,-0.02571145948820991,True,100
probability,60_day_proxy,9,3,2025-11-24,ProfileShrink_L4,PXQ_independence,0.20748854051179008,0.156819170197113,0.05066937031467708,False,100
probability,60_day_proxy,9,3,2025-11-24,ProfileShrink_L4,ProfileShrink_L1,0.20748854051179008,0.22154585330331486,-0.014057312791524779,True,100
probability,60_day_proxy,9,3,2025-11-24,ProfileShrink_L4,ProfileShrink_L8,0.20748854051179008,0.20217195647919384,0.005316584032596244,False,100
probability,60_day_proxy,9,4,2026-01-26,ProfileShrink_L4,EnterpriseShrink_L4,0.10696685705540249,0.0939076405657775,0.013059216489624992,False,100
probability,60_day_proxy,9,4,2026-01-26,ProfileShrink_L4,SKU_recent_block,0.10696685705540249,0.1124,-0.005433142944597513,True,100
probability,60_day_proxy,9,4,2026-01-26,ProfileShrink_L4,PXQ_independence,0.10696685705540249,0.14139688476370676,-0.03443002770830428,True,100
probability,60_day_proxy,9,4,2026-01-26,ProfileShrink_L4,ProfileShrink_L1,0.10696685705540249,0.10836124836432505,-0.001394391308922563,True,100
probability,60_day_proxy,9,4,2026-01-26,ProfileShrink_L4,ProfileShrink_L8,0.10696685705540249,0.10942457156829183,-0.002457714512889342,True,100
probability,60_day_proxy,9,5,2026-03-30,ProfileShrink_L4,EnterpriseShrink_L4,0.18031120717505558,0.1862643495666389,-0.005953142391583316,True,147
probability,60_day_proxy,9,5,2026-03-30,ProfileShrink_L4,SKU_recent_block,0.18031120717505558,0.21360544217687077,-0.03329423500181519,True,147
probability,60_day_proxy,9,5,2026-03-30,ProfileShrink_L4,PXQ_independence,0.18031120717505558,0.2268672705215921,-0.04655606334653653,True,147
probability,60_day_proxy,9,5,2026-03-30,ProfileShrink_L4,ProfileShrink_L1,0.18031120717505558,0.18951652067763866,-0.009205313502583079,True,147
probability,60_day_proxy,9,5,2026-03-30,ProfileShrink_L4,ProfileShrink_L8,0.18031120717505558,0.17758728434796733,0.0027239228270882487,False,147
probability,60_day_proxy,9,6,2026-06-01,ProfileShrink_L4,EnterpriseShrink_L4,0.2690701669981838,0.18880671833797275,0.08026344866021107,False,147
probability,60_day_proxy,9,6,2026-06-01,ProfileShrink_L4,SKU_recent_block,0.2690701669981838,0.29653061224489796,-0.02746044524671415,True,147
probability,60_day_proxy,9,6,2026-06-01,ProfileShrink_L4,PXQ_independence,0.2690701669981838,0.3215425297450509,-0.05247236274686706,True,147
probability,60_day_proxy,9,6,2026-06-01,ProfileShrink_L4,ProfileShrink_L1,0.2690701669981838,0.27946640558290187,-0.010396238584718054,True,147
probability,60_day_proxy,9,6,2026-06-01,ProfileShrink_L4,ProfileShrink_L8,0.2690701669981838,0.26820214030188977,0.0008680266962940442,False,147
probability,90_day_proxy,13,1,2025-02-03,ProfileShrink_L4,EnterpriseShrink_L4,0.29679891045878803,0.28571459046984476,0.01108431998894327,False,195
probability,90_day_proxy,13,1,2025-02-03,ProfileShrink_L4,SKU_recent_block,0.29679891045878803,0.305448717948718,-0.00864980748992994,True,195
probability,90_day_proxy,13,1,2025-02-03,ProfileShrink_L4,PXQ_independence,0.29679891045878803,0.26342677019612987,0.03337214026265817,False,195
probability,90_day_proxy,13,1,2025-02-03,ProfileShrink_L4,ProfileShrink_L1,0.29679891045878803,0.3001455857427941,-0.003346675284006062,True,195
