horizon_label,horizon_weeks,approximate_days,origin_index,origin,sku,cluster,cluster_profile,actual_sum,actual_event,training_weeks,lookback_weeks_used,complete_history_blocks,positive_history_blocks,positive_history_volume,all_history_volume,sku_recent_block_probability,sku_recent_block_conditional_quantity,sku_recent_block_expected_quantity,pxq_independence_probability,enterprise_peer_blocks,enterprise_peer_positive_blocks,enterprise_peer_positive_volume,profile_peer_blocks,profile_peer_positive_blocks,profile_peer_positive_volume,enterprise_reference_probability,enterprise_reference_conditional_quantity,profile_reference_probability,profile_probability_reference_source,profile_reference_conditional_quantity,profile_quantity_reference_source,profile_probability_l1,profile_conditional_quantity_l1,profile_expected_quantity_l1,profile_probability_l4,profile_conditional_quantity_l4,profile_expected_quantity_l4,profile_probability_l8,profile_conditional_quantity_l8,profile_expected_quantity_l8,enterprise_probability_l4,enterprise_conditional_quantity_l4,enterprise_expected_quantity_l4
30_day_proxy,4,28,1,2026-02-16,BLP0001,1,relative_active_persistent,11.0,1,111,52,13,8,161.0,161.0,0.6153846153846154,20.125,12.384615384615385,1.0,1334,800,13730.75,781,569,12851.75,0.5997001499250375,17.1634375,0.7285531370038413,profile_leave_one_out,22.586555360281196,profile_leave_one_out,0.6234680812145601,20.398506151142353,12.717817489696124,0.6420125028244332,20.945518453427066,13.447284725240063,0.6584964331443205,21.355777680140598,14.062703429395675,0.6116941529235382,19.1378125,11.706488005997
30_day_proxy,4,28,1,2026-02-16,BLP0002,1,relative_active_persistent,1.0,1,111,52,13,8,59.0,59.0,0.6153846153846154,7.375,4.538461538461538,1.0,1334,800,13832.75,781,569,12953.75,0.5997001499250375,17.2909375,0.7285531370038413,profile_leave_one_out,22.765817223198596,profile_leave_one_out,0.6234680812145601,9.085090802577621,5.664264130343118,0.6420125028244332,12.505272407732866,8.028541236989904,0.6584964331443205,15.070408611599298,9.92381031676559,0.6116941529235382,10.6803125,6.533084707646177
30_day_proxy,4,28,1,2026-02-16,BLP0003,2,low_frequency_sparse,3.0,1,111,52,13,5,12.0,12.0,0.38461538461538464,2.4,0.9230769230769231,0.68359375,1334,803,13879.75,429,202,737.0,0.6019490254872564,17.28486924034869,0.47086247086247085,profile_leave_one_out,3.6485148514851486,profile_leave_one_out,0.3907758907758908,2.6080858085808583,1.0191770550681443,0.4049088166735226,2.9548954895489548,1.1964632360671965,0.41747141747141747,3.1683168316831685,1.3226817187213227,0.43575271187935444,9.015497440154974,3.9285274584889076
30_day_proxy,4,28,1,2026-02-16,BLP0004,2,low_frequency_sparse,0.0,0,111,52,13,3,9.0,9.0,0.23076923076923078,3.0,0.6923076923076923,0.9375,1334,805,13882.75,429,204,740.0,0.603448275862069,17.245652173913044,0.4755244755244755,profile_leave_one_out,3.627450980392157,profile_leave_one_out,0.24825174825174826,3.156862745098039,0.7836966954614013,0.288358700123406,3.3585434173669464,0.9684652141399545,0.32400932400932403,3.45632798573975,1.119882494214045,0.3184584178498986,11.140372670807453,3.5477454550035907
30_day_proxy,4,28,1,2026-02-16,BLP0005,0,low_information,1.0,1,6,6,1,1,4.0,4.0,1.0,4.0,4.0,0.9375,1346,807,13887.75,110,23,126.0,0.5995542347696879,17.20910780669145,0.20909090909090908,profile_leave_one_out,5.478260869565218,profile_leave_one_out,0.6045454545454545,4.739130434782609,2.86501976284585,0.3672727272727273,5.182608695652174,1.903430830039526,0.296969696969697,5.314009661835749,1.5780998389694045,0.6796433878157504,14.56728624535316,9.900559775073603
30_day_proxy,4,28,1,2026-02-16,BLP0007,0,low_information,0.0,0,6,6,1,0,0.0,0.0,0.0,,0.0,0.0,1346,808,13891.75,110,24,130.0,0.600297176820208,17.192759900990097,0.21818181818181817,profile_leave_one_out,5.416666666666667,profile_leave_one_out,0.10909090909090909,5.416666666666667,0.5909090909090909,0.17454545454545453,5.416666666666667,0.9454545454545454,0.19393939393939394,5.416666666666667,1.0505050505050506,0.4802377414561664,17.192759900990097,8.256612184249628
30_day_proxy,4,28,1,2026-02-16,CFSNT008,0,low_information,0.0,0,6,6,1,0,0.0,0.0,0.0,,0.0,0.0,1346,808,13891.75,110,24,130.0,0.600297176820208,17.192759900990097,0.21818181818181817,profile_leave_one_out,5.416666666666667,profile_leave_one_out,0.10909090909090909,5.416666666666667,0.5909090909090909,0.17454545454545453,5.416666666666667,0.9454545454545454,0.19393939393939394,5.416666666666667,1.0505050505050506,0.4802377414561664,17.192759900990097,8.256612184249628
30_day_proxy,4,28,1,2026-02-16,CLSSLT0003,2,low_frequency_sparse,1.0,1,111,52,13,9,30.0,30.0,0.6923076923076923,3.3333333333333335,2.3076923076923075,0.99609375,1334,799,13861.75,429,198,719.0,0.5989505247376312,17.34887359198999,0.46153846153846156,profile_leave_one_out,3.6313131313131315,profile_leave_one_out,0.6758241758241759,3.3631313131313134,2.2728854478854483,0.6380090497737557,3.4250194250194252,2.185193388813299,0.6043956043956045,3.4735591206179444,2.099403864109747,0.6703412999382662,7.645807259073843,5.125300377124992
30_day_proxy,4,28,1,2026-02-16,CLSSLT0006,2,low_frequency_sparse,3.0,1,111,52,13,9,38.0,38.0,0.6923076923076923,4.222222222222222,2.923076923076923,0.68359375,1334,799,13853.75,429,198,711.0,0.5989505247376312,17.33886107634543,0.46153846153846156,profile_leave_one_out,3.590909090909091,profile_leave_one_out,0.6758241758241759,4.159090909090909,2.810814185814186,0.6380090497737557,4.0279720279720275,2.569882606081701,0.6043956043956045,3.925133689839572,2.372333548804137,0.6703412999382662,8.258111100413979,5.535752930086132
30_day_proxy,4,28,1,2026-02-16,CWW0002,1,relative_active_persistent,142.0,1,111,52,13,8,440.0,440.0,0.6153846153846154,55.0,33.84615384615385,1.0,1334,800,13451.75,781,569,12572.75,0.5997001499250375,16.8146875,0.7285531370038413,profile_leave_one_out,22.09622144112478,profile_leave_one_out,0.6234680812145601,51.34402460456942,32.011360502044056,0.6420125028244332,44.03207381370826,28.269141913689026,0.6584964331443205,38.54811072056239,25.383793413942676,0.6116941529235382,42.2715625,25.857267616191905
