method,baseline,loss,n_skus,mean_difference,median_difference,ci_low,ci_high,horizon_label,horizon_weeks
ProfileShrink_L4,EnterpriseShrink_L4,brier_loss,147,0.013218073543676124,-0.004655541876014843,0.00551794621874062,0.02165116348737584,30_day_proxy,4
ProfileShrink_L4,SKU_recent_block,brier_loss,147,0.0008550533944761783,0.001605865708101839,-0.004154249938737807,0.006768545373241744,30_day_proxy,4
ProfileShrink_L4,PXQ_independence,brier_loss,147,-0.0018330817177081666,0.002003207044746838,-0.023780120605500957,0.021399638544048617,30_day_proxy,4
ProfileShrink_L4,ProfileShrink_L1,brier_loss,147,0.002845092094873967,0.0017688856029907038,-0.00011237287131368354,0.006646015885979429,30_day_proxy,4
ProfileShrink_L4,ProfileShrink_L8,brier_loss,147,-0.0030909513301957178,-0.0025111803183718306,-0.005571625674537961,-0.0007601720696000272,30_day_proxy,4
ProfileShrink_L4,EnterpriseShrink_L4,brier_loss,242,0.03519298314133744,0.022274731191616576,0.025009102844021427,0.046235731784166095,60_day_proxy,9
ProfileShrink_L4,SKU_recent_block,brier_loss,242,-0.020584906120444117,-0.007891726465256703,-0.030302888122418527,-0.011379070069421866,60_day_proxy,9
ProfileShrink_L4,PXQ_independence,brier_loss,242,0.023382051208458203,0.032108273534743305,0.002443879183725587,0.04465726352050055,60_day_proxy,9
ProfileShrink_L4,ProfileShrink_L1,brier_loss,242,-0.006020770158591936,-0.004830602524637843,-0.011021266540200513,-0.0007546048177709336,60_day_proxy,9
ProfileShrink_L4,ProfileShrink_L8,brier_loss,242,-0.0009641639032168882,-0.0007447106587611697,-0.004149617636750948,0.002027347876688657,60_day_proxy,9
ProfileShrink_L4,EnterpriseShrink_L4,brier_loss,242,0.04090587889591561,0.03519331013458693,0.029847187289399113,0.05107193447912563,90_day_proxy,13
ProfileShrink_L4,SKU_recent_block,brier_loss,242,-0.054425029833441795,-0.025970717808025567,-0.07408244117660613,-0.03672050892791374,90_day_proxy,13
ProfileShrink_L4,PXQ_independence,brier_loss,242,0.011211421607453847,0.05095528721592647,-0.013586576940088286,0.03437992162975891,90_day_proxy,13
ProfileShrink_L4,ProfileShrink_L1,brier_loss,242,-0.014921741595049526,-0.014502308398910757,-0.020090743797003992,-0.009609118689961402,90_day_proxy,13
ProfileShrink_L4,ProfileShrink_L8,brier_loss,242,0.003959498203075034,0.006020955464066155,0.0012834591297626356,0.006505528315857352,90_day_proxy,13
