horizon_label,horizon_weeks,method,n_sku_origins,n_unique_skus,actual_volume,forecast_volume,mean_absolute_error,median_absolute_error,aggregate_wape,aggregate_bias,underforecast_units,overforecast_units
30_day_proxy,4,ADIDA2,759,140,8616.0,8743.878060786259,8.27114984071326,2.8795993161818023,0.7286214866645039,0.014841929060615029,3074.9623341575534,3202.8403949438116
30_day_proxy,4,EnterpriseShrink_L4_expected,759,140,8616.0,8320.21858747343,9.12709894008286,4.765209658307454,0.8040236879669093,-0.034329319002619596,3611.6247540247305,3315.84334149816
30_day_proxy,4,MA4_proxy,759,140,8616.0,8687.190476190475,7.917905765731854,2.0,0.6975035371623116,0.008262590087102511,2969.25,3040.440476190476
30_day_proxy,4,Naive,759,140,8616.0,9056.0,9.08300395256917,3.0,0.8001392757660167,0.0510677808727948,3227.0,3667.0
30_day_proxy,4,PXQ,759,140,8616.0,8221.066145495923,7.661475254930668,2.857142857142857,0.6749140806049648,-0.045837262593323734,3104.9967864982273,2710.062931994149
30_day_proxy,4,ProfileShrink_L4_expected,759,140,8616.0,8087.511004525716,9.016603181085456,4.839705879467007,0.7942899041833635,-0.06133809139673676,3686.0454049590726,3157.556409484788
30_day_proxy,4,SES,759,140,8616.0,8889.946017898941,7.618807904743521,2.2849433637649943,0.6711554317200944,0.03179503457508602,2754.364590900696,3028.3106087996375
30_day_proxy,4,SKU_recent_block_expected,759,140,8616.0,8028.442307692308,8.54086179520962,3.3846153846153846,0.7523809311239673,-0.06819378972930505,3535.0358974358974,2947.4782051282054
60_day_proxy,9,ADIDA2,795,224,17496.0,17075.054857999,15.01539890506663,4.354775330396063,0.6822840723324172,-0.024059507430326987,6179.093635764486,5758.148493763487
60_day_proxy,9,EnterpriseShrink_L4_expected,795,224,17496.0,15483.83696900673,19.101593939554512,10.72622198448205,0.867956514743132,-0.11500703194977537,8598.965106469554,6586.802075476283
60_day_proxy,9,MA4_proxy,795,224,17496.0,16511.025,14.825440251572328,4.5,0.6736525491540923,-0.05629715363511652,6385.6,5400.625
60_day_proxy,9,Naive,795,224,17496.0,16227.0,16.52201257861635,5.0,0.7507430269775949,-0.07253086419753087,7202.0,5933.0
60_day_proxy,9,PXQ,795,224,17496.0,17132.89175308846,14.41445068165748,5.0,0.6549776115636543,-0.020753786403265834,5911.298269414618,5548.190022503079
60_day_proxy,9,ProfileShrink_L4_expected,795,224,17496.0,15808.606613288106,18.08209952748674,7.2640120415982485,0.8216317515061705,-0.0964445237032404,8031.331255531924,6343.937868820032
60_day_proxy,9,SES,795,224,17496.0,16802.82864854536,14.675123480975094,3.898646837042061,0.6668223118069958,-0.03961884724820754,6179.947259414919,5486.77590796028
60_day_proxy,9,SKU_recent_block_expected,795,224,17496.0,15497.47,16.141471698113207,5.4,0.7334516460905349,-0.1142278235025149,7415.5,5416.97
90_day_proxy,13,ADIDA2,725,215,22699.0,23862.217290160475,22.73995275209429,6.381424072457716,0.7263080199686489,0.05124530993261709,7661.624227553942,8824.841517714418
90_day_proxy,13,EnterpriseShrink_L4_expected,725,215,22699.0,16549.976884520765,27.590773432999306,13.10190465745412,0.8812419374829067,-0.27089400922856666,13076.166927201866,6927.143811722632
90_day_proxy,13,MA4_proxy,725,215,22699.0,24270.1875,21.631293103448275,6.5,0.6908977267721045,0.0692183576369003,7055.75,8626.9375
90_day_proxy,13,Naive,725,215,22699.0,24726.0,26.23862068965517,8.0,0.8380545398475704,0.08929908806555355,8498.0,10525.0
90_day_proxy,13,PXQ,725,215,22699.0,22244.95200961205,22.027168157480702,7.222222222222221,0.7035418703103005,-0.020002995303226995,8211.87245228073,7757.82446189278
90_day_proxy,13,ProfileShrink_L4_expected,725,215,22699.0,17177.260639487973,26.17656233561633,10.878915684868346,0.8360724125874197,-0.2432591462404523,12249.873526916934,6728.134166404905
90_day_proxy,13,SES,725,215,22699.0,25352.153921787572,22.888866298614342,5.837642121758981,0.7310642788887352,0.11688417647418707,6970.637072353911,9623.790994141485
90_day_proxy,13,SKU_recent_block_expected,725,215,22699.0,17282.829166666666,23.75133908045977,8.0,0.7586114292846968,-0.23860834544840448,11317.945833333333,5901.775
