sku,2024-2025_销量,2026_销量,universe_status
XMJ0004,0,1,2026_only
XMSH0001,0,1,2026_only
XXGP0002,0,1,2026_only
XYJ0001,0,1,2026_only
XYMGPD0001,0,1,2026_only
XYMGPD0002,0,1,2026_only
XYMLRY00001,0,1,2026_only
XYMZD0017,0,1,2026_only
XYMZG0016,0,1,2026_only
YBB0001,1,0,2024_2025_only
YDBZ001,1,1,overlap
YDBZ002,1,1,overlap
YDBZLV0001AMDE,1,0,2024_2025_only
YDBZWV0001AMDE,1,0,2024_2025_only
YEC0009,0,1,2026_only
YJL0002,1,0,2024_2025_only
YJLZHMV000AMDE,1,1,overlap
YJX0022,1,0,2024_2025_only
YJX0023,1,0,2024_2025_only
YJX0024,1,0,2024_2025_only
YJX0025,1,0,2024_2025_only
YKLLW0004,1,0,2024_2025_only
YKLLW0005,1,0,2024_2025_only
YKLLW0006,1,0,2024_2025_only
YXBLJ0001,1,1,overlap
ZBTZ0002,1,1,overlap
ZBTZ0003,1,1,overlap
ZJJSJBV001AMDE,1,0,2024_2025_only
ZJJSJSV001AMDE,1,0,2024_2025_only
ZJJYZBV001AMDE,1,0,2024_2025_only
ZJJYZSJBV1AMDE,1,0,2024_2025_only
ZJJYZSJSV1AMDE,1,0,2024_2025_only
ZJJYZSJSV2AMDE,1,0,2024_2025_only
ZTD0001,1,1,overlap
ZTD0003,1,1,overlap
ZTD0004,0,1,2026_only
xgx0013,0,1,2026_only
xgx0014,0,1,2026_only
xgx0015,0,1,2026_only
xgx0016,0,1,2026_only
xymzd0015,0,1,2026_only
xymzd0016,0,1,2026_only
zxy0002,0,1,2026_only
