sku,week_start,week_end,sales,covered_days,fragment_count,source_sheets,source_periods,is_complete_week
LTKF0005A,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
LTKF0006A,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
LTKF0008,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
LTKF0009,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
LTKF0010,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
LTKF0012,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
LTKF0016,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
LTKF0018A,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
LTKF0022,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
LTKF0023,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
LTKF0024A,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
LTKF0103,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
LTKF098B,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
NNBZL01,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
QCCXC0005,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
QCCXC0007,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
QCSSXC0004,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
QCSSXC0005,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
QCSSXC0006,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
QCXDS001,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
QCXXC0001,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
QCXXC0002,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
QFDNZGJK001,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
QFDNZGJK002,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
QFSJZ001-1,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
QFYF001,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
QYGZIPJ,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
SKZ2FT01,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
SKZ3FT01,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
SLT0001,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
SPH0001,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
SRPDZS0001,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
SRPDZS0002,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
TTNX0002,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
WSJZS0002,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
WSJZS0004,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
XFTW0001,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
XGX9992,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
XGX9993,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
XGX9994,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
XGX9995,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
XGX99990,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
XGX99991,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
XGX99992,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
XGX99993,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
XMJ0001,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
XMJ0004,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
XMSH0001,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
XXGP0002,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
XYJ0001,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
XYMGPD0001,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
