sku,start_week,end_week,length,pre_weeks,post_weeks,pre_positive_weeks,post_positive_weeks,pre_positive_share,post_positive_share,p_hat,p_zero,median_pre,median_post,corrected
DRMJJ0022,2025-05-19,2025-06-02,3,12,12,7,7,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.07233796296296294,1.0,2.0,False
DRMJJ0022,2025-07-14,2025-08-11,5,12,12,9,4,0.75,0.3333333333333333,0.5416666666666666,0.02022587026588221,1.0,4.0,False
DRMJJ0022,2025-09-15,2025-12-01,12,12,12,7,10,0.5833333333333334,0.8333333333333334,0.7083333333333334,3.790020679631997e-07,3.0,2.5,False
DRMJJ0022,2026-03-09,2026-03-16,2,12,12,10,8,0.8333333333333334,0.6666666666666666,0.75,0.0625,2.5,1.0,False
DRMJJ0022,2026-05-18,2026-05-25,2,12,9,8,7,0.6666666666666666,0.7777777777777778,0.7142857142857143,0.08163265306122448,1.5,1.0,False
DRMJJ0023,2025-06-23,2025-08-18,9,12,12,10,10,0.8333333333333334,0.8333333333333334,0.8333333333333334,9.9229030127521e-08,3.0,6.0,True
DRMJJ0023,2025-10-06,2025-10-13,2,12,12,6,11,0.5,0.9166666666666666,0.7083333333333334,0.08506944444444442,4.5,6.0,False
DRMJJ0023,2026-04-20,2026-04-27,2,12,12,11,10,0.9166666666666666,0.8333333333333334,0.875,0.015625,2.0,2.0,True
DRMJJ0024,2025-04-28,2025-06-09,7,12,12,1,1,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.543851178260388,1.0,1.0,False
DRMJJ0025,2025-04-21,2025-05-26,6,12,12,1,8,0.08333333333333333,0.6666666666666666,0.375,0.059604644775390625,1.0,2.0,False
DRMJJ0025,2025-12-15,2025-12-22,2,12,12,1,7,0.08333333333333333,0.5833333333333334,0.3333333333333333,0.44444444444444453,1.0,2.0,False
DRMJJ0025,2026-01-19,2026-01-26,2,12,12,4,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.44444444444444453,1.5,1.5,False
DRMJJ0025,2026-03-02,2026-05-11,11,12,11,8,4,0.6666666666666666,0.36363636363636365,0.5217391304347826,0.0002994424314415701,1.5,1.5,False
DRMJJ0025,2026-06-08,2026-06-15,2,12,6,2,2,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.6049382716049383,1.0,2.0,False
DRMJJ0025,2026-06-29,2026-07-13,3,12,2,3,1,0.25,0.5,0.2857142857142857,0.3644314868804665,1.0,2.0,False
DRMJJ0026,2025-10-20,2025-12-22,10,12,12,5,4,0.4166666666666667,0.3333333333333333,0.375,0.009094947017729282,4.0,2.0,False
DRMJJ0026,2026-01-26,2026-02-23,5,12,12,3,5,0.25,0.4166666666666667,0.3333333333333333,0.13168724279835398,3.0,1.0,False
DRMJJ0026,2026-03-09,2026-03-30,4,12,12,4,5,0.3333333333333333,0.4166666666666667,0.375,0.152587890625,2.0,1.0,False
DRMJJ0026,2026-04-27,2026-05-04,2,12,12,4,3,0.3333333333333333,0.25,0.2916666666666667,0.501736111111111,1.0,1.0,False
DRMJJ0026,2026-05-18,2026-05-25,2,12,9,5,2,0.4166666666666667,0.2222222222222222,0.3333333333333333,0.44444444444444453,1.0,1.0,False
DRMJJ0026,2026-06-08,2026-06-29,4,12,4,5,1,0.4166666666666667,0.25,0.375,0.152587890625,1.0,1.0,False
DRMJJ0027,2025-10-13,2025-12-29,12,12,12,5,1,0.4166666666666667,0.08333333333333333,0.25,0.03167635202407837,2.0,1.0,False
DRMJJ0027,2026-05-18,2026-05-25,2,12,9,1,2,0.08333333333333333,0.2222222222222222,0.14285714285714285,0.7346938775510206,2.0,1.0,False
DRMJJ0027,2026-06-08,2026-07-20,7,12,1,2,1,0.16666666666666666,1.0,0.23076923076923078,0.15936631617923327,1.5,1.0,False
DRMJJ0038,2026-02-23,2026-03-16,4,7,12,1,5,0.14285714285714285,0.4166666666666667,0.3157894736842105,0.21915884623353107,1.0,1.0,False
DRMJJ0038,2026-04-20,2026-04-27,2,12,12,5,1,0.4166666666666667,0.08333333333333333,0.25,0.5625,1.0,2.0,False
DRMJJ0039,2026-02-02,2026-03-02,5,4,12,1,5,0.25,0.4166666666666667,0.375,0.095367431640625,2.0,1.0,False
ETZP0003,2025-11-10,2025-11-17,2,12,12,8,4,0.6666666666666666,0.3333333333333333,0.5,0.25,2.0,4.0,False
ETZP0003,2025-12-01,2026-01-19,8,12,12,9,7,0.75,0.5833333333333334,0.6666666666666666,0.00015241579027587272,2.0,4.0,False
ETZP0004,2025-06-30,2025-07-07,2,12,12,7,10,0.5833333333333334,0.8333333333333334,0.7083333333333334,0.08506944444444442,2.0,2.0,False
ETZP0004,2025-12-15,2026-01-12,5,12,12,11,8,0.9166666666666666,0.6666666666666666,0.7916666666666666,0.00039245856642232543,2.0,5.0,False
FDBLHP0001,2025-08-25,2025-09-22,5,12,12,6,4,0.5,0.3333333333333333,0.4166666666666667,0.06754356352880654,3.5,2.5,False
FDBLHP0001,2025-11-10,2026-01-05,9,12,12,5,5,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.007820799384291302,2.0,1.0,False
FDBLHP0001,2026-02-09,2026-02-16,2,12,12,3,2,0.25,0.16666666666666666,0.20833333333333334,0.626736111111111,1.0,1.5,False
FDBLP0001,2025-04-14,2025-05-26,7,12,12,2,9,0.16666666666666666,0.75,0.4583333333333333,0.013681218348303844,3.5,6.0,False
FDBLP0001,2025-07-07,2025-07-21,3,12,12,5,12,0.4166666666666667,1.0,0.7083333333333334,0.024811921296296287,5.0,4.0,False
FDBLP0001,2025-10-27,2025-11-03,2,12,12,12,8,1.0,0.6666666666666666,0.8333333333333334,0.027777777777777766,3.5,1.0,False
FDBLP0001,2025-12-01,2025-12-15,3,12,12,10,8,0.8333333333333334,0.6666666666666666,0.75,0.015625,1.5,1.0,False
FDBLP0001,2026-02-23,2026-03-16,4,12,12,8,6,0.6666666666666666,0.5,0.5833333333333334,0.030140817901234556,1.0,11.5,False
FDBLP0001,2026-04-27,2026-05-18,4,12,10,8,6,0.6666666666666666,0.6,0.6363636363636364,0.01748514445734581,7.0,14.0,False
FDBLP0001,2026-06-01,2026-06-22,4,12,5,6,5,0.5,1.0,0.6470588235294118,0.015517055590809492,11.5,15.0,False
FRC0002,2024-06-17,2024-07-29,7,12,12,5,11,0.4166666666666667,0.9166666666666666,0.6666666666666666,0.0004572473708276181,4.0,4.0,False
FRC0003,2025-04-07,2025-04-14,2,12,12,11,5,0.9166666666666666,0.4166666666666667,0.6666666666666666,0.11111111111111113,2.0,1.0,False
FRC0003,2025-05-12,2025-06-09,5,12,12,9,8,0.75,0.6666666666666666,0.7083333333333334,0.0021107363602752044,1.0,1.0,False
FRC0003,2026-03-09,2026-04-06,5,12,12,5,9,0.4166666666666667,0.75,0.5833333333333334,0.012558674125514398,3.0,3.0,False
FRC0003,2026-05-18,2026-05-25,2,12,9,7,7,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.11111111111111113,3.0,2.0,False
FRC0010,2024-07-22,2024-08-12,4,12,12,1,3,0.08333333333333333,0.25,0.16666666666666666,0.4822530864197532,1.0,1.0,False
FRC0010,2024-09-09,2024-10-28,8,12,12,3,5,0.25,0.4166666666666667,0.3333333333333333,0.039018442310623416,1.0,1.0,False
FRC0010,2024-11-18,2024-12-16,5,12,12,3,3,0.25,0.25,0.25,0.2373046875,1.0,2.0,False
FRH0001,2024-07-22,2024-08-12,4,12,12,9,12,0.75,1.0,0.875,0.000244140625,2.0,3.5,True
FRH0002,2024-07-15,2024-08-05,4,12,12,9,12,0.75,1.0,0.875,0.000244140625,2.0,2.0,True
FRH0003,2024-06-03,2024-06-10,2,12,12,4,11,0.3333333333333333,0.9166666666666666,0.625,0.140625,1.0,2.0,False
FRH0003,2025-04-07,2025-06-09,10,12,12,11,1,0.9166666666666666,0.08333333333333333,0.5,0.0009765625,4.0,1.0,False
FRH0012,2024-08-19,2024-10-14,9,12,12,1,1,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.45698605951046484,3.0,1.0,False
FRH0028,2024-10-14,2024-10-21,2,12,12,2,6,0.16666666666666666,0.5,0.3333333333333333,0.44444444444444453,1.0,1.0,False
FRH0028,2024-11-18,2024-11-25,2,12,12,4,7,0.3333333333333333,0.5833333333333334,0.4583333333333333,0.29340277777777785,1.0,1.0,False
FRH0028,2024-12-09,2024-12-23,3,12,12,5,8,0.4166666666666667,0.6666666666666666,0.5416666666666666,0.09628182870370372,1.0,1.5,False
FRH0028,2025-02-03,2025-02-10,2,12,12,7,9,0.5833333333333334,0.75,0.6666666666666666,0.11111111111111113,1.0,2.0,False
FRH0028,2025-02-24,2025-03-03,2,12,12,7,8,0.5833333333333334,0.6666666666666666,0.625,0.140625,1.0,2.0,False
FRH0028,2025-10-13,2025-11-17,6,12,12,3,1,0.25,0.08333333333333333,0.16666666666666666,0.3348979766803842,1.0,2.0,False
FRH0028,2025-12-01,2026-02-09,11,12,12,4,1,0.3333333333333333,0.08333333333333333,0.20833333333333334,0.07655365870908971,1.0,1.0,False
