full_cluster,sku,horizon_weeks,planned,ma4_available,quantity_available,mase_available
1,JZJ0005,4,6,6,6,6
1,JZJ0005,9,6,6,4,4
1,JZJ0005,13,6,6,3,3
1,JZJ0008,4,6,6,6,6
1,JZJ0008,9,6,6,4,4
1,JZJ0008,13,6,6,3,3
1,JZJ0009,4,6,6,6,6
1,JZJ0009,9,6,6,6,6
1,JZJ0009,13,6,6,6,6
1,JZJ0013,4,6,6,6,6
1,JZJ0013,9,6,6,6,6
1,JZJ0013,13,6,6,6,6
1,JZJ0016,4,6,6,6,6
1,JZJ0016,9,6,6,6,6
1,JZJ0016,13,6,6,6,6
1,JZJ0018,4,6,6,6,6
1,JZJ0018,9,6,6,5,5
1,JZJ0018,13,6,6,4,4
1,JZJ0019,4,6,6,6,6
1,JZJ0019,9,6,6,6,6
1,JZJ0019,13,6,6,4,4
1,JZQCQ001,4,6,6,6,6
1,JZQCQ001,9,6,6,6,6
1,JZQCQ001,13,6,6,4,4
1,JZQCQ003,4,6,6,6,6
1,JZQCQ003,9,6,6,6,6
1,JZQCQ003,13,6,6,4,4
1,JZQCQ004,4,6,6,6,6
1,JZQCQ004,9,6,6,6,6
1,JZQCQ004,13,6,6,4,4
1,KFYFQ51mm,4,6,6,6,5
1,KFYFQ51mm,9,6,2,2,1
1,KFYFQ51mm,13,6,2,1,0
1,KFYFQ54mm,4,6,6,5,5
1,KFYFQ54mm,9,6,2,2,1
1,KFYFQ54mm,13,6,2,1,0
1,KFYFQ58mm,4,6,6,6,5
1,KFYFQ58mm,9,6,2,2,1
1,KFYFQ58mm,13,6,2,1,0
1,KZCWBG001,4,6,6,6,6
1,KZCWBG001,9,6,6,6,6
1,KZCWBG001,13,6,6,4,4
1,LRKF0001,4,6,6,5,5
1,LRKF0001,9,6,6,5,5
1,LRKF0001,13,6,6,5,5
1,LTKF0019,4,6,6,6,6
1,LTKF0019,9,6,6,6,6
1,LTKF0019,13,6,6,5,5
1,LTKF0020,4,6,6,6,6
1,LTKF0020,9,6,6,6,6
1,LTKF0020,13,6,6,6,6
1,LTKF0021,4,6,6,6,6
1,LTKF0021,9,6,6,6,6
1,LTKF0021,13,6,6,5,5
1,LTKF0022M,4,6,6,6,6
1,LTKF0022M,9,6,6,6,6
1,LTKF0022M,13,6,6,5,5
1,LTKF0031,4,6,6,6,6
1,LTKF0031,9,6,6,6,6
1,LTKF0031,13,6,6,5,5
1,LTKF0047,4,6,6,6,6
1,LTKF0047,9,6,6,6,6
1,LTKF0047,13,6,6,5,5
1,LTKF0101,4,6,6,6,6
1,LTKF0101,9,6,6,6,6
1,LTKF0101,13,6,6,5,5
1,LTKF093,4,6,6,6,6
1,LTKF093,9,6,6,6,6
1,LTKF093,13,6,6,4,4
1,LTKF098,4,6,6,6,6
1,LTKF098,9,6,6,5,5
1,LTKF098,13,6,6,4,4
1,LTKF098B,4,6,6,6,5
1,LTKF098B,9,6,2,2,1
1,LTKF098B,13,6,2,1,0
1,LYC0201,4,6,6,6,6
1,LYC0201,9,6,6,6,6
1,LYC0201,13,6,6,4,4
1,NNB0002,4,6,6,6,6
1,NNB0002,9,6,6,5,5
1,NNB0002,13,6,6,4,4
1,NNBZL01,4,6,6,4,4
1,NNBZL01,9,6,2,2,1
1,NNBZL01,13,6,2,1,0
1,QCCXC0004,4,6,6,5,5
1,QCCXC0004,9,6,6,4,4
1,QCCXC0004,13,6,6,6,6
1,QCCXC0005,4,6,6,6,6
1,QCCXC0005,9,6,6,6,6
1,QCCXC0005,13,6,6,4,4
1,QCCXC0007,4,6,6,6,6
1,QCCXC0007,9,6,6,6,6
1,QCCXC0007,13,6,6,4,4
1,QCSSXC0005,4,6,6,6,6
1,QCSSXC0005,9,6,6,6,6
1,QCSSXC0005,13,6,6,4,4
1,QCSSXC0006,4,6,6,6,6
1,QCSSXC0006,9,6,6,5,5
1,QCSSXC0006,13,6,6,4,4
1,QCXDS001,4,6,6,6,6
1,QCXDS001,9,6,6,6,6
1,QCXDS001,13,6,6,4,4
1,QFDNZGJK001,4,6,6,6,5
1,QFDNZGJK001,9,6,2,2,1
1,QFDNZGJK001,13,6,2,1,0
1,QFDNZGJK002,4,6,6,5,5
1,QFDNZGJK002,9,6,2,2,1
1,QFDNZGJK002,13,6,2,1,0
1,QFSJZ001-1,4,6,6,6,6
1,QFSJZ001-1,9,6,6,3,3
1,QFSJZ001-1,13,6,6,2,2
1,QFSJZ003-1,4,6,6,6,6
1,QFSJZ003-1,9,6,6,6,6
1,QFSJZ003-1,13,6,6,4,4
1,RLHZHMV000AMDE,4,6,6,6,6
1,RLHZHMV000AMDE,9,6,6,6,6
1,RLHZHMV000AMDE,13,6,6,6,6
1,SKZ2FT01,4,6,6,2,2
1,SKZ2FT01,9,6,2,1,1
1,SKZ2FT01,13,6,2,0,0
1,SKZ3FT01,4,6,6,2,2
1,SKZ3FT01,9,6,2,1,1
1,SKZ3FT01,13,6,2,0,0
1,SPH0001,4,6,6,3,3
1,SPH0001,9,6,6,1,1
1,SPH0001,13,6,6,1,1
1,WSJZS0002,4,6,6,3,3
1,WSJZS0002,9,6,6,1,1
1,WSJZS0002,13,6,6,1,1
1,WSJZS0004,4,6,6,3,3
1,WSJZS0004,9,6,6,1,1
1,WSJZS0004,13,6,6,1,1
1,XFTW0001,4,6,6,3,3
1,XFTW0001,9,6,2,1,1
1,XFTW0001,13,6,2,1,0
1,XGX9995,4,6,6,1,1
1,XGX9995,9,6,2,0,0
1,XGX9995,13,6,2,0,0
1,XHP0001,4,6,6,6,6
1,XHP0001,9,6,6,6,6
1,XHP0001,13,6,6,4,4
1,XHZXCZP0001,4,6,6,6,6
1,XHZXCZP0001,9,6,6,6,6
1,XHZXCZP0001,13,6,6,6,6
1,XHZXCZP0002,4,6,6,6,6
1,XHZXCZP0002,9,6,6,5,5
1,XHZXCZP0002,13,6,6,3,3
1,XMJ0004,4,6,6,4,4
1,XMJ0004,9,6,2,1,1
1,XMJ0004,13,6,2,1,0
1,XMSH0001,4,6,6,6,5
1,XMSH0001,9,6,2,2,1
1,XMSH0001,13,6,2,1,0
1,XXGP0002,4,6,6,4,4
1,XXGP0002,9,6,2,2,1
1,XXGP0002,13,6,2,1,0
1,XYJ0001,4,6,6,5,5
1,XYJ0001,9,6,2,2,1
1,XYJ0001,13,6,2,1,0
1,XYMGPD0001,4,6,6,6,5
1,XYMGPD0001,9,6,2,2,1
1,XYMGPD0001,13,6,2,1,0
1,XYMGPD0002,4,6,6,5,5
1,XYMGPD0002,9,6,2,2,1
1,XYMGPD0002,13,6,2,1,0
1,XYMZG0016,4,6,6,1,1
