horizon_weeks,sku,origin,full_cluster,calendar_group,dynamic_cluster,tail_rank,actual_sum,mase_52_model,forecast_sum_model,mase_52_ma4,forecast_sum_ma4,method,metric,cohort,delta,ae_model,ae_ma4
4,FRH0002,2025-08-11,1,only_2024_2025,1,5,0.0,1.467032967032967,6.846153846153846,0.0,0.0,BlockFrequencyMean,mase_52,active120,1.467032967032967,,
4,FRW0017,2025-08-11,1,only_2024_2025,2,5,0.0,1.4911242603550297,1.6153846153846154,0.0,0.0,BlockFrequencyMean,mase_52,active120,1.4911242603550297,,
4,YBB0001,2025-08-11,1,only_2024_2025,0,5,20.0,39.07692307692308,0.4615384615384615,28.0,6.0,BlockFrequencyMean,mase_52,active120,11.07692307692308,,
4,LRKF0001,2025-08-11,1,only_2024_2025,2,5,0.0,0.9086538461538464,4.846153846153847,0.0,0.0,BlockFrequencyMean,mase_52,active120,0.9086538461538464,,
4,QCSSXC0006,2025-08-11,1,only_2024_2025,1,5,12.0,4.541538461538461,2.5384615384615383,2.4,17.0,BlockFrequencyMean,mase_52,active120,2.141538461538461,,
4,FRH0004,2025-08-11,1,only_2024_2025,1,5,0.0,2.5846153846153848,5.384615384615385,0.0,0.0,BlockFrequencyMean,mase_52,active120,2.5846153846153848,,
4,FRC0002,2025-08-11,1,only_2024_2025,1,5,0.0,1.5164835164835164,3.5384615384615388,0.0,0.0,BlockFrequencyMean,mase_52,active120,1.5164835164835164,,
4,JZQCQ004,2025-08-11,1,only_2024_2025,1,5,0.0,0.8009049773755655,4.538461538461538,1.7647058823529411,10.0,BlockFrequencyMean,mase_52,active120,-0.9638009049773756,,
4,FRH0040,2025-08-11,1,only_2024_2025,1,5,0.0,0.9708222811671088,4.6923076923076925,0.0,0.0,BlockFrequencyMean,mase_52,active120,0.9708222811671088,,
4,ZJJSJSV001AMDE,2025-08-11,1,only_2024_2025,1,5,0.0,1.7375565610859725,4.9230769230769225,0.0,0.0,BlockFrequencyMean,mase_52,active120,1.7375565610859725,,
