sku,full_cluster,min,max,size,calendar_group
QCCXC0007,1,2024-01-01,2025-12-22,104,only_2024_2025
QCXDS001,1,2024-01-01,2025-12-22,104,only_2024_2025
QCXXC0002,2,2024-01-01,2025-12-22,104,only_2024_2025
QFSJZ003,2,2024-01-01,2026-07-27,135,across_2024_2026
RLHZHMV000AMDE,1,2024-01-01,2026-07-27,135,across_2024_2026
SKZ2FT01,1,2026-01-05,2026-07-27,30,only_2026
SKZ3FT01,1,2026-01-05,2026-07-27,30,only_2026
XHP0001,1,2024-01-01,2026-07-27,135,across_2024_2026
XHZXCZP0001,1,2024-01-01,2026-07-27,135,across_2024_2026
XHZXCZP0002,1,2024-01-01,2026-07-27,135,across_2024_2026
XMJ0004,1,2026-01-05,2026-07-27,30,only_2026
XMSH0001,1,2026-01-05,2026-07-27,30,only_2026
XXGP0002,1,2026-01-05,2026-07-27,30,only_2026
XYJ0001,1,2026-01-05,2026-07-27,30,only_2026
XYMGPD0001,1,2026-01-05,2026-07-27,30,only_2026
YDBZ001,1,2024-01-01,2026-07-27,135,across_2024_2026
YDBZ002,1,2024-01-01,2026-07-27,135,across_2024_2026
YDBZLV0001AMDE,2,2024-01-01,2025-12-22,104,only_2024_2025
YDBZWV0001AMDE,2,2024-01-01,2025-12-22,104,only_2024_2025
YEC0009,1,2026-01-05,2026-07-27,30,only_2026
YJX0025,2,2024-01-01,2025-12-22,104,only_2024_2025
YXBLJ0001,2,2024-01-01,2026-07-27,135,across_2024_2026
ZJJYZBV001AMDE,1,2024-01-01,2025-12-22,104,only_2024_2025
ZJJYZSJSV2AMDE,2,2024-01-01,2025-12-22,104,only_2024_2025
ZTD0003,1,2024-01-01,2026-07-27,135,across_2024_2026
xymzd0015,1,2026-01-05,2026-07-27,30,only_2026
zxy0002,2,2026-01-05,2026-07-27,30,only_2026
