cohort,horizon_weeks,method,metric,n_pairs,n_skus,delta,ci_low,ci_high,pair_win_share,pair_tie_share,mean_model,median_model,bias_model,under_units_model,over_units_model,mase_lt1_model,mean_ma4,median_ma4,bias_ma4,under_units_ma4,over_units_ma4,mase_lt1_ma4,rmsse_model,rmsse_ma4
active120,4,BlockFrequencyMean,mase_52,651,120,0.1809295804642094,0.018453818508780653,0.33733097927167943,0.34408602150537637,0.007680491551459293,1.8416349987220775,0.9415384615384614,0.026235071653124192,3663.9897435897437,3892.733333333333,0.5284178187403994,1.660705418257868,0.4615384615384615,0.03282377293158346,2926.25,3212.440476190476,0.6482334869431644,,
active120,4,BlockFrequencyMean,mase_full,651,120,0.22971708466487867,0.016857220775707577,0.4515608590439111,0.34408602150537637,0.007680491551459293,2.7325176137642098,1.4217226435536297,0.026235071653124192,3663.9897435897437,3892.733333333333,,2.502800529099331,0.7733333333333333,0.03282377293158346,2926.25,3212.440476190476,,,
active120,4,BlockFrequencyMean,ae,664,120,1.7917537901912899,0.039079829950142815,3.4911071740181105,0.3373493975903614,0.02710843373493976,11.33187945156695,5.971153846153847,0.0218450321054899,3748.9897435897433,3942.7333333333336,,9.540125661375662,3.0,0.02832229971704546,3011.25,3262.440476190476,,,
active120,4,BlockFrequencyMean,scaled_squared_error,651,120,0.5653423882787346,0.08666228087280523,1.1679199325798235,0.34408602150537637,0.007680491551459293,7.540015762957605,0.3927240850317774,0.026235071653124192,3663.9897435897437,3892.733333333333,,6.974673374678871,0.1171366594360086,0.03282377293158346,2926.25,3212.440476190476,,2.7459089138129844,2.64096069161941
active120,4,MatchedHistoryMean,mase_52,651,120,0.1809295804642094,0.018453818508780685,0.33733097927167943,0.34408602150537637,0.007680491551459293,1.8416349987220775,0.9415384615384614,0.02623507165312418,3663.9897435897437,3892.733333333333,0.5284178187403994,1.660705418257868,0.4615384615384615,0.03282377293158346,2926.25,3212.440476190476,0.6482334869431644,,
active120,4,MatchedHistoryMean,mase_full,666,120,0.2145116816266445,-0.0005218945695500729,0.4343094886291216,0.33633633633633636,0.03003003003003003,2.717498276547232,1.384508547008547,0.02611738414490709,3664.9897435897433,3892.7333333333327,,2.5029865949205874,0.7440476190476191,0.032705329838357354,2927.25,3212.440476190476,,,
active120,4,MatchedHistoryMean,ae,720,120,1.9694897232397233,0.3070667830433459,3.6676031459859586,0.3111111111111111,0.10277777777777777,11.01905982905983,5.538461538461538,-0.005296499863506768,3990.9897435897433,3942.7333333333336,,9.049570105820104,3.0,0.0010087231028949846,3253.25,3262.4404761904766,,,
active120,4,MatchedHistoryMean,scaled_squared_error,651,120,0.5653423882787346,0.08666228087280521,1.1679199325798235,0.34408602150537637,0.007680491551459293,7.540015762957605,0.3927240850317773,0.02623507165312418,3663.9897435897437,3892.733333333333,,6.974673374678871,0.1171366594360086,0.03282377293158346,2926.25,3212.440476190476,,2.7459089138129844,2.64096069161941
active120,4,LaplaceMean,mase_52,651,120,0.17670932532236805,0.012951101304851548,0.3343041717450761,0.36251920122887865,0.0015360983102918587,1.8374147435802362,0.9245283018867924,-0.02202466635644179,3819.417673437674,3627.3846074758576,0.5360983102918587,1.660705418257868,0.4615384615384615,0.03282377293158346,2926.25,3212.440476190476,0.6482334869431644,,
active120,4,LaplaceMean,mase_full,651,120,0.20017930783289764,-0.006915465307980772,0.41408499958714207,0.36251920122887865,0.0015360983102918587,2.7029798369322293,1.3716397849462367,-0.02202466635644179,3819.417673437674,3627.3846074758576,,2.502800529099331,0.7733333333333333,0.03282377293158346,2926.25,3212.440476190476,,,
active120,4,LaplaceMean,ae,664,120,1.6348550252987755,-0.06560883172061956,3.3009746083693825,0.3644578313253012,0.0015060240963855422,11.17498068667444,5.716477272727273,-0.029817311154412315,3917.4176734376733,3652.967940809191,,9.540125661375662,3.0,0.02832229971704546,3011.25,3262.440476190476,,,
active120,4,LaplaceMean,scaled_squared_error,651,120,0.4802777782582008,0.020693767677479515,1.0387850984887934,0.36251920122887865,0.0015360983102918587,7.454951152937072,0.3624778761061947,-0.02202466635644179,3819.417673437674,3627.3846074758576,,6.974673374678871,0.1171366594360086,0.03282377293158346,2926.25,3212.440476190476,,2.730375643192173,2.64096069161941
active120,4,LegacyPXQ,mase_52,651,120,0.10265897663845629,-0.10369011228055415,0.444119937130321,0.31643625192012287,0.33640552995391704,1.7633643948963245,0.6694440612498277,-0.022172597355034147,3076.6012299898616,2883.278353651319,0.6113671274961597,1.660705418257868,0.4615384615384615,0.03282377293158346,2926.25,3212.440476190476,0.6482334869431644,,
active120,4,LegacyPXQ,mase_full,666,120,-0.10236567841569325,-0.22176817545593752,0.021393863534421374,0.30930930930930933,0.35135135135135137,2.400620916504894,0.9030433165113871,-0.022284733525062224,3077.6012299898616,2883.278353651319,,2.5029865949205874,0.7440476190476191,0.032705329838357354,2927.25,3212.440476190476,,,
active120,4,LegacyPXQ,ae,679,120,-0.3337086360362787,-1.5610618374539293,0.7413237691113455,0.30927835051546393,0.35640648011782033,9.207528136450494,4.280000000000001,-0.026564022135123183,3159.8512299898616,2924.228353651319,,9.541236772486771,3.0,0.028206367101519306,3012.25,3262.440476190476,,,
active120,4,LegacyPXQ,scaled_squared_error,651,120,1.3398721043924355,-0.37107890839589736,4.552880185901317,0.31643625192012287,0.33640552995391704,8.314545479071306,0.2278706124895438,-0.022172597355034147,3076.6012299898616,2883.278353651319,,6.974673374678871,0.1171366594360086,0.03282377293158346,2926.25,3212.440476190476,,2.883495357907015,2.64096069161941
active120,4,Naive,mase_52,651,120,-0.07775563549559501,-0.26369169989882235,0.13124111319574658,0.34101382488479265,0.3563748079877112,1.5829497827622732,0.4645161290322581,0.06663608211950912,3094.0,3675.0,0.6543778801843319,1.660705418257868,0.4615384615384615,0.03282377293158346,2926.25,3212.440476190476,0.6482334869431644,,
active120,4,Naive,mase_full,666,120,-0.1810033412373467,-0.47905997383735077,0.13809547625981847,0.3333333333333333,0.3708708708708709,2.321983253683241,0.6295131845841785,0.06651376146788991,3095.0,3675.0,,2.5029865949205874,0.7440476190476191,0.032705329838357354,2927.25,3212.440476190476,,,
active120,4,Naive,ae,720,120,0.8962632275132274,-0.5481316137566138,3.2038876488095234,0.31666666666666665,0.4013888888888889,9.945833333333333,3.0,0.033915047744484686,3426.0,3735.0,,9.049570105820104,3.0,0.0010087231028949846,3253.25,3262.4404761904766,,,
active120,4,Naive,scaled_squared_error,651,120,-0.6154220155471276,-2.370680395306771,0.6125460495828473,0.34101382488479265,0.3563748079877112,6.359251359131743,0.1197604790419161,0.06663608211950912,3094.0,3675.0,,6.974673374678871,0.1171366594360086,0.03282377293158346,2926.25,3212.440476190476,,2.521755610508628,2.64096069161941
active120,4,FullHistoryMean,mase_52,651,120,0.5502611669640226,0.12004646201852613,1.2314452268895884,0.3763440860215054,0.004608294930875576,2.210966585221891,0.7023809523809523,-0.3357860401763594,5107.580389675473,2179.861905377796,0.6175115207373272,1.660705418257868,0.4615384615384615,0.03282377293158346,2926.25,3212.440476190476,0.6482334869431644,,
active120,4,FullHistoryMean,mase_full,666,120,0.14085293451572767,-0.06759375477200572,0.3485930707765627,0.36786786786786785,0.0045045045045045045,2.643839529436315,0.9883806818181818,-0.33248473143323287,5107.580389675473,2208.3135315776835,,2.5029865949205874,0.7440476190476191,0.032705329838357354,2927.25,3212.440476190476,,,
active120,4,FullHistoryMean,ae,720,120,1.6336158959203904,0.5359330035570431,2.892103956253011,0.3402777777777778,0.07916666666666666,10.683186001740497,4.439016602809706,-0.3485091491710889,5433.580389675474,2258.3135315776835,,9.049570105820104,3.0,0.0010087231028949846,3253.25,3262.4404761904766,,,
active120,4,FullHistoryMean,scaled_squared_error,651,120,2.1984691369884946,0.61878756768882,4.786916469806314,0.3763440860215054,0.004608294930875576,9.173142511667367,0.2259283387622149,-0.3357860401763594,5107.580389675473,2179.861905377796,,6.974673374678871,0.1171366594360086,0.03282377293158346,2926.25,3212.440476190476,,3.028719615888431,2.64096069161941
active120,9,BlockFrequencyMean,mase_52,544,118,0.19754272075451557,-0.10694430809484128,0.516374742852766,0.4099264705882353,0.0,2.803340674471348,0.8794957983193278,-0.09952081478183435,7827.3,6039.110000000001,0.5459558823529411,2.6057979537168325,0.7519230769230769,0.02538332034728406,6255.1,6711.1875,0.5606617647058824,,
active120,9,BlockFrequencyMean,mase_full,544,118,0.10300246756498825,-0.4306558281080436,0.6060954600538015,0.4099264705882353,0.0,4.440400339422198,1.3714285714285714,-0.09952081478183435,7827.3,6039.110000000001,,4.337397871857211,1.2948075380914195,0.02538332034728406,6255.1,6711.1875,,,
active120,9,BlockFrequencyMean,ae,562,118,-0.8582450564971746,-5.4790790077683615,3.034754678672315,0.4128113879003559,0.0,23.875494350282484,13.0,-0.102206457925636,8049.3,6169.11,,24.733739406779662,11.0,0.02366479125896934,6446.1,6881.4375,,,
active120,9,BlockFrequencyMean,scaled_squared_error,544,118,2.6433157448599602,-3.6923603493454866,7.518585856513117,0.4099264705882353,0.0,23.13014626010514,0.5002112907233398,-0.09952081478183435,7827.3,6039.110000000001,,20.48683051524518,0.35340007351874897,0.02538332034728406,6255.1,6711.1875,,4.8093810682982,4.526238009124706
active120,9,MatchedHistoryMean,mase_52,544,118,0.19754272075451557,-0.10694430809484128,0.516374742852766,0.4099264705882353,0.0,2.803340674471348,0.8794957983193277,-0.09952081478183435,7827.3,6039.110000000001,0.5459558823529411,2.6057979537168325,0.7519230769230769,0.02538332034728406,6255.1,6711.1875,0.5606617647058824,,
active120,9,MatchedHistoryMean,mase_full,555,118,0.09320891733730546,-0.43861042949719664,0.5921328153942549,0.4018018018018018,0.01981981981981982,4.4296456936550825,1.3346246973365616,-0.09957092770883187,7828.3,6039.11,,4.336436776317777,1.2142857142857142,0.025326256330346707,6256.1,6711.1875,,,
active120,9,MatchedHistoryMean,ae,624,120,1.3527743055555557,-0.771571701388889,3.644600520833332,0.3717948717948718,0.09935897435897435,23.15820833333333,12.3,-0.13434613973478693,8732.3,6169.110000000001,,21.80543402777778,9.625,-0.01298089522511662,7129.1,6881.4375,,,
active120,9,MatchedHistoryMean,scaled_squared_error,544,118,2.6433157448599602,-3.6923603493454866,7.518585856513117,0.4099264705882353,0.0,23.13014626010514,0.5002112907233398,-0.09952081478183435,7827.3,6039.110000000001,,20.48683051524518,0.35340007351874897,0.02538332034728406,6255.1,6711.1875,,4.8093810682982,4.526238009124706
active120,9,LaplaceMean,mase_52,544,118,0.16563038337937305,-0.09579184704760425,0.43092982601501795,0.43014705882352944,0.0,2.771428337096206,0.9035409035409034,-0.18040097739897387,8350.19880952381,5108.754047619048,0.5569852941176471,2.6057979537168325,0.7519230769230769,0.02538332034728406,6255.1,6711.1875,0.5606617647058824,,
active120,9,LaplaceMean,mase_full,544,118,0.056679000929616814,-0.4371414078465436,0.5012575132571627,0.43014705882352944,0.0,4.394076872786828,1.2484701733180716,-0.18040097739897387,8350.19880952381,5108.754047619048,,4.337397871857211,1.2948075380914195,0.02538332034728406,6255.1,6711.1875,,,
active120,9,LaplaceMean,ae,562,118,-1.4222153282216843,-5.74865925561609,2.5018306640099532,0.4377224199288256,0.0,23.31152407855798,12.452380952380953,-0.18729314861408802,8610.865476190476,5165.420714285714,,24.733739406779662,11.0,0.02366479125896934,6446.1,6881.4375,,,
active120,9,LaplaceMean,scaled_squared_error,544,118,3.3518053732092477,-0.5539517038492844,7.207781222836526,0.43014705882352944,0.0,23.83863588845443,0.4323267646249297,-0.18040097739897387,8350.19880952381,5108.754047619048,,20.48683051524518,0.35340007351874897,0.02538332034728406,6255.1,6711.1875,,4.882482553830012,4.526238009124706
