sku,full_cluster,calendar_group,horizon_weeks,approximate_days,origin,tail_rank,origin_index,actual_sum,actual_event,training_weeks,training_start,training_last_week,dynamic_cluster,label_source,old_case_available,n,s,probability,laplace_probability,conditional_mean,scale_52,square_scale_52,scale_full,full_n,legacy_week_probability,legacy_positive_week_mean,tail4_identity,block_totals,full_block_totals,enterprise_probability,ma4_forecast,train_values,test_values
FRW0013,1,only_2024_2025,13,91,2024-07-01,6,1,19.0,1,26,2024-01-01,2024-06-24,0,new_origin_training_only,False,2,1,0.5,0.5,10.0,10.0,100.0,10.0,2,0.3076923076923077,2.5,32.5,"[0.0, 10.0]","[0.0, 10.0]",0.059278350515463915,32.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 4.0, 3.0]","[4, 3, 6, 1, 3, 1, 1, 0, 0, 0, 0, 0, 0]"
JZJ0004,2,only_2024_2025,13,91,2024-07-01,6,1,0.0,0,26,2024-01-01,2024-06-24,0,new_origin_training_only,False,2,0,0.0,0.25,,0.0,0.0,0.0,2,0.0,,0.0,"[0.0, 0.0]","[0.0, 0.0]",0.061855670103092786,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SRPDZS0002,2,only_2024_2025,13,91,2024-07-01,6,1,0.0,0,26,2024-01-01,2024-06-24,0,new_origin_training_only,False,2,0,0.0,0.25,,0.0,0.0,0.0,2,0.0,,0.0,"[0.0, 0.0]","[0.0, 0.0]",0.061855670103092786,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
FRH0002,1,only_2024_2025,13,91,2024-07-01,6,1,19.0,1,26,2024-01-01,2024-06-24,2,new_origin_training_only,False,2,1,0.5,0.5,19.0,19.0,361.0,19.0,2,0.5384615384615384,2.7142857142857144,16.25,"[0.0, 19.0]","[0.0, 19.0]",0.059278350515463915,16.25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 4.0, 3.0, 2.0, 0.0, 3.0, 1.0, 0.0, 1.0]","[1, 2, 0, 0, 0, 0, 2, 3, 4, 1, 2, 2, 2]"
LTKF0002,2,only_2024_2025,13,91,2024-07-01,6,1,0.0,0,26,2024-01-01,2024-06-24,0,new_origin_training_only,False,2,0,0.0,0.25,,0.0,0.0,0.0,2,0.0,,0.0,"[0.0, 0.0]","[0.0, 0.0]",0.061855670103092786,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
FRH0047,2,only_2024_2025,13,91,2024-07-01,6,1,8.0,1,26,2024-01-01,2024-06-24,0,new_origin_training_only,False,2,1,0.5,0.5,4.0,4.0,16.0,4.0,2,0.07692307692307693,4.0,13.0,"[0.0, 4.0]","[0.0, 4.0]",0.059278350515463915,13.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 2]"
FRW0016,2,only_2024_2025,13,91,2024-07-01,6,1,6.0,1,26,2024-01-01,2024-06-24,0,new_origin_training_only,False,2,0,0.0,0.25,,0.0,0.0,0.0,2,0.0,,0.0,"[0.0, 0.0]","[0.0, 0.0]",0.061855670103092786,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 3, 0, 0]"
FRW0017,1,only_2024_2025,13,91,2024-07-01,6,1,21.0,1,26,2024-01-01,2024-06-24,0,new_origin_training_only,False,2,0,0.0,0.25,,0.0,0.0,0.0,2,0.0,,0.0,"[0.0, 0.0]","[0.0, 0.0]",0.061855670103092786,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 2, 1, 5, 5, 7, 1, 0]"
LTKF0009,2,only_2024_2025,13,91,2024-07-01,6,1,0.0,0,26,2024-01-01,2024-06-24,0,new_origin_training_only,False,2,0,0.0,0.25,,0.0,0.0,0.0,2,0.0,,0.0,"[0.0, 0.0]","[0.0, 0.0]",0.061855670103092786,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
YBB0001,1,only_2024_2025,13,91,2024-07-01,6,1,0.0,0,26,2024-01-01,2024-06-24,0,new_origin_training_only,False,2,0,0.0,0.25,,0.0,0.0,0.0,2,0.0,,0.0,"[0.0, 0.0]","[0.0, 0.0]",0.061855670103092786,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
