sku,full_cluster,calendar_group,horizon_weeks,approximate_days,origin,tail_rank,origin_index,training_weeks,complete_future_weeks,eligibility
ZJJYZSJSV1AMDE,1,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
WSJZS0002,1,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
FRW0014,2,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
QCCXC0005,1,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
QCSSXC0005,1,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
YKLLW0005,1,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
YJX0024,2,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
FRH0045,1,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
FRW00011,2,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
BLJZ0001,2,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
FRC0010,2,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
FRH0001,1,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
FRH0003,1,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
FRH0031,2,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
FRH0035,2,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
FRH0037,2,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
FRH0042,2,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
FRW0011,2,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
FRW0020,2,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
FRW0023,2,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
GJMJSLW001,1,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
HSAKSLT0001,2,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
JZJ0008,1,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
JZQCQ001,1,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
JZQCQ003,1,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
KFZ0001,2,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
LTKF0005A,2,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
LTKF0024A,2,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
QCCXC0007,1,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
