full_cluster,horizon_weeks,dimension,layer,metric,n,n_skus,mean_model,mean_ma4,delta,ci_low,ci_high,pair_win_share,pair_tie_share
1,4,tail_rank,1,mase_52,115,115,1.0732156662818766,0.8615839129744923,0.21163175330738432,-0.024781485011164683,0.41480045329822995,0.3565217391304348,0.0
1,4,tail_rank,2,ae,114,114,10.201315789473684,6.7894736842105265,3.411842105263158,0.6995715249662622,7.06973431174089,0.30701754385964913,0.017543859649122806
1,4,tail_rank,2,mase_52,114,114,1.2657361051113667,1.2263136316362975,0.03942247347506911,-0.32332282592512623,0.36363555808646586,0.30701754385964913,0.017543859649122806
1,4,tail_rank,3,ae,113,113,11.268720217835263,10.994100294985252,0.27461992285001124,-2.5720671658724763,3.0121539596097113,0.40707964601769914,0.008849557522123894
1,4,tail_rank,3,mase_52,113,113,2.061869967777074,1.8328200429747745,0.22904992480229946,-0.17040571999698642,0.6572107328864532,0.40707964601769914,0.008849557522123894
1,4,tail_rank,4,ae,110,110,15.28030303030303,12.440909090909091,2.8393939393939394,0.3697406759906754,5.408269230769231,0.34545454545454546,0.0
1,4,tail_rank,4,mase_52,110,110,2.2910162911005294,2.087324501221803,0.20369178987872713,-0.17601597800911792,0.5531095709764469,0.34545454545454546,0.0
1,4,tail_rank,5,ae,108,108,10.822970085470084,9.476851851851851,1.3461182336182336,-2.8040705128205126,4.345655270655269,0.3333333333333333,0.018518518518518517
1,4,tail_rank,5,mase_52,107,107,1.9037753767891534,1.5905127934000696,0.31326258338908364,-0.026166382343216766,0.661638282101341,0.3364485981308411,0.009345794392523364
1,4,tail_rank,6,ae,104,104,12.899223372781064,9.519459706959706,3.3797636658213586,-0.12473297936038295,6.320998212524654,0.2692307692307692,0.125
1,4,tail_rank,6,mase_52,92,92,1.8439280169424825,1.493962365263023,0.34996565167945987,-0.021269676944010336,0.7062170256904382,0.30434782608695654,0.010869565217391304
1,9,tail_rank,1,ae,112,112,21.443749999999998,18.619977678571427,2.8237723214285717,-3.9261495535714275,9.59099609375,0.39285714285714285,0.0
1,9,tail_rank,1,mase_52,112,112,1.7094380636256896,1.7030490456219665,0.006389018003722935,-0.35612308731399583,0.37162361273181005,0.39285714285714285,0.0
1,9,tail_rank,2,ae,107,107,29.08364485981308,22.128504672897197,6.955140186915888,1.315081775700935,13.263002336448595,0.3925233644859813,0.0
1,9,tail_rank,2,mase_52,89,89,2.2999489027902187,1.9592176570029116,0.3407312457873073,0.041282978295955126,0.6920587424663216,0.3707865168539326,0.0
1,9,tail_rank,3,ae,91,91,27.435054945054947,22.206043956043956,5.229010989010988,-0.49799725274725226,11.219326923076922,0.45054945054945056,0.0
1,9,tail_rank,3,mase_52,91,91,1.5662722999690728,1.42644171303122,0.13983058693785252,-0.19100028163514185,0.46887347879272884,0.45054945054945056,0.0
1,9,tail_rank,4,ae,89,89,20.971910112359552,26.412921348314608,-5.441011235955056,-21.543918539325844,5.397387640449438,0.38202247191011235,0.0
1,9,tail_rank,4,mase_52,89,89,1.5213789093872014,1.4529039143284321,0.06847499505876921,-0.30020664870314023,0.4431186832966695,0.38202247191011235,0.0
1,9,tail_rank,5,ae,87,87,23.722643678160917,29.325862068965517,-5.603218390804598,-16.228163793103445,3.470517241379309,0.42528735632183906,0.0
1,9,tail_rank,5,mase_52,87,87,3.9164119466421936,3.7031062924930294,0.21330565414916552,-0.26731863212977525,0.6834123038035341,0.42528735632183906,0.0
1,9,tail_rank,6,ae,76,76,29.97105263157895,25.67763157894737,4.2934210526315795,-4.464868421052631,13.502286184210524,0.4473684210526316,0.0
1,9,tail_rank,6,mase_52,76,76,5.430538993455328,4.379315045178408,1.0512239482769203,0.37118493773427386,1.7375987087574258,0.4473684210526316,0.0
