sku,n,mean_delta,method,metric,cohort,horizon_weeks
LTKF093,6,-1.1201654156460468,BlockFrequencyMean,mase_52,active120,4
LTKF098,6,-0.30576820719173414,BlockFrequencyMean,mase_52,active120,4
LTKF098B,5,-0.27904527629233516,BlockFrequencyMean,mase_52,active120,4
LYC0201,6,-0.48991119991119986,BlockFrequencyMean,mase_52,active120,4
NNB0002,6,-0.16873702077666355,BlockFrequencyMean,mase_52,active120,4
NNBZL01,4,-0.051455764609832325,BlockFrequencyMean,mase_52,active120,4
QCCXC0004,5,-1.7538461538461536,BlockFrequencyMean,mase_52,active120,4
QCCXC0005,6,0.4821906117858848,BlockFrequencyMean,mase_52,active120,4
QCCXC0007,6,0.3021920712138103,BlockFrequencyMean,mase_52,active120,4
QCSSXC0005,6,1.3993813712218774,BlockFrequencyMean,mase_52,active120,4
QCSSXC0006,6,1.5444255807046507,BlockFrequencyMean,mase_52,active120,4
QCXDS001,6,0.6029146125717496,BlockFrequencyMean,mase_52,active120,4
QFDNZGJK001,5,0.38407407407407407,BlockFrequencyMean,mase_52,active120,4
QFDNZGJK002,5,0.1787878787878788,BlockFrequencyMean,mase_52,active120,4
QFSJZ001-1,6,1.655168905168905,BlockFrequencyMean,mase_52,active120,4
QFSJZ003-1,6,0.32386100386100386,BlockFrequencyMean,mase_52,active120,4
RLHZHMV000AMDE,6,-0.3061232452919611,BlockFrequencyMean,mase_52,active120,4
SKZ2FT01,2,1.3453703703703699,BlockFrequencyMean,mase_52,active120,4
SKZ3FT01,2,-0.25049019607843137,BlockFrequencyMean,mase_52,active120,4
SPH0001,3,-2.153503130091759,BlockFrequencyMean,mase_52,active120,4
WSJZS0002,3,0.3431952662721906,BlockFrequencyMean,mase_52,active120,4
WSJZS0004,3,0.4333694474539544,BlockFrequencyMean,mase_52,active120,4
XFTW0001,3,0.03851851851851851,BlockFrequencyMean,mase_52,active120,4
XGX9995,1,-4.166666666666667,BlockFrequencyMean,mase_52,active120,4
XHP0001,6,-0.8691666822250377,BlockFrequencyMean,mase_52,active120,4
XHZXCZP0001,6,0.1160512720432697,BlockFrequencyMean,mase_52,active120,4
XHZXCZP0002,6,0.22087331583927974,BlockFrequencyMean,mase_52,active120,4
XMJ0004,4,-0.1283646151607734,BlockFrequencyMean,mase_52,active120,4
XMSH0001,5,-0.11617860332686909,BlockFrequencyMean,mase_52,active120,4
XXGP0002,4,0.1540476190476191,BlockFrequencyMean,mase_52,active120,4
XYJ0001,5,-0.1601594202898552,BlockFrequencyMean,mase_52,active120,4
XYMGPD0001,5,0.758921568627451,BlockFrequencyMean,mase_52,active120,4
XYMGPD0002,5,0.45476190476190476,BlockFrequencyMean,mase_52,active120,4
XYMZG0016,1,-1.0333333333333332,BlockFrequencyMean,mase_52,active120,4
YBB0001,5,0.44045987388734564,BlockFrequencyMean,mase_52,active120,4
YDBZ001,6,0.18984680222763028,BlockFrequencyMean,mase_52,active120,4
YDBZ002,6,0.4486645924110119,BlockFrequencyMean,mase_52,active120,4
YEC0009,5,-0.07440682645347932,BlockFrequencyMean,mase_52,active120,4
YJLZHMV000AMDE,6,0.02202710440923833,BlockFrequencyMean,mase_52,active120,4
YKLLW0005,6,0.43219280719280717,BlockFrequencyMean,mase_52,active120,4
ZBTZ0002,6,-1.0584317643141172,BlockFrequencyMean,mase_52,active120,4
ZJJSJSV001AMDE,6,1.5130055982963508,BlockFrequencyMean,mase_52,active120,4
ZJJYZBV001AMDE,6,-0.2518947866398847,BlockFrequencyMean,mase_52,active120,4
ZJJYZSJSV1AMDE,2,1.186813186813187,BlockFrequencyMean,mase_52,active120,4
ZTD0001,6,0.5998531304840918,BlockFrequencyMean,mase_52,active120,4
ZTD0003,6,0.0005552915143245777,BlockFrequencyMean,mase_52,active120,4
xgx0014,4,-0.3132086530264281,BlockFrequencyMean,mase_52,active120,4
xgx0015,5,-0.30749825621948385,BlockFrequencyMean,mase_52,active120,4
xgx0016,5,-0.035995670995670984,BlockFrequencyMean,mase_52,active120,4
xymzd0015,5,0.013965571799253219,BlockFrequencyMean,mase_52,active120,4
BLP0001,6,-5.891025641025642,BlockFrequencyMean,ae,active120,4
BLP0002,6,-0.8076923076923078,BlockFrequencyMean,ae,active120,4
CWW0002,6,17.935897435897438,BlockFrequencyMean,ae,active120,4
DHZXCZP0001,6,1.6025641025641022,BlockFrequencyMean,ae,active120,4
DRMJJ0022,6,-1.0128205128205126,BlockFrequencyMean,ae,active120,4
DRMJJ0023,6,3.885897435897436,BlockFrequencyMean,ae,active120,4
ETZP0003,6,-4.495726495726496,BlockFrequencyMean,ae,active120,4
ETZP0004,6,1.58974358974359,BlockFrequencyMean,ae,active120,4
