origin_index,origin,cluster,pool_profile,model,n_sku_origins,n_valid_mase,mean_mase,median_mase,mase_lt_1_share,mean_mae,mean_sku_wape,median_sku_wape,aggregate_wape,aggregate_bias,actual_volume,mean_mase_rank,median_mase_rank
1,2025-09-01,1,active_moderate_intermittent,ADIDA2,70.0,70.0,2.304072990406385,1.2087611100947213,0.44285714285714284,2.2108920211083696,1.2535370077080388,0.6850510728132908,0.6575143557199612,0.024937821942896708,1883.0,5.0,4.0
1,2025-09-01,1,active_moderate_intermittent,MA4_proxy,70.0,70.0,2.29770456087563,1.2072866708598684,0.44285714285714284,2.213392857142857,1.4026100285900995,0.743421052631579,0.6582580987785449,0.06532129580456718,1883.0,4.0,3.0
1,2025-09-01,1,active_moderate_intermittent,Naive,70.0,70.0,2.2269631665763647,1.1030247326203209,0.44285714285714284,2.1517857142857144,1.0276256267382657,0.8411764705882353,0.6399362719065321,0.006903876792352629,1883.0,2.0,1.0
1,2025-09-01,1,active_moderate_intermittent,SBA,70.0,70.0,2.2674730568554726,1.4399646584758732,0.3,2.229531021688083,0.8895456874219431,0.7005607000433364,0.6630575529183891,-0.18627457322669672,1883.0,3.0,5.0
1,2025-09-01,1,active_moderate_intermittent,SES,70.0,70.0,2.185337476023774,1.1488340390834906,0.45714285714285713,2.1830001020729433,1.2225257630489554,0.6921945863962304,0.6492193612112842,0.020231816117145276,1883.0,1.0,2.0
1,2025-09-01,2,highly_intermittent,ADIDA2,60.0,60.0,5.077095794597591,1.8498736534614606,0.3333333333333333,0.8056339508261432,2.092597022746257,1.074273046877718,1.1935317790016937,0.2543760042375491,324.0,5.0,5.0
1,2025-09-01,2,highly_intermittent,MA4_proxy,60.0,60.0,4.318224268541202,1.4839895635673626,0.4166666666666667,0.6833333333333333,1.7684838923495547,1.0333333333333334,1.0123456790123457,0.09876543209876543,324.0,4.0,2.0
1,2025-09-01,2,highly_intermittent,Naive,60.0,60.0,4.161490851318526,0.255952380952381,0.5833333333333334,0.6458333333333334,1.6019639321252224,1.0,0.9567901234567902,0.06172839506172839,324.0,2.0,1.0
1,2025-09-01,2,highly_intermittent,SBA,60.0,60.0,4.147880192883369,1.7317464826726967,0.3333333333333333,0.718262590604468,1.472885871894618,1.0956715657459104,1.064092726821434,-0.1983619897163252,324.0,1.0,4.0
1,2025-09-01,2,highly_intermittent,SES,60.0,60.0,4.194398213017166,1.5002099109953346,0.38333333333333336,0.679797898329097,1.5995942321697842,1.0879446949575768,1.0071079975245882,0.03410814700946583,324.0,3.0,3.0
2,2025-10-27,1,active_moderate_intermittent,ADIDA2,82.0,82.0,3.3428511166868407,1.6131746965285751,0.3902439024390244,3.825760408618636,2.859748372441364,1.0672160858791924,1.0156612011549273,0.015395388441987332,2471.0,5.0,4.0
2,2025-10-27,1,active_moderate_intermittent,MA4_proxy,82.0,82.0,3.2259150176584006,1.3718149540517963,0.43902439024390244,3.6623475609756095,2.7742743743737566,1.0,0.9722784297855119,0.028733306353702956,2471.0,4.0,3.0
2,2025-10-27,1,active_moderate_intermittent,Naive,82.0,82.0,2.972790294716934,0.8317426230812057,0.5365853658536586,3.260670731707317,2.7999751422198424,1.0,0.8656414407122622,0.04896802913800081,2471.0,2.0,1.0
2,2025-10-27,1,active_moderate_intermittent,SBA,82.0,82.0,2.762519686243712,1.7302276822994411,0.25609756097560976,3.506239706380574,2.1486098395550624,0.9458223071927552,0.9308349847776837,-0.18424718670371992,2471.0,1.0,5.0
2,2025-10-27,1,active_moderate_intermittent,SES,82.0,82.0,3.091805670576146,1.1680346557227543,0.47560975609756095,3.552809440133123,2.8193422625875093,0.9999999993416858,0.9431982973400764,-0.04015012789846933,2471.0,3.0,2.0
