model,n_sku_origins,n_valid_mase,mean_mase,median_mase,mase_lt_1_share,mean_mae,mean_sku_wape,median_sku_wape,aggregate_wape,aggregate_bias,actual_volume,mean_mase_rank,median_mase_rank
ADIDA2,931.0,832.0,4.265523887526461,1.683240669241358,0.33774038461538464,2.088729234750355,2.317502663904293,1.0,0.9415842719053773,-0.04743022254699989,16522.0,5.0,5.0
MA4_proxy,931.0,832.0,4.045994156386517,1.5837104072398192,0.38100961538461536,2.022594752186589,2.309571902605321,1.0,0.9117713178964844,-0.03334659126936091,16522.0,3.0,2.0
Naive,931.0,832.0,3.979263823559924,1.2620936770308468,0.45072115384615385,2.0110096670247044,1.586312651956424,1.0,0.9065488439656216,-0.007384093935358916,16522.0,2.0,1.0
SBA,795.0,795.0,3.527937052670416,1.5893664730640187,0.3081761006289308,2.0832297490351266,1.4824430319071142,1.0,0.8474154911329328,-0.20349165552427723,15635.0,1.0,3.0
SES,931.0,832.0,4.08780513739472,1.5902801781377294,0.37740384615384615,2.0438685495473154,1.8154466777445966,1.0,0.9213613943244404,0.011499867578545132,16522.0,4.0,4.0
