origin_index,origin,model,n_sku_origins,n_valid_mase,mean_mase,median_mase,mase_lt_1_share,mean_mae,mean_sku_wape,median_sku_wape,aggregate_wape,aggregate_bias,actual_volume,mean_mase_rank,median_mase_rank
1,2025-09-01,ADIDA2,160.0,160.0,3.66814412810053,1.3675568588733171,0.43125,1.3670745839891438,1.5806599374980963,0.9364262947114932,0.7535983925521551,0.02911479883550636,2322.0,5.0,4.0
1,2025-09-01,MA4_proxy,160.0,160.0,3.284239340960377,1.1724937725585889,0.48125,1.3078125,1.5347042594735252,0.9220647773279352,0.7209302325581395,0.05167958656330749,2322.0,3.0,2.0
1,2025-09-01,Naive,160.0,160.0,3.322762200653353,0.6262726244343892,0.55,1.2828125,1.2518545684552218,1.0,0.7071490094745909,-0.01808785529715762,2322.0,4.0,1.0
1,2025-09-01,SBA,160.0,160.0,3.2593907048158157,1.4314066044408627,0.375,1.337870263478297,1.1286832323963407,0.8812130730996852,0.7374995423136179,-0.21247715505495887,2322.0,1.0,5.0
1,2025-09-01,SES,160.0,160.0,3.2633803658917024,1.2154426363452928,0.45,1.300351534190159,1.3762196228141392,0.9528665874843942,0.7168173831883736,0.00428786972036803,2322.0,2.0,3.0
2,2025-10-27,ADIDA2,177.0,177.0,5.087086989399938,1.3627638788747407,0.4576271186440678,2.130052206544288,2.3926567872459557,1.0778845228450933,1.0779678071718055,0.040604895506204504,2798.0,5.0,4.0
2,2025-10-27,MA4_proxy,177.0,177.0,4.857663420928063,0.9957627118644068,0.5028248587570622,2.036723163841808,2.26882074515788,1.0,1.0307362401715512,0.04932094353109364,2798.0,4.0,3.0
2,2025-10-27,Naive,177.0,177.0,4.497200802349545,0.3902214022140221,0.6045197740112994,1.7980225988700564,2.2346938553952693,1.0,0.9099356683345247,0.04646175839885633,2798.0,1.0,1.0
2,2025-10-27,SBA,177.0,177.0,4.571751021546826,1.5194761314639815,0.3672316384180791,1.9346164981080147,1.8194851466438933,1.0,0.9790625308509466,-0.1804042809697794,2798.0,2.0,5.0
2,2025-10-27,SES,177.0,177.0,4.687603088071721,0.9099159589061802,0.519774011299435,1.9565907760458248,2.3354976219666925,1.0005437992335735,0.990183180443491,-0.02157087185530625,2798.0,3.0,2.0
3,2025-12-22,ADIDA2,98.0,98.0,5.367054450301411,3.1727641917352774,0.1326530612244898,3.07735432608114,5.530273798734906,1.0,1.119557211901445,0.20577834356806932,2155.0,3.0,5.0
3,2025-12-22,MA4_proxy,98.0,98.0,5.206302386957745,3.1080876006904488,0.16326530612244897,3.079719387755102,6.217225883794486,1.0,1.1204176334106728,0.22784222737819027,2155.0,2.0,4.0
3,2025-12-22,Naive,98.0,98.0,5.396122815983361,2.5922606897189207,0.22448979591836735,2.677295918367347,2.1872049122665214,1.0,0.9740139211136891,0.0765661252900232,2155.0,4.0,1.0
3,2025-12-22,SBA,98.0,98.0,4.367454162633409,2.6498796189071436,0.14285714285714285,2.3933907266740895,1.7059562688383272,1.0,0.8707277632076502,-0.13292134662663133,2155.0,1.0,3.0
3,2025-12-22,SES,98.0,98.0,5.494911333312972,2.6254194238697703,0.17346938775510204,2.8213841172763736,3.4784612635104986,1.0,1.026433943361799,0.21355027065891669,2155.0,5.0,2.0
4,2026-02-16,ADIDA2,110.0,110.0,4.135141732705264,2.147916638585457,0.18181818181818182,2.6222961494483563,3.0163230383772124,1.0000001367234561,0.9476881361456073,0.027084531580363915,2435.0,5.0,4.0
4,2026-02-16,MA4_proxy,110.0,110.0,3.8946095896800834,2.3489583333333335,0.2,2.5534496753246754,2.55076928816361,1.0,0.9228072748606629,0.08749388872592158,2435.0,3.0,5.0
4,2026-02-16,Naive,110.0,110.0,3.5995760548410916,1.6020927601809956,0.37272727272727274,2.621590909090909,1.508217996675476,1.0,0.9474332648870637,0.13675564681724847,2435.0,2.0,1.0
4,2026-02-16,SBA,110.0,110.0,3.3652033551098377,1.6526590053095886,0.2818181818181818,2.1670972448660897,1.8440084748584404,1.0,0.7831809344895931,-0.15549534362826828,2435.0,1.0,2.0
4,2026-02-16,SES,110.0,110.0,3.9323570897769136,2.0536455026692106,0.22727272727272727,2.5984251478010245,1.7392410476816185,1.0009547011053899,0.9390612443798363,0.1731429473562732,2435.0,4.0,3.0
5,2026-04-13,ADIDA2,121.0,121.0,3.1838662634028503,1.6249999999999996,0.256198347107438,2.9300616250281477,1.6768159077785445,1.0151955288035373,0.9604807494166092,-0.12495957739630231,2953.0,5.0,5.0
5,2026-04-13,MA4_proxy,121.0,121.0,2.880530484572276,1.4963768115942029,0.36363636363636365,2.78228305785124,1.5252909720512784,1.0,0.9120386048086692,-0.13748730104977988,2953.0,3.0,2.0
5,2026-04-13,Naive,121.0,121.0,2.6998788910104956,1.3828125,0.4132231404958678,3.009297520661157,1.4469314717633666,1.0,0.9864544530985438,0.09989840839823907,2953.0,1.0,1.0
5,2026-04-13,SBA,121.0,121.0,2.8308946308801315,1.4963768115942029,0.2809917355371901,2.75977304715168,1.4060756792036304,1.0297460175631978,0.9046597729911364,-0.26255353943743,2953.0,2.0,2.0
5,2026-04-13,SES,121.0,121.0,2.9363347738014474,1.5088414607961502,0.33884297520661155,3.0117605695915812,1.4734619030462108,1.04928743749289,0.9872618460428888,0.057080274416882355,2953.0,4.0,4.0
6,2026-06-08,ADIDA2,129.0,129.0,2.482175916943986,1.4506578947368425,0.3643410852713178,2.2696509450897864,0.9866771501061093,0.8757675596787232,0.7881156713770725,-0.08689665864830984,2972.0,1.0,2.0
6,2026-06-08,MA4_proxy,129.0,129.0,2.483777446788689,1.4225806451612903,0.37209302325581395,2.19718992248062,1.112638946734411,0.9248120300751879,0.7629542395693136,-0.08613728129205922,2972.0,2.0,1.0
6,2026-06-08,Naive,129.0,129.0,2.9507151881417926,1.5750000000000002,0.35658914728682173,2.5135658914728682,1.4113284517225333,1.0,0.8728129205921938,-0.05787348586810229,2972.0,5.0,5.0
6,2026-06-08,SBA,129.0,129.0,2.583615394976821,1.4575107229186464,0.3178294573643411,2.269889622531749,0.9916672995037175,0.9083551706653457,0.7881985499504592,-0.2500173742453105,2972.0,3.0,3.0
6,2026-06-08,SES,129.0,129.0,2.8825520999938394,1.56291696013907,0.35658914728682173,2.4193669689659316,1.2869666813280818,0.9933303918949221,0.8401032005292198,0.007078518842407634,2972.0,4.0,4.0
