origin_index,origin,sku,cluster,cluster_eligible,n_positive,ADI,CV2,nonzero_mean,acf1
1,2025-09-01,BLJZ0001,0,False,0,inf,,,0.0
1,2025-09-01,BLP0001,0,False,4,21.75,1.0014814814814816,7.5,0.46549842347804976
1,2025-09-01,BLP0002,0,False,4,21.75,0.16000000000000003,1.25,0.40381282495667253
1,2025-09-01,BLP0003,0,False,0,inf,,,0.0
1,2025-09-01,BLP0004,0,False,0,inf,,,0.0
1,2025-09-01,CBJZ0001,0,False,1,87.0,,1.0,-0.011764705882352948
1,2025-09-01,CLSSLT0003,2,True,9,9.666666666666666,0.12500000000000003,2.0,0.6412066752246478
1,2025-09-01,CLSSLT0006,2,True,6,14.5,0.1204152249134948,2.8333333333333335,0.5366596392597798
1,2025-09-01,CWW0002,1,True,5,17.4,0.6298477449008907,11.8,0.7506267256616721
1,2025-09-01,DGNTYBV001AMDE,0,False,2,43.5,0.0,1.0,-0.023809523809523777
1,2025-09-01,DHZXCZP0001,1,True,9,9.666666666666666,0.2987718049127804,5.888888888888889,0.6956887002083948
1,2025-09-01,DRMJJ0020,2,True,5,17.4,0.15306122448979592,1.4,0.4295110598413234
1,2025-09-01,DRMJJ0021,2,True,7,12.428571428571429,0.36458333333333337,2.2857142857142856,0.6446280991735537
1,2025-09-01,DRMJJ0022,1,True,14,6.214285714285714,0.5569272976680383,1.9285714285714286,0.41250354308911
1,2025-09-01,DRMJJ0023,1,True,12,7.25,0.37213626402815597,3.0833333333333335,0.4865422302675005
1,2025-09-01,DRMJJ0024,0,False,2,43.5,0.0,1.0,-0.023809523809523784
1,2025-09-01,DRMJJ0025,2,True,9,9.666666666666666,0.4515570934256055,1.8888888888888888,0.49567160011170086
1,2025-09-01,DRMJJ0026,0,False,0,inf,,,0.0
1,2025-09-01,DRMJJ0027,0,False,0,inf,,,0.0
1,2025-09-01,ETZP0003,0,False,0,inf,,,0.0
1,2025-09-01,ETZP0004,2,True,13,6.6923076923076925,0.27441713925645866,1.7692307692307692,0.4425719471091521
1,2025-09-01,FDBLHP0001,2,True,6,14.5,0.1474480151228733,3.8333333333333335,0.7953663118346901
1,2025-09-01,FDBLP0001,1,True,12,7.25,0.6212275168582324,6.916666666666667,0.6688502146035163
1,2025-09-01,FRC0002,1,True,16,5.4375,0.3281297826752372,4.125,0.7936785986290941
1,2025-09-01,FRC0003,1,True,30,2.9,0.45664150173434015,2.1666666666666665,0.5371930720391358
1,2025-09-01,FRC0010,2,True,8,10.875,0.14167650531286896,1.375,0.35868754660701074
1,2025-09-01,FRC0011,0,False,1,87.0,,1.0,-0.011764705882352974
1,2025-09-01,FRH0001,1,True,40,2.175,0.4318123808236865,3.725,0.6637444331451422
1,2025-09-01,FRH0002,1,True,40,2.175,0.5127118720791484,2.975,0.45132518647833697
1,2025-09-01,FRH0003,1,True,45,1.9333333333333333,0.7497076487614613,6.155555555555556,0.7789414941291197
